Elapsed,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM
0,6.415673,7.435567,9.520271,7.953162,8.924536,7.56462,8.601364,8.028111,8.526738,8.415936,9.747835,7.921013,6.370533,4.709712,8.029102,6.379189,8.632728,6.967807,6.812274,6.464639,5.828268,8.171249,6.866976,6.853027,6.112973,4.190904,6.054875,6.529686,6.375826,6.416818,7.738096,5.834755,4.994382,7.226511,4.453039,6.345881,5.130692,6.08062,6.33644,4.964489,5.049732,8.880043,6.44171,5.407953,5.703432,6.351737,4.584072,3.510008,4.554742,4.288373,5.673982,6.572043,5.632392,5.636489,5.625188,4.851347,4.488534,5.361772,4.115819,4.002131,3.849842,3.022461,4.609477,6.103755,5.18372,5.031772,4.729157,5.571801,4.286955,5.648611,3.077674,3.952381
3,7.090014,8.094456,10.73867,9.168095,10.1914,8.70783,9.524796,9.195428,9.335493,9.538147,9.223957,8.567202,7.948434,5.675791,10.82716,7.409224,11.78439,8.395177,8.718245,7.968221,7.202353,10.14194,7.496364,7.612064,7.305079,5.153126,8.096387,6.825403,8.133076,7.685477,10.91855,8.187964,6.725921,8.969231,5.644173,7.782589,6.281397,7.072087,7.535238,5.965858,6.432542,13.35662,7.738318,6.368503,7.221218,6.582303,5.698703,3.983111,4.263087,4.443649,7.181437,6.307723,6.507304,6.426191,7.29446,5.952046,5.619383,5.178017,4.718163,3.836901,3.257211,2.93988,5.046011,4.984344,5.006812,5.368823,5.873802,6.155996,5.429687,5.900384,3.844788,4.459118
6,7.499539,8.196517,10.73344,9.383758,9.970276,8.433129,10.24441,9.686031,9.201728,9.229284,8.960746,8.282598,7.32963,5.413109,10.32776,6.822569,10.55114,7.91323,8.830668,8.10149,7.204299,9.876,7.656199,7.618143,7.061213,5.216551,7.809171,6.165234,7.659613,7.01766,8.86307,7.905188,6.417363,8.203809,5.3861,7.174576,5.839076,6.645883,7.373542,5.486079,6.231237,12.46206,7.558064,6.44183,6.989883,6.109559,5.397744,3.91803,4.071053,3.774499,6.805992,5.827876,6.025748,5.997613,6.936052,5.562769,5.298961,4.852149,4.516038,3.703135,3.174732,2.824672,4.737472,4.87105,4.815375,4.854352,5.579347,5.706352,4.969423,5.674716,3.602662,4.260919
9,7.979335,8.37778,11.75303,9.320196,9.994384,8.004176,11.03408,10.33516,10.40601,9.073837,8.681623,8.217824,7.656745,5.618752,10.78567,6.567314,10.36555,7.393363,9.791865,8.79782,7.826654,9.713861,7.083731,7.397511,7.28922,5.62401,8.266942,5.866937,7.482328,6.907268,9.82572,8.620041,6.850466,8.187043,5.551041,7.059626,6.215683,7.092506,7.293078,5.573713,6.462726,14.66831,7.944115,6.255445,6.818542,6.28172,5.424019,4.017308,3.963392,3.74242,7.045028,5.653118,6.118642,6.016051,7.188234,5.752022,5.290169,4.661685,4.50115,3.691099,3.185267,2.851938,4.802723,4.7744,4.797995,4.876444,5.622524,5.647655,5.056682,5.42979,3.520422,4.09388
12,9.20468,9.717906,12.8225,9.735542,10.6992,8.257126,11.9502,11.07656,11.10237,9.21911,9.408616,8.163088,8.519448,6.207898,12.41698,6.844815,10.93357,7.462678,10.95287,10.16846,8.628288,10.272,6.833922,7.348923,7.806456,6.258313,9.384953,6.020712,7.707143,7.323741,10.80818,10.00511,7.752438,8.604386,5.736349,7.131979,7.023584,7.789963,8.00788,5.773157,6.664714,13.11496,8.913283,6.939876,7.431129,6.152514,5.846639,4.12555,3.874802,3.76219,7.178656,5.814832,6.117481,6.248275,7.763569,6.27368,5.65107,4.718282,4.490685,3.67126,3.192061,2.819585,4.872483,4.680705,4.757566,5.056084,5.960565,5.859186,5.335753,5.525653,3.61311,4.243078
15,9.873184,10.82559,13.87963,10.18563,10.95843,8.244646,13.52155,11.98534,11.70569,9.908916,9.665289,8.025841,9.730129,6.450349,13.4861,6.805974,11.89325,7.748785,12.09319,11.04963,9.350484,10.76686,6.747876,7.666476,8.462614,7.061058,10.74236,6.071982,7.986608,7.497199,12.64647,10.76913,8.633051,9.016795,6.040772,7.4944,7.785712,8.585793,8.599026,5.907128,6.935181,14.78587,9.536165,7.760223,7.968836,6.486696,6.399591,4.04541,3.775421,3.795413,7.57302,6.076113,6.167862,6.419175,8.514225,6.735362,5.64255,4.781229,4.637853,3.748702,3.128756,2.981657,4.927458,4.663103,4.812574,5.469774,6.481148,6.029436,5.505081,5.460333,3.67744,4.567495
18,10.80013,11.40053,15.281,10.88895,11.1689,8.310171,14.43692,13.06518,12.76987,10.51421,10.2803,8.174117,10.41224,7.027152,14.72329,7.379057,12.39101,8.886787,13.22593,11.97173,10.19094,11.05392,7.092149,8.397821,8.937286,7.4811,11.42957,6.635264,8.676126,8.141748,14.22536,11.79013,9.303124,9.77691,6.566324,8.005575,8.477962,9.502584,9.337132,6.294218,7.217752,14.03481,10.33142,8.352887,8.619802,7.03632,6.289421,4.461081,4.017837,3.935615,7.843059,6.175818,6.535286,6.70253,9.041823,6.90264,5.965585,4.852764,4.771224,3.878677,3.175826,2.978055,5.266899,4.686372,5.246889,5.370052,6.908718,6.170253,5.801668,5.911618,3.807245,4.643196
21,11.41873,12.38869,16.32473,11.62524,11.95831,8.617651,15.9081,13.73011,13.80084,11.26743,10.96354,8.816174,10.96183,7.584561,15.54086,7.736269,13.33141,9.178817,13.89339,12.77993,10.61614,11.90923,7.729475,8.978313,9.387668,7.988623,12.36267,6.859481,9.296856,9.161317,14.84826,12.87311,10.10798,10.38666,6.977487,9.022805,9.087135,10.09933,9.738051,6.452397,7.578825,13.05041,11.09146,8.824129,9.22679,7.033161,6.556917,4.62457,3.922008,4.004845,8.459388,6.358566,6.729557,6.950239,9.640293,7.164195,6.07806,5.000426,4.94412,3.998169,3.080781,3.033234,5.326721,4.589195,5.086269,5.572194,7.424726,6.370108,6.026022,5.856592,4.062363,5.209824
24,12.73982,13.59392,17.69775,12.36871,12.22605,9.031019,17.13345,15.75968,14.94115,11.77081,11.51198,9.508372,11.438,8.079313,15.91332,8.259654,14.15674,9.828419,15.00659,13.84192,11.16284,12.44996,7.987359,9.672338,10.01132,8.393298,13.44918,6.94365,9.910146,9.582451,15.52854,13.40889,10.38551,10.96709,7.58422,9.707493,9.61815,10.30318,10.29671,6.9829,7.326215,14.1165,12.1709,9.248969,9.440184,7.476969,6.89704,4.798849,4.140386,4.064446,8.826691,6.186097,6.804626,7.332363,10.26989,7.488168,6.327714,4.9951,5.110905,4.221277,3.078255,3.019319,5.582864,4.680517,5.312892,5.899376,7.854482,6.630107,6.305196,6.146214,4.165039,5.113431
27,13.99206,15.11626,19.29054,12.97262,13.38637,9.626225,19.12473,17.2351,16.75949,12.4034,11.5582,10.1058,12.00902,8.091282,17.06722,8.365503,15.3035,10.04497,16.23352,14.78565,11.68394,12.89598,8.05705,9.376843,10.14867,8.787405,14.53891,7.010557,10.25191,8.872941,17.05534,14.33587,10.93187,11.3159,7.355581,9.463061,10.18106,10.88589,10.24562,7.098824,8.100517,11.80145,12.79468,9.91117,9.938725,7.748937,7.154309,4.91315,4.127462,4.120052,8.915948,6.189085,7.325327,7.367326,10.81029,7.774632,6.601852,4.891246,5.281273,4.123092,2.989971,3.026507,5.718405,4.505675,5.137845,5.856473,8.112588,6.602723,6.371507,6.184202,4.247295,5.120243
30,15.7874,16.43693,21.04256,13.67368,13.54953,10.0574,21.03809,18.91376,18.17996,13.18001,12.83951,10.58408,12.80806,8.672541,18.34507,8.243912,15.22499,9.921704,17.49674,15.78398,12.03067,13.0486,7.955911,9.27567,10.87059,9.197221,15.21445,7.175344,10.80749,9.431034,19.96623,15.92686,11.65457,11.91575,7.836965,9.781929,10.70569,11.58246,10.96598,6.954149,8.587177,13.68184,14.03515,10.71912,10.16907,7.662139,7.296288,4.978078,4.04698,4.163127,9.023745,6.121663,7.33779,7.349213,11.49158,7.997466,6.695548,5.047156,5.334592,4.229489,2.928765,3.031373,5.643882,4.516107,5.23446,5.909074,8.454948,6.744564,6.486834,6.22118,4.15232,5.132228
33,17.64703,17.92467,23.47178,14.13646,14.52077,10.62252,23.14965,20.99505,20.27625,13.54219,12.82274,10.75146,13.79765,9.042764,19.09878,7.927895,14.74857,9.835402,19.066,16.50718,12.49887,13.01717,7.96385,8.676603,11.60586,10.01492,16.38679,7.543877,10.43303,9.63997,21.55004,17.42925,12.52264,11.76993,7.951745,9.454951,11.46848,12.3102,11.04717,7.604502,9.020859,12.29202,14.84085,10.7631,10.36406,8.12365,7.069884,5.034401,3.954122,4.280194,9.137791,6.215837,7.326079,7.317544,11.77048,8.26544,6.610491,5.223022,5.171888,4.094375,2.980991,3.034821,5.839587,4.336876,5.154765,5.669406,8.669193,6.790302,6.316293,6.244878,4.107367,4.94646
36,19.42533,19.44271,25.34338,14.82772,14.99452,10.52111,24.66766,23.39429,22.818,14.06574,13.71103,11.01883,14.50697,9.711641,19.96034,7.893201,14.45657,10.21898,19.99228,17.51591,13.21294,13.58086,8.567337,8.426966,12.12167,10.74605,17.71725,7.790083,10.20672,10.38058,22.15421,18.54731,13.24082,12.39101,7.903822,9.63891,12.24208,12.90054,11.41919,7.66366,9.248405,12.31032,16.40973,11.508,11.13582,8.109274,7.411033,5.178222,3.928512,4.512043,9.153821,6.357593,7.327275,7.317577,12.29369,8.417473,6.706662,5.114575,5.332066,4.048705,2.873142,3.053141,5.867041,4.308125,5.214741,5.756375,9.22184,6.874812,6.47075,6.462658,4.31376,4.998275
39,21.93899,21.25718,27.24056,15.97696,15.71907,11.43572,28.00283,26.37066,24.26008,14.57289,14.22884,11.64064,15.67873,10.24726,20.87073,7.996323,14.49285,9.889675,21.34259,18.69086,13.79355,13.42907,7.700725,8.694427,12.7184,11.59161,18.5799,7.695927,10.48401,10.55671,24.08374,20.07766,14.75024,12.22195,7.797339,9.54513,13.05845,13.61057,12.10048,7.756859,9.79685,13.83605,17.18526,12.17249,12.04783,8.143165,7.614848,5.397267,3.879548,4.48599,9.449164,6.087996,7.281775,7.51347,12.7773,8.349131,6.838311,5.185461,4.998942,3.805725,2.892042,3.175279,5.878377,4.31965,5.174706,5.699438,9.643077,7.11407,6.559939,6.18642,4.216632,5.247436
42,24.16949,23.75333,29.48123,16.66862,15.88432,11.6167,31.27596,28.84366,26.6887,15.01342,15.06925,12.17232,16.70093,10.9044,21.70811,8.260522,14.54057,10.21495,22.55673,19.77141,14.53077,13.47446,7.312763,8.538672,13.60652,12.29774,19.8186,7.845927,10.71851,12.7178,25.42528,21.50952,14.56068,12.45546,8.000915,9.348793,14.15945,14.08818,12.28376,8.171371,9.915353,14.79752,18.29762,12.82115,12.38047,8.343498,8.028794,5.678148,4.076448,4.44604,9.579804,6.166889,7.510738,7.367208,13.35886,8.686677,6.893268,5.108924,5.002937,3.99916,2.88535,3.268138,5.82149,4.213031,5.111042,5.823778,10.15289,7.207714,6.652747,6.502864,4.31842,5.172964
