Elapsed,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT UT 0nM,WT UT 5nM,WT UT 10nM,WT UT 15nM,WT UT 20nM,WT UT 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT E 0nM,WT E 5nM,WT E 10nM,WT E 15nM,WT E 20nM,WT E 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,WT EA 0nM,WT EA 5nM,WT EA 10nM,WT EA 15nM,WT EA 20nM,WT EA 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO UT 0nM,KO UT 5nM,KO UT 10nM,KO UT 15nM,KO UT 20nM,KO UT 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO E 0nM,KO E 5nM,KO E 10nM,KO E 15nM,KO E 20nM,KO E 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM,KO EA 0nM,KO EA 5nM,KO EA 10nM,KO EA 15nM,KO EA 20nM,KO EA 25nM
0,5.650899,5.370445,5.980147,4.175658,6.012483,5.866631,6.910972,6.136808,3.735813,5.973301,4.615111,5.387603,5.907401,5.183429,6.0524,4.902481,4.032144,4.778378,5.343298,2.989306,5.335241,5.651361,5.379579,5.499276,6.842681,4.530327,5.204719,5.829258,4.777405,5.77297,5.375464,4.541972,3.992383,3.945312,4.881054,5.921606,4.525223,4.241251,5.13344,6.581911,5.273455,8.971553,4.976013,4.894165,5.6096,5.61911,5.857787,4.425961,4.350466,4.233518,5.35525,5.655372,4.386763,5.19818,5.71482,5.152682,5.445838,4.272358,5.927547,3.952534,3.504272,2.810622,3.242017,5.424515,4.01147,3.886992,3.715496,4.212535,3.335917,3.70894,4.661224,4.792411
3,6.056497,5.530058,6.028105,4.805267,6.227207,6.706679,7.519667,6.47944,4.185082,6.888162,4.767195,5.744167,6.472663,5.830078,6.743693,5.15683,4.293307,5.822685,6.019142,3.340868,5.765833,6.610577,5.326858,6.01991,8.031885,5.830368,6.500799,6.202435,5.440973,6.42556,5.607859,5.655475,4.656906,4.702456,5.315659,6.467798,5.621653,5.256399,6.162724,7.217839,6.265229,8.614066,6.34875,6.154905,6.703009,6.797113,6.70084,5.555974,5.460861,4.801324,6.491698,5.822327,5.432863,5.824341,7.481783,5.869107,6.35049,4.662164,6.984539,4.612397,4.482866,3.248299,4.124132,5.622764,4.475627,4.33662,4.682651,4.845918,4.127189,4.395743,5.89072,5.624556
6,6.430698,5.850019,6.129585,4.64195,6.319708,6.599496,7.72869,7.100924,4.260749,6.714533,4.785258,5.994267,6.732203,5.911583,7.046684,5.076195,4.313999,5.696655,5.914571,3.436629,6.101142,6.558794,5.493232,5.823761,8.253301,5.934187,6.504248,6.072289,5.173767,6.250017,5.965568,5.837778,4.684512,4.466442,5.384718,6.265416,5.597751,5.218053,6.295089,7.096468,6.167299,9.813342,6.606257,5.860689,6.653651,6.616449,6.578053,5.386288,5.473649,4.856298,6.461412,5.729263,5.326568,5.802642,7.53208,5.779355,6.275745,4.482115,6.724623,4.64422,4.298087,3.302984,4.056627,5.537707,4.293767,4.150288,4.469446,4.770371,4.092411,4.178458,5.668791,5.348182
9,7.084653,6.649794,6.73449,4.892561,6.619625,6.621111,8.682886,7.488235,4.48261,7.325977,5.258464,6.242522,7.409907,6.419685,7.574642,5.112372,4.438886,5.609925,6.595706,3.78785,6.528303,6.831465,5.704183,5.894494,9.240023,6.343832,7.113096,6.18485,5.517749,6.450537,6.491494,6.347929,5.228382,4.508646,5.725814,6.59067,6.021225,5.340243,6.375383,7.256611,6.36239,7.021706,6.836945,5.890173,6.722198,6.772563,6.855827,5.64914,5.938287,5.00408,6.608049,5.550682,5.421748,5.970877,7.613125,5.772594,6.277982,4.40807,6.967465,4.595102,4.416487,3.247343,4.295288,5.403139,4.320179,4.241815,4.692109,4.793642,4.103696,4.131576,5.819271,5.60313
12,7.920058,7.178553,7.671086,5.111246,6.995106,7.19677,9.702097,8.217621,4.964352,8.167237,5.418744,6.647659,8.423056,7.21246,8.42973,5.196746,4.849435,5.913342,7.501007,4.23111,7.307368,7.286283,5.945507,6.329115,10.66652,7.015987,7.939983,6.399438,6.117054,6.552836,7.229054,7.337448,6.002103,5.017329,6.388239,6.879558,6.366726,5.853894,7.177238,7.576144,6.300962,10.03394,7.420783,6.298537,7.187774,7.102853,7.265522,5.82487,6.247439,5.233692,6.954832,5.544654,5.530604,6.291025,8.223322,6.100903,6.50435,4.62177,6.943905,4.823655,4.627438,3.221649,4.265461,5.572433,4.557781,4.192577,4.89152,5.086507,4.397348,3.981916,6.067543,5.871684
15,9.020176,7.936755,8.305339,5.566099,7.578568,7.481253,10.49045,9.004657,5.496048,8.616813,5.874774,6.8652,9.319462,7.884035,9.017718,5.42576,5.078056,6.351635,8.402995,4.582263,7.915909,8.098639,6.387981,6.44567,11.95603,7.839117,8.76376,6.614299,6.661726,7.51697,7.897232,8.10955,6.559716,5.709748,6.800101,7.395822,6.735788,6.095201,7.391365,7.740931,6.550224,8.980293,7.749024,6.53882,7.375846,7.64213,7.626663,6.057095,6.373777,5.503681,7.268799,5.691311,5.710484,6.247985,8.93039,6.499962,6.909538,4.539752,7.378134,4.870127,5.022058,3.538314,4.323525,5.66087,4.547298,4.475388,5.182525,5.399179,4.498248,4.268585,6.265912,6.17056
18,9.809927,8.404428,8.909834,5.900196,8.148013,7.726693,11.14251,9.589025,5.999064,9.000355,6.271409,7.134353,9.734057,8.343155,9.83214,5.744356,5.588105,6.849868,9.100999,4.846362,8.549976,8.525528,6.700618,6.870749,12.3689,8.41679,9.476088,7.151322,7.32106,7.711089,8.57089,8.670269,7.169284,6.232655,7.274434,7.938736,7.169676,6.449393,7.608804,7.923814,6.772614,8.513371,8.009315,6.816747,7.584869,7.75452,7.751328,6.108928,6.701097,5.582215,7.331763,5.463542,5.729144,6.273407,8.862594,6.588724,7.140738,4.487288,7.422642,5.054001,5.220495,3.767533,4.418519,5.683115,4.622725,4.584858,5.245421,5.406707,4.147915,4.357398,6.130115,6.467848
21,10.64381,9.053792,10.30081,6.555449,8.974369,8.43429,11.96004,10.01257,6.245919,9.690042,6.719348,7.861021,10.39407,8.725739,10.87785,6.050641,6.334766,7.469234,9.609374,5.250355,9.337626,9.131046,7.350801,7.738558,13.62894,9.180011,10.32998,7.778269,7.943465,8.820271,9.004997,9.379865,7.843247,6.81965,8.013463,9.090807,7.132951,6.758154,8.088021,8.653008,7.208158,9.777592,8.602867,7.64867,8.620399,7.905632,8.181561,6.772392,6.91507,5.801344,7.520351,6.018835,5.768189,6.497659,9.281305,6.961662,7.110349,4.708448,7.750867,5.314464,5.322418,4.091302,4.804619,5.953429,5.045413,4.590732,5.503527,5.791886,4.597457,4.576134,6.348783,6.922088
24,11.76688,9.338857,10.8494,7.010114,9.417339,8.940378,12.77052,11.04294,6.675692,10.03409,6.977265,7.959804,11.06665,9.245587,11.73705,6.525622,6.611738,8.1986,10.18973,5.720591,10.06711,9.640841,8.125563,8.497647,14.61562,10.00808,11.37608,7.939164,8.242169,9.795708,9.208062,10.13311,8.637063,7.233306,8.71541,9.890171,7.728178,7.409343,8.44723,8.719883,7.524841,10.05047,8.997026,8.12657,8.885131,8.150216,8.290024,7.03714,7.261851,6.044819,7.666083,5.866409,5.859495,6.969686,9.677564,7.061724,7.224018,4.929626,8.642065,5.490654,5.640297,4.455446,4.70027,6.013491,5.134585,4.636315,5.760131,5.880819,4.929369,4.883956,6.6613,7.066113
27,12.77799,10.59331,11.86062,7.184325,10.15883,9.262609,14.23898,11.96905,6.992666,10.62133,7.324183,8.487385,12.06036,9.819899,12.16688,6.635179,6.696197,8.260574,11.13334,5.85048,10.60274,9.494989,7.685956,8.749317,15.57009,10.18483,11.68911,8.017852,8.675732,9.94972,9.942413,11.05732,9.333991,7.40528,8.6344,10.36331,8.430005,7.616248,8.945482,8.594193,7.71696,9.673704,9.487645,8.635578,9.302834,8.107944,8.597727,7.533941,7.639791,6.219303,7.691232,5.749153,5.88932,6.948943,10.10705,6.991572,7.671393,4.958445,8.444056,5.750997,5.927273,4.38159,4.746674,6.231987,5.099483,4.862666,5.71849,6.153744,5.176413,4.954671,6.956334,7.423598
