Elapsed,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT UT 0nM,WT UT 1.6nM,WT UT 8nM,WT UT 40nM,WT UT 200nM,WT UT 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E 0nM,WT E 1.6nM,WT E 8nM,WT E 40nM,WT E 200nM,WT E 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/R 0nM,WT E/R 1.6nM,WT E/R 8nM,WT E/R 40nM,WT E/R 200nM,WT E/R 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,WT E/A 0nM,WT E/A 1.6nM,WT E/A 8nM,WT E/A 40nM,WT E/A 200nM,WT E/A 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO UT 0nM,KO UT 1.6nM,KO UT 8nM,KO UT 40nM,KO UT 200nM,KO UT 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E 0nM,KO E 1.6nM,KO E 8nM,KO E 40nM,KO E 200nM,KO E 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/R 0nM,KO E/R 1.6nM,KO E/R 8nM,KO E/R 40nM,KO E/R 200nM,KO E/R 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM,KO E/A 0nM,KO E/A 1.6nM,KO E/A 8nM,KO E/A 40nM,KO E/A 200nM,KO E/A 1000nM
0,4.189982,3.500003,4.216018,3.4375,3.468914,3.162577,3.885814,2.022287,2.797698,3.448734,2.664684,5.512883,3.720191,3.86898,3.740952,4.399192,2.781615,2.682678,2.936875,2.584271,2.74006,2.723175,2.958967,3.737076,5.314207,6.29427,6.302106,6.355698,3.576814,2.510227,4.445032,2.325346,3.980056,5.328173,2.906639,3.343173,4.386336,2.962314,4.337354,3.043494,3.710494,3.054421,3.8607,3.848424,2.876933,3.508386,1.876468,4.723506,3.003954,3.161826,3.976094,3.748463,3.820869,4.771122,6.289779,4.165398,3.978758,3.499799,2.148659,3.509137,2.108812,2.070159,4.035388,1.826138,3.288882,2.910344,2.720682,3.292774,2.503875,4.354547,2.047708,2.461381,3.071921,1.884817,4.408395,3.563463,2.809222,2.941468,3.772622,3.212874,3.647034,3.676997,3.010971,4.670239,1.824157,1.92463,2.191563,2.169625,1.795731,2.257345,3.730896,2.659887,2.642643,2.855916,2.461381,3.062804
3,4.533879,3.524025,4.632918,3.380289,3.710186,3.207598,3.646829,1.913823,2.549118,3.167562,2.686042,6.092282,3.97338,4.022669,3.788687,4.510233,2.894449,2.711122,2.872357,2.77045,3.121483,2.620329,3.351334,3.994311,5.908937,6.358634,6.610884,6.615187,3.776872,2.700759,4.629555,2.555111,4.401992,5.653187,3.074464,3.736649,4.395129,3.262333,4.167976,3.19114,3.697347,3.128159,4.036515,4.044215,2.944302,3.61393,1.746135,4.443684,3.530683,3.488872,4.441754,3.955556,3.581031,5.083588,7.160098,4.224657,4.427447,4.129886,2.455832,4.205655,2.458496,2.445811,4.632764,2.381669,4.294587,3.541951,3.555678,3.690553,2.944848,4.690641,2.231616,5.015229,3.617618,2.170342,4.706519,3.722581,3.13888,3.214922,4.206663,3.752134,4.372917,4.019169,3.438251,5.027266,2.204726,2.387678,2.496637,2.714075,2.373064,2.400756,4.201643,3.344129,3.124949,3.487745,2.994035,3.66076
6,5.085756,3.470194,4.862906,4.002745,4.024376,3.112093,3.586357,1.951759,2.915397,3.244219,2.810229,5.969238,4.250318,4.422565,4.210623,4.558908,3.019405,2.853031,3.121381,2.896976,3.103334,2.810776,3.393879,4.076892,5.394159,5.761821,6.60793,6.587324,3.96288,2.902729,4.43962,2.938292,4.826062,5.58756,2.971174,4.1564,4.357961,3.423142,4.367129,4.098284,4.280127,3.635527,4.633738,4.217914,3.396338,3.970051,2.062562,4.77078,3.15906,3.557744,4.505044,4.008772,3.690109,5.336726,6.438125,3.955283,4.556773,3.932508,2.132372,4.359941,2.626167,2.354062,4.392961,2.5813,4.324789,3.727242,3.458141,3.606162,2.698334,4.71333,2.289066,5.060318,3.715701,2.014433,4.331601,4.127991,3.391267,3.323369,4.183921,3.500635,3.945312,4.302987,3.255846,5.04707,2.133072,2.007929,2.724661,2.998559,2.584442,2.376769,4.432262,3.350497,3.150746,3.284442,2.874628,3.768302
9,4.983337,3.906557,5.352092,4.014696,4.525223,4.007389,4.489507,2.247203,3.211951,4.078446,3.229161,6.668146,4.428284,5.075137,4.549057,4.786966,3.560475,3.179069,3.416107,2.9961,3.290691,3.235939,3.901111,4.926945,6.151473,6.764574,6.602501,7.857418,4.437981,3.28994,4.82497,2.738745,5.265635,6.218586,3.148765,4.514212,4.904477,3.517742,5.2046,4.294297,4.672851,4.205007,5.309034,4.874191,3.997794,4.642052,2.538653,5.868406,3.016588,3.652104,4.602955,4.221004,3.873299,6.002342,6.806043,3.85341,4.75533,4.015174,2.199195,4.282039,2.971447,2.469115,4.550013,2.590144,4.425689,3.477484,3.806084,4.183802,3.198396,5.195995,2.341206,4.821368,3.568107,1.843723,4.666978,4.014594,3.459472,3.471526,4.010804,3.593699,3.934744,4.125515,3.14267,5.075786,2.293641,2.36014,2.827643,3.258355,2.645784,2.56754,4.598653,3.378172,3.421298,3.648007,3.208895,4.205143
12,5.570811,4.506085,5.475221,4.332608,4.573676,4.192116,4.501748,2.73965,3.45768,3.881836,3.950383,7.577784,5.007154,6.199874,5.603078,5.855772,4.119899,3.574048,3.936383,3.37935,3.206266,3.585879,4.690692,5.317382,7.181251,8.279781,7.767342,8.948744,4.816109,3.738886,5.623139,3.120646,5.914161,7.108794,3.612462,5.27873,5.652385,4.521655,6.483589,4.732435,5.222561,5.021716,6.417842,5.534839,4.484026,4.964369,2.911864,7.012537,3.599811,3.780133,5.604922,4.411092,4.274578,6.537231,7.001851,4.009557,4.900687,4.522611,2.380695,4.756184,2.950209,2.679742,5.193042,2.902166,5.027282,4.132908,4.098557,4.3848,3.455102,5.57904,2.618502,5.514437,3.73542,1.973629,4.496968,3.935495,3.627264,3.304452,3.980721,3.92252,4.304046,4.940553,3.393862,5.518261,2.739736,2.617188,3.231995,3.415152,2.816017,2.907886,5.049784,3.581031,3.549019,3.773287,3.274113,4.539069
15,5.740087,4.95049,6.170885,4.634916,4.924026,4.814248,4.723506,2.840363,3.728932,4.340445,4.034313,7.976346,5.878565,6.693567,6.231681,6.466158,4.623955,4.099308,4.231657,3.882194,3.837207,4.138235,5.540677,5.817956,7.879749,8.439565,8.759783,9.7898,5.093217,4.132003,5.998638,3.3114,6.424227,7.085507,4.100692,5.468289,6.630347,5.100234,6.847342,5.661194,5.951414,5.706795,7.058379,5.932395,4.770986,6.381135,3.417883,7.659033,3.596994,3.962692,5.417361,5.219214,4.084268,6.308593,7.524413,4.209804,5.332868,4.596912,2.558218,5.330853,3.206693,2.752574,5.310843,3.140143,5.416473,4.425672,4.598858,5.168491,3.681863,5.700547,2.855506,6.121442,3.885472,2.272027,4.491966,4.320794,3.55409,3.741839,4.119403,4.054373,4.555869,4.968279,3.486243,5.844197,3.156465,2.807224,3.315822,3.90514,3.018858,3.128961,5.769402,3.773697,3.689238,3.950093,3.039841,5.141192
18,5.926454,5.203149,6.560536,5.173971,5.44874,5.020419,5.391189,3.324307,4.368478,4.651937,4.299316,8.141715,6.307108,7.374275,6.044768,6.993092,4.577773,4.378722,4.957062,3.956512,3.744656,4.247945,5.93091,6.615272,8.992911,9.042234,9.359447,9.678298,5.7,4.490668,6.470392,3.864695,6.695616,8.188374,4.449335,5.674305,7.364715,5.59618,7.104031,6.237178,6.842988,5.914895,7.29919,6.157671,5.641288,6.746527,3.413376,8.375593,3.924774,3.966517,5.981991,5.503356,4.231503,7.080983,6.816628,4.208967,5.127653,4.784986,2.877001,5.294232,3.289804,2.738933,5.786269,3.576233,5.885462,4.924982,4.997012,5.015587,3.78727,6.396638,2.86913,6.744154,4.487612,2.484088,5.057398,4.467449,3.930067,3.948112,4.399516,4.36042,4.92855,5.509451,3.941727,6.263726,3.493259,2.988008,3.397618,3.860717,3.020071,3.477109,5.717091,4.061288,4.073871,4.513426,3.340868,5.60581
21,6.418884,5.405922,7.092832,5.402217,5.917269,4.936643,5.472096,3.407896,4.361717,4.946528,4.492443,8.504938,6.62333,7.82008,6.760355,7.211965,4.895514,4.071378,5.274376,4.187899,3.76849,4.700715,6.240592,6.849425,10.00495,9.579258,9.697351,10.88925,6.029505,4.810594,6.651142,3.869834,7.098431,8.993372,4.636503,6.58915,7.965199,5.770972,7.675269,6.786955,7.328657,6.757028,7.826789,6.527381,6.141109,7.257207,3.414008,9.232562,4.253066,4.148547,6.411474,5.322999,4.482268,7.248586,7.247339,4.483805,5.730151,5.1976,3.006071,5.22449,3.433129,3.012354,5.911857,3.456587,6.267909,5.101242,5.537604,5.348728,4.073512,6.71554,2.978959,7.088393,4.446091,2.569896,4.98308,4.773103,3.790667,3.90304,5.053506,4.525053,4.922455,5.664353,3.910091,6.530301,3.603771,3.631156,3.851224,3.890116,3.272543,3.536607,6.062677,4.567307,4.19828,4.818619,3.234573,5.489749
24,6.83522,5.756033,7.700673,5.976716,6.237264,4.996124,5.279157,3.74481,4.305531,5.448945,4.552403,9.042969,7.256422,8.597404,7.572969,8.082129,5.383539,4.581802,5.381644,4.842793,4.186636,4.999522,6.954473,7.144818,10.39563,10.60036,9.895872,11.77331,6.383935,5.269835,7.243038,4.436394,7.596836,9.399772,5.035545,6.56979,8.575806,6.392608,8.440386,7.700861,7.795393,7.318926,8.79263,7.20715,6.866531,7.954648,3.828876,10.30057,4.460722,4.442813,6.285357,5.725268,4.707372,7.815522,7.090868,5.162209,6.162827,5.259574,3.332093,5.234784,3.633239,3.003152,5.892052,3.2497,6.447907,5.012668,5.680111,5.253104,4.324191,7.083476,3.503162,7.715339,4.843442,2.554257,5.486335,4.837843,3.952688,4.045547,4.9846,4.994639,5.068138,6.325358,4.094955,6.59393,3.273738,3.524195,4.196351,4.216223,3.588628,3.85119,6.510274,4.886415,4.29486,5.55705,3.280977,6.458184
27,7.268476,6.130388,8.039124,6.866737,6.761756,5.7217,5.584229,4.233654,4.540486,5.371435,5.442833,10.24716,8.362141,9.222198,7.300555,8.728266,5.50223,4.986922,5.909057,5.165504,4.583595,5.296571,7.755801,8.087457,11.82498,11.01563,10.77416,12.21193,7.13898,5.693974,7.807583,4.797005,8.067515,10.59516,5.345245,7.304141,9.617723,6.994987,9.150834,8.611608,8.467668,7.898341,10.04509,8.741514,7.13606,9.057736,4.287058,11.5648,4.657162,4.412151,6.50324,5.087156,4.793231,7.832936,7.465735,5.254623,6.84403,5.344273,3.285655,5.736963,3.518579,3.201127,6.648137,3.68456,7.211726,5.581805,6.110874,6.175665,4.537191,8.023263,3.640154,7.167712,5.573372,2.726368,5.210251,5.32877,3.968309,4.226313,5.589199,5.155021,5.600176,6.537352,4.289687,7.527112,3.500976,3.527559,4.395419,4.541084,3.714386,3.896518,7.30496,4.922182,4.52903,6.189084,3.579511,6.911723
30,7.934382,6.314296,8.680171,6.909811,7.436659,6.302687,6.313357,4.485836,4.963857,5.853724,5.861048,11.4874,9.213526,10.06016,8.074464,9.33534,6.07077,5.599715,6.36181,5.327268,5.15427,5.579894,8.235409,8.542908,12.28012,12.0704,10.61773,12.95296,7.373645,5.883619,8.142585,4.825704,8.121654,10.87083,5.406401,7.544987,9.514671,7.530509,10.40777,9.746707,9.530225,8.804461,11.38836,9.150731,7.674501,10.08157,4.718333,12.19817,4.640276,4.661737,6.792436,5.432658,4.767008,8.848118,7.316536,5.093439,6.840991,5.997886,3.775933,5.12318,3.844754,3.399001,6.91565,4.347103,7.259102,6.026586,6.253875,6.498818,4.997166,8.573757,4.004264,7.989852,5.799638,2.65263,5.831051,4.975756,3.95752,4.91566,5.550408,5.624419,5.853348,6.897178,4.374146,8.008137,3.556958,4.075032,4.502892,5.015091,3.699106,4.20166,7.38901,5.535368,4.738172,6.329166,3.699345,7.497763
33,8.518476,6.927533,8.902341,7.702176,8.048036,7.014655,7.303936,4.891981,5.659145,6.423442,6.047414,11.6761,9.832635,10.76488,9.254687,9.92131,7.125133,5.967479,6.777497,5.430712,5.281342,6.225466,9.082697,9.814846,12.76569,11.1581,11.80657,13.75866,7.535699,6.186215,8.958663,4.995322,8.946251,11.21206,5.481178,8.018961,11.28182,8.112912,11.83703,11.01697,11.03872,9.284684,12.35712,9.906254,9.238349,10.89533,5.519763,13.48141,4.99971,4.90837,6.85902,5.853655,5.073856,8.587688,7.608548,5.493744,7.660348,6.250683,4.194455,6.100392,4.112677,3.769787,6.811182,4.811653,7.778781,6.3432,6.877697,6.544266,5.214843,9.262592,4.244393,8.169065,5.804623,3.025056,6.07036,5.516656,4.171851,4.868574,6.444834,5.874843,6.276855,6.832727,4.306862,8.100654,3.715718,4.271692,4.719409,5.293088,4.112438,4.580471,7.699137,6.038622,5.14954,6.973185,4.118891,7.679537
