 ,Area,Mean,Min,Max,X,Y
1,0.000,84,84,84,2.448,2.240
2,0.000,121,121,121,3.144,1.583
3,0.000,22,22,22,2.066,1.683
4,0.000,107,107,107,1.796,0.378
5,0.000,178,178,178,3.215,2.236
6,0.000,150,150,150,3.853,0.094
7,0.000,157,157,157,3.172,0.009
8,0.000,150,150,150,5.016,0.278
9,0.000,166,166,166,5.356,0.647
10,0.000,109,109,109,5.541,1.158
11,0.000,87,87,87,4.718,2.307
12,0.000,171,171,171,4.009,1.952
13,0.000,19,19,19,4.959,2.690
14,0.000,82,82,82,4.803,3.257
15,0.000,80,80,80,5.087,3.115
16,0.000,95,95,95,3.059,4.179
17,0.000,32,32,32,0.945,4.250
18,0.000,33,33,33,0.222,4.406
19,0.000,104,104,104,1.583,5.796
20,0.000,77,77,77,2.094,9.810
21,0.000,91,91,91,3.115,10.151
22,0.000,36,36,36,3.200,8.151
23,0.000,164,164,164,3.896,6.945
24,0.000,92,92,92,4.463,8.619
25,0.000,98,98,98,5.881,8.463
26,0.000,93,93,93,6.392,9.130
27,0.000,129,129,129,7.002,8.349
28,0.000,80,80,80,6.732,7.981
29,0.000,88,88,88,6.917,5.952
30,0.000,120,120,120,6.052,5.654
31,0.000,131,131,131,5.498,5.683
32,0.000,171,171,171,4.591,5.541
33,0.000,5,5,5,6.307,4.534
34,0.000,40,40,40,6.619,4.307
35,0.000,180,180,180,6.888,3.825
36,0.000,104,104,104,5.782,3.853
37,0.000,125,125,125,6.704,2.860
38,0.000,124,124,124,7.598,1.513
39,0.000,150,150,150,6.888,1.810
40,0.000,98,98,98,7.030,0.264
41,0.000,163,163,163,6.477,0.023
42,0.000,8,8,8,9.966,0.222
43,0.000,69,69,69,10.846,0.846
44,0.000,7,7,7,8.520,2.378
45,0.000,34,34,34,8.775,3.016
46,0.000,178,178,178,8.917,4.562
47,0.000,135,135,135,8.307,5.158
48,0.000,137,137,137,8.988,7.314
49,0.000,142,142,142,8.576,8.888
50,0.000,149,149,149,10.449,10.080
51,0.000,2,2,2,11.484,10.718
52,0.000,78,78,78,11.697,10.137
53,0.000,30,30,30,11.739,9.867
54,0.000,103,103,103,11.768,9.484
55,0.000,136,136,136,11.257,9.215
56,0.000,101,101,101,12.208,8.732
57,0.000,120,120,120,12.562,7.796
58,0.000,110,110,110,12.576,9.470
59,0.000,131,131,131,12.179,10.208
60,0.000,47,47,47,13.186,6.718
61,0.000,181,181,181,14.420,6.236
62,0.000,132,132,132,13.016,5.867
63,0.000,71,71,71,13.186,4.945
64,0.000,77,77,77,12.250,5.172
65,0.000,150,150,150,12.179,3.839
66,0.000,137,137,137,11.087,4.264
67,0.000,198,198,198,10.931,5.300
68,0.000,51,51,51,10.605,6.278
69,0.000,189,189,189,10.108,5.286
70,0.000,196,196,196,10.066,4.491
71,0.000,161,161,161,10.364,3.810
72,0.000,63,63,63,10.633,3.498
73,0.000,95,95,95,10.732,3.725
74,0.000,62,62,62,10.406,3.087
75,0.000,158,158,158,12.307,0.846
76,0.000,9,9,9,13.513,0.378
77,0.000,120,120,120,12.974,0.534
78,0.000,145,145,145,12.846,0.803
79,0.000,52,52,52,13.527,1.314
80,0.000,85,85,85,14.023,1.087
81,0.000,128,128,128,14.392,0.974
82,0.000,110,110,110,14.562,1.541
83,0.000,250,250,250,14.222,1.739
84,0.000,86,86,86,14.009,1.952
85,0.000,203,203,203,13.555,2.491
86,0.000,138,138,138,13.626,3.115
