 ,Area,Mean,Min,Max,X,Y
1,0.000,142,142,142,1.375,2.938
2,0.000,104,104,104,0.578,2.453
3,0.000,55,55,55,0.273,2.009
4,0.000,103,103,103,0.231,2.745
5,0.000,90,90,90,0.634,3.356
6,0.000,178,178,178,1.036,3.439
7,0.000,93,93,93,0.481,4.092
8,0.000,102,102,102,0.634,4.495
9,0.000,56,56,56,0.300,4.786
10,0.000,149,149,149,0.023,3.786
11,0.000,110,110,110,0.425,6.939
12,0.000,138,138,138,0.564,7.856
13,0.000,129,129,129,0.064,7.856
14,0.000,177,177,177,2.467,7.925
15,0.000,66,66,66,1.286,8.870
16,0.000,79,79,79,0.717,9.481
17,0.000,162,162,162,0.495,10.384
18,0.000,146,146,146,0.606,10.661
19,0.000,89,89,89,2.453,10.092
20,0.000,117,117,117,2.974,10.661
21,0.000,166,166,166,3.569,10.605
22,0.000,136,136,136,4.122,10.349
23,0.000,98,98,98,4.718,10.264
24,0.000,116,116,116,5.229,9.796
25,0.000,116,116,116,4.420,9.612
26,0.000,114,114,114,3.910,9.881
27,0.000,98,98,98,3.924,9.101
28,0.000,142,142,142,3.541,8.747
29,0.000,28,28,28,3.739,8.321
30,0.000,148,148,148,3.981,8.633
31,0.000,120,120,120,3.130,8.917
32,0.000,147,147,147,3.286,9.456
33,0.000,40,40,40,3.172,9.782
34,0.000,145,145,145,3.555,10.108
35,0.000,136,136,136,3.413,10.803
36,0.000,59,59,59,5.200,6.364
37,0.000,0,0,0,4.959,5.825
38,0.000,76,76,76,5.144,5.385
39,0.000,90,90,90,5.810,5.796
40,0.000,144,144,144,6.080,5.470
41,0.000,74,74,74,5.768,5.172
42,0.000,132,132,132,5.016,3.044
43,0.000,78,78,78,5.598,2.321
44,0.000,119,119,119,4.676,2.080
45,0.000,79,79,79,3.115,2.137
46,0.000,181,181,181,11.442,2.619
47,0.000,70,70,70,11.271,2.264
48,0.000,118,118,118,11.981,2.264
49,0.000,134,134,134,12.392,1.853
50,0.000,114,114,114,12.037,3.910
51,0.000,188,188,188,12.009,3.484
52,0.000,152,152,152,11.371,3.640
53,0.000,109,109,109,11.186,4.052
54,0.000,120,120,120,10.449,7.059
55,0.000,142,142,142,10.548,7.484
56,0.000,150,150,150,10.945,7.257
57,0.000,122,122,122,11.271,7.101
58,0.000,153,153,153,11.796,10.236
59,0.000,175,175,175,12.406,10.236
60,0.000,74,74,74,12.775,9.513
61,0.000,81,81,81,13.697,10.108
62,0.000,158,158,158,13.825,10.633
63,0.000,145,145,145,13.044,10.576
64,0.000,87,87,87,13.044,10.052
