 ,Area,Mean,Min,Max,X,Y
1,0.000,129,129,129,0.667,4.885
2,0.000,172,172,172,0.179,4.264
3,0.000,106,106,106,0.392,5.385
4,0.000,120,120,120,0.066,5.981
5,0.000,122,122,122,0.179,6.718
6,0.000,76,76,76,0.108,7.186
7,0.000,95,95,95,0.449,7.456
8,0.000,83,83,83,2.264,9.725
9,0.000,108,108,108,2.945,9.981
10,0.000,151,151,151,2.165,10.576
11,0.000,79,79,79,3.555,10.747
12,0.000,124,124,124,5.640,9.115
13,0.000,142,142,142,4.392,3.030
14,0.000,197,197,197,3.981,3.598
15,0.000,94,94,94,6.293,0.378
16,0.000,83,83,83,9.200,2.789
17,0.000,130,130,130,9.697,2.548
18,0.000,158,158,158,10.817,2.775
19,0.000,105,105,105,12.491,0.732
20,0.000,83,83,83,11.555,1.669
21,0.000,106,106,106,12.066,1.995
22,0.000,190,190,190,11.924,1.527
23,0.000,106,106,106,12.208,1.825
24,0.000,100,100,100,9.583,1.328
25,0.000,106,106,106,9.101,1.810
26,0.000,175,175,175,8.789,1.286
27,0.000,115,115,115,8.562,0.661
28,0.000,127,127,127,9.016,0.605
29,0.000,86,86,86,9.484,0.378
30,0.000,109,109,109,10.151,0.619
31,0.000,159,159,159,10.066,0.222
