Dasatinib,Line,p-YAP,p-ABL,p-SRC
0nM,WT,86,126,15
1.6nM,WT,95,131,15
8nM,WT,78,108,16
40nM,WT,94.5,118,15
200nM,WT,93,109,16
1000nM,WT,88.5,117,16
0nM,KO,103.5,123.5,15
1.6nM,KO,88,103.5,15
8nM,KO,71.5,105,15
40nM,KO,78,117,15
200nM,KO,54,105,15
1000nM,KO,70,106,16
