Dasatinib,Line,p-YAP,p-ABL,p-SRC
0nM,WT,57,12,6
1.6nM,WT,63,20,1
8nM,WT,50,5,6
40nM,WT,66,10,3
200nM,WT,112,15,7
1000nM,WT,60,14,10
0nM,KO,71,10,12
1.6nM,KO,62,14,7
8nM,KO,40,8,6
40nM,KO,85,11,6
200nM,KO,77,10,6
1000nM,KO,64,10,10
0nM,WT,56,11,7
1.6nM,WT,40,8,4
8nM,WT,32,7,3
40nM,WT,61,15,5
200nM,WT,88,15,9
1000nM,WT,58,8,6
0nM,KO,10,7,3
1.6nM,KO,73,3,12
8nM,KO,46,9,6
40nM,KO,45,13,6
200nM,KO,49,16,7
1000nM,KO,81,11,9
