Cell Line,Treatment,Time point,p-MEK,p-JNK,p-Erk,p-Src,p-Abl,p-mTOR,p-Stat3,Akt,p-YAP,tAXL,p-AXL,p-EGFR
WT,UT,0,179,21.5,38,96,159,171,103,1200,406.5,536,34,1771
WT,A,5,1230,34.5,36.5,101,168,210,117,3387,804.5,392.5,211.5,1168
WT,AE,5,646.5,24,45.5,151,158.5,275,91,1357,672,275,157.5,50
WT,A,10,975,25,39,97,140.5,228,87.5,2870,727,251,247,1018
WT,AE,10,229,26,36,203,142.5,220.5,83,1805,786.5,299.5,268,38
WT,A,30,461,21,37,107,116,234,66.5,4022.5,638,280,441,1363.5
WT,AE,30,464,24,42.5,118.5,132,230,84,4298,595.5,321,427,87
WT,A,60,357,25,42,105.5,158.5,284,119.5,3931,449,191,351,1263
WT,AE,60,55,24,31,78.5,147,137,87.5,1836,372.5,204,303.5,99
WT,A,120,273,21,41,100,143.5,231,91.5,2984.5,427.5,255.5,238,1197.5
WT,AE,120,45,26,38,94,137,190.5,102,2163,526,321.5,328,171
WT,A,240,361,23,43,153.5,147,225,93,3606,480,231,191,1171
WT,AE,240,40.5,20,32,98,136.5,145,86,2052,582,257.5,264,236
KO,UT,0,197,21,35.5,154,135,210.5,86.5,1261,528,41.5,20,1134.5
KO,A,5,631,18,30,93,123.5,157,79,1348,836.5,36,19,769.5
KO,AE,5,370.5,24,41,112,147.5,196,83,577.5,850,29,22,48.5
KO,A,10,507,20,34,58,99,122,81,695,1199,37,18.5,984
KO,AE,10,120,28.5,36,133,153,145.5,89.5,293,1086,24,25.5,34
KO,A,30,606.5,13,31,36.5,100.5,105.5,76,126.5,1267.5,33,26,26
KO,AE,30,96,24,43,134,157,140,93,415,582,30,31,59
KO,A,60,236.5,26,32.5,122,112.5,123,70,730,672,32,21,41
KO,AE,60,68,24,40,113,163,127,104.5,460,582.5,25,20,31
KO,A,120,187,15,29,61,98,107.5,74.5,1245,749,30,19.5,1257.5
KO,AE,120,37,18,33.5,99,132,72,71,422.5,583,32,29,87
KO,A,240,268,12,27,99,110.5,123,84,881,745,29,29,1071
KO,AE,240,65,29,41,104,163,120,111,488,608,28.5,30,108
KI,UT,0,113,18.5,29,64,97,122,65,689,507,322,44,892
KI,A,5,943.5,28.5,34.5,105.5,160,177,94.5,1618.5,657,284,63,683
KI,AE,5,344,13,20,81,116,108.5,74,571,808,190,66,61
KI,A,10,730,32,34,72,167.5,200,109.5,1362.5,947,288.5,81,825
