Treatment,Line,Lysis_Buffer,p-MEK
UT,WT,RIPA,23
UT,WT,NP-40,225
EA,WT,RIPA,17.5
EA,WT,NP-40,31.5
EA+50nM Das,WT,RIPA,17
EA+50nM Das,WT,NP-40,28
EA+100nM Das,WT,RIPA,17
EA+100nM Das,WT,NP-40,34
EA+200nM Das,WT,RIPA,19
EA+200nM Das,WT,NP-40,35.5
EA+500nM Das,WT,RIPA,17
EA+500nM Das,WT,NP-40,41
E,KO,RIPA,15
E,KO,NP-40,31
E+50nM Das,KO,RIPA,14
E+50nM Das,KO,NP-40,36
E+100nM Das,KO,RIPA,14
E+100nM Das,KO,NP-40,42
E+200nM Das,KO,RIPA,16
E+200nM Das,KO,NP-40,41
E+500nM Das,KO,RIPA,17
E+500nM Das,KO,NP-40,42
Detection + SAPE,Background,RIPA,13
Detection + SAPE,Background,NP-40,13
Beads Only,Background,NP-40,5
