Dasatinib,Line,Lysate_Con,p-YAP,p-ABL,p-SRC,p-MEK
0nM,WT,5,68,101,42,26
1.6nM,WT,5,67.5,87.5,40.5,28
8nM,WT,5,83,96,43,28.5
40nM,WT,5,70,94.5,41,25
200nM,WT,5,65,90.5,33,25
1000nM,WT,5,58,73,31.5,27
0nM,KO,5,67.5,109,49,25
1.6nM,KO,5,73,92.5,44,23
8nM,KO,5,71,89.5,38,24
40nM,KO,5,55,86,34.5,21
200nM,KO,5,56,73.5,25,22
1000nM,KO,5,54,62,26,21
0nM,WT,1,70.5,115,30,16
1.6nM,WT,1,59,66,26,18.5
8nM,WT,1,57.5,67,29,17
40nM,WT,1,61,68,28.5,17
200nM,WT,1,58,63,25,18
1000nM,WT,1,55,62.5,26,18
0nM,KO,1,53,66,25,19.5
1.6nM,KO,1,58,68.5,30,15
8nM,KO,1,58.5,59.5,25.5,17
40nM,KO,1,71,76,29,17
200nM,KO,1,53.5,63,26,16
1000nM,KO,1,49.5,60,23,14
0nM,WT,0.2,53,77,27,16
1.6nM,WT,0.2,66,96,32,15
8nM,WT,0.2,69,94.5,34,17
40nM,WT,0.2,59,87,29,15
200nM,WT,0.2,59.5,88,26.5,14
1000nM,WT,0.2,45,72,22,15
0nM,KO,0.2,64,94.5,29.5,14
1.6nM,KO,0.2,60,93,28,15
8nM,KO,0.2,53,83,26,17
40nM,KO,0.2,49,93,26.5,14
200nM,KO,0.2,53,84,26,14
1000nM,KO,0.2,55,84,29,15
Background,Background,Background,59,112,26,14
Background,Background,Background,15.5,116,28,15.5
Background,Background,Background,70,116,30.5,14
