Dasatinib,Line,p-YAP,p-ABL,p-SRC
0nM,WT,49,42,79
1.6nM,WT,55,48,53
8nM,WT,47,37,43
40nM,WT,49,47,44
200nM,WT,88,150,59
1000nM,WT,55.5,80,36.5
0nM,KO,47,46,72
1.6nM,KO,45,50,58
8nM,KO,48.5,60.5,71.5
40nM,KO,52,64,54.5
200nM,KO,65,106,64
1000nM,KO,60,56,23.5
0nM,WT,43,41,66
1.6nM,WT,49,41,45
8nM,WT,45,35,37
40nM,WT,48,43,49
200nM,WT,62,102,46
1000nM,WT,54.5,66.5,32.5
0nM,KO,46.5,49,84
1.6nM,KO,47,41,52.5
8nM,KO,46,47,61.5
40nM,KO,51,68,48
200nM,KO,53,105.5,46
1000nM,KO,57,54,25
BG1,BG1,59,95,35.5
BG2,BG2,59,95,39
BG3,BG3,52,95.5,36
