Dasatinib,Line,p-YAP,p-ABL,p-SRC
0nM,WT,46,65,27
1.6nM,WT,51,48,36
8nM,WT,35,42,15
40nM,WT,59,52,35
200nM,WT,44,59,40
1000nM,WT,55,47,37
0nM,KO,74,64,52
1.6nM,KO,68,56,56
8nM,KO,42,38,39
40nM,KO,47,48,32
200nM,KO,86,56,47
1000nM,KO,50,62,33
0nM,WT,36,44,26
1.6nM,WT,45,62,32
8nM,WT,42,48,43
40nM,WT,37,41,31
200nM,WT,74,81,39
1000nM,WT,55,59,42
0nM,KO,32,41,35
1.6nM,KO,61,62,52
8nM,KO,40,42,27
40nM,KO,51,42,31
200nM,KO,61,46,33
1000nM,KO,38,45,42
BG_BSA,BG_BSA,48,62,32
BG_BSA,BG_BSA,74,74,49
BG_RIPA,BG_RIPA,34,40,29
BG_RIPA,BG_RIPA,27,39,26
BG_RIPA,BG_RIPA,44,41,42
