Dasatinib,Line,p-YAP,p-ABL,p-SRC
0nM,WT,155,6,205
1.6nM,WT,45,13,206
8nM,WT,28,17,211
40nM,WT,56,13,209
200nM,WT,92,13,244
1000nM,WT,52,13,227
0nM,KO,20,8,255
1.6nM,KO,44,14,279
8nM,KO,12,11,208
40nM,KO,79,9,235
200nM,KO,158,22,243
1000nM,KO,129,15,199
