Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,746.49205,741.3855,742.3317,723.69975,781.4282,773.15715,765.7624,749.61315,787.77355,803.2696,740.41595,762.07645,781.87615,836.9807,795.0889,749.8523,815.68945,798.4803,751.6141,760.61665,741.0718,802.94905,720.01115,733.09425,761.9765,786.8427,739.9304,763.71395,757.68065,785.778,749.46565,729.99805,709.87985,765.14195,735.64205,720.37505,740.5022,728.9101,758.43595,652.181
2,527.0207,602.41105,563.8736,608.0355,657.2104,689.1973,639.77385,682.7753,661.4131,687.59475,636.34435,667.7299,687.94015,760.93085,693.25145,690.9348,655.71885,670.81135,590.23395,637.0738,589.40935,671.9723,537.9707,590.20595,619.022,661.34175,592.19515,640.55925,641.18915,670.7553,586.5448,619.69585,538.17225,615.79885,568.94525,587.91575,613.39865,618.4487,602.19315,541.9899
4,353.33915,476.8879,430.3184,496.03765,548.98315,589.56805,500.89195,620.5448,521.41315,582.58165,528.30595,576.4992,591.31345,687.0769,572.2632,629.458,522.2732,543.5687,433.1777,524.90505,457.0188,544.6662,360.4615,377.26975,482.35155,534.6756,432.77045,511.26125,525.05315,568.42535,441.3901,506.60475,380.44215,509.91735,398.9651,448.92915,466.64715,535.9979,459.5735,437.8363
6,231.6205,360.9883,282.92795,383.91815,443.6279,539.57175,359.4994,544.8254,368.4295,461.4437,406.93525,463.63925,498.4738,604.8895,451.0067,593.6925,356.7676,431.74485,273.7286,403.02505,293.9621,423.72395,138.2429,272.8226,362.86965,420.55365,274.00475,373.22355,379.0114,467.21995,264.0649,400.3297,225.4666,404.00615,286.752,332.0035,331.1879,445.4352,355.04385,369.61955
8,0,271.3009,117.8016,304.0775,431.25825,449.11055,293.1931,469.3446,242.717,372.6999,275.9797,356.3069,380.1634,538.48325,359.895,568.6645,234.78495,335.18645,147.00115,316.26625,186.09665,317.31875,117.29015,197.76225,286.148,325.5994,93.4368,329.88195,253.35495,382.7836,112.3337,310.8232,0,324.09255,57.281,254.0505,296.2708,369.1737,133.17065,284.9733
10,0,254.30065,0,203.8183,278.2159,390.1963,150.84635,396.7971,202.28655,311.8657,205.322,301.2886,377.6098,502.5475,225.24125,511.5961,82.0187,264.8006,0,298.9899,0,282.06905,0,0,81.75315,247.8496,0,224.2644,117.9645,321.64425,0,252.13955,0,236.5679,0,171.40715,104.1414,311.67795,0,330.33105
12,0,179.64445,0,143.51668,120.92535,338.76665,0,356.967,0,238.06155,0,265.1386,253.74325,449.1587,147.9294,456.5185,0,242.936,0,220.288,0,241.84485,0,0,0,226.6408,0,0,0,273.73605,0,114.0109,0,216.7676,0,92.1817,0,287.39355,0,261.96885
14,0,66.7152,0,63.89505,120.325,326.86295,0,388.7714,0,222.94,0,217.59535,94.7501,409.20005,0,430.18195,0,223.7228,0,0,0,92.1304,0,0,0,191.30535,0,0,0,272.5354,0,0,0,196.5278,0,61.76935,0,264.45045,0,135.64545
16,0,0,0,0,89.278,291.37045,0,336.70015,0,234.41685,0,81.26285,0,376.75035,0,445.97995,0,176.82165,0,0,0,0,0,0,0,92.36365,0,0,0,253.50575,0,0,0,84.4665,0,0,0,207.04145,0,101.96705
18,0,0,0,0,0,243.8711,0,317.29395,0,177.31615,0,0,0,375.00655,0,404.78735,0,60.7988,0,0,0,0,0,0,0,0,0,0,0,215.1444,0,0,0,0,0,0,0,148.8994,0,0
20,0,0,0,0,0,290.33215,0,289.18495,0,81.30675,0,0,0,362.4433,0,386.21675,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6907,0,0,0,0,0,0,0,128.91295,0,0
