Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,27.466185,24.451445,29.797305,17.39258,35.21752,33.29257,32.54676,17.57985,27.690525,18.989705,20.86245,25.014195,23.98122,17.2639,24.775835,21.994625,22.14287,24.446425,27.556625,24.9877,19.725755,16.331405,16.38709,18.58586,22.318785,15.87433,31.215585,25.089345,20.44469,15.06155,17.81363,13.28836,22.414675,19.169605,22.09401,21.3198,19.970825,16.35583,14.64276,30.037375
4,41.02446,42.136865,43.694045,29.279555,49.5641,50.25129,50.93649,25.19965,39.8431,29.28725,34.511895,37.485995,42.98873,29.39571,41.72538,39.575035,34.57769,46.19946,44.606605,37.01197,29.928965,30.177115,28.85847,30.54403,31.368145,27.180935,26.77041,39.909845,31.167405,22.67932,28.312965,24.437605,37.594955,28.0875,34.212235,33.0325,33.53354,22.897115,25.921295,38.50886
6,52.208585,55.988285,53.84309,39.523335,61.704925,57.1667,64.6219,33.73687,47.913505,37.78979,44.24493,48.715535,55.909145,39.133225,54.00558,49.496115,45.826685,56.732125,59.404745,49.7971,38.33382,38.667565,40.971595,41.60096,42.63521,31.075905,35.370055,49.040955,40.27369,30.13406,35.53542,33.502695,47.666225,35.79741,44.77058,44.81839,44.115195,28.80417,34.11183,44.151245
8,65.530095,64.58295,63.065225,47.999965,70.388295,67.564,77.74808,42.24156,52.764655,45.600415,55.571325,58.262355,65.07518,48.288685,62.45698,59.550945,55.22996,68.80227,69.424785,59.225915,46.710645,45.423725,51.627535,49.75975,50.58111,38.715005,44.107995,59.98272,49.309505,35.30769,44.60674,40.684885,55.18073,42.105065,54.584255,51.227645,48.27859,36.01584,46.17457,40.57349
10,72.587545,70.25053,73.204555,57.21056,79.99644,72.93277,80.926265,48.297115,63.88633,50.88708,62.972255,65.83264,77.906695,52.86757,70.824125,64.973815,61.624235,77.223635,77.163455,67.38663,52.94197,49.49063,62.628615,58.336525,56.51781,44.408495,53.05769,67.77859,56.1267,39.312645,54.43154,47.52235,59.69654,46.87676,65.49678,58.943915,58.06559,40.751145,53.17495,45.03105
12,80.425025,74.043305,81.365225,65.13043,83.8844,79.871735,86.06245,52.29762,67.03261,55.616775,70.63435,73.432815,82.23133,57.608815,76.94015,70.54755,65.245915,82.138825,81.98729,73.53509,56.130115,54.69218,68.95118,63.712595,62.35435,49.900815,58.87055,75.776775,60.43847,43.048375,59.92444,53.03261,67.2043,49.134685,68.97762,64.088455,59.702765,44.105305,63.24392,49.25747
14,86.58229,79.54409,85.96666,71.14302,87.33395,82.18099,88.74452,53.111895,72.22375,59.237535,75.048105,78.48872,87.959495,61.947215,83.12246,73.879585,72.22937,86.729045,88.54968,75.860915,61.03478,58.644985,75.124905,68.216585,66.758045,52.90347,67.45861,79.13588,66.8337,46.38931,66.109075,55.862095,72.19996,52.45653,73.213555,67.885195,69.2532,47.843905,68.57397,52.06463
16,91.80063,83.931085,91.91288,77.404925,93.55968,82.45788,92.436975,56.05747,79.550495,62.721195,78.438545,84.629385,91.87919,66.40203,89.868315,75.70856,78.36167,89.389135,90.241415,80.55072,68.970235,60.34891,79.89021,74.311635,72.493465,57.23578,73.933185,82.046725,70.911945,50.83015,72.18208,59.858855,76.533765,55.542605,78.78746,70.72434,75.04395,50.208685,72.73139,55.415825
18,94.43116,86.277675,93.926125,83.2525,94.88054,83.36533,96.954705,58.97053,82.93235,64.920685,83.970335,88.474835,93.73439,68.869885,92.639975,76.83578,83.34795,93.85104,92.489605,83.52968,74.82607,64.492855,85.47986,78.74027,78.48766,61.392125,80.355555,86.96324,75.6543,52.832885,74.867255,63.726175,81.497455,60.016075,84.813725,75.247245,77.806265,52.515725,79.918385,57.70332
