Elapsed,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20.59954322,20.41490915,11.3742144,32.27660425,17.4812924,13.9001811,18.15463655,34.92484958,17.00558534,22.15451357,17.03327526,20.2783943,21.81702555,22.76640295,21.28629402,43.59377096,20.90080531,22.76751183,17.24807564,22.36241441,15.8102275,17.12409479,18.64865291,38.12405427,20.5629213,15.07209217,18.77581464,23.34439177,21.4575541,14.45207821,51.79428352,26.73648229
4,28.67268482,31.35649493,20.43985135,30.49645431,29.48832162,19.82358638,35.97871161,33.04813949,32.93429887,31.08883744,23.13103294,24.29629288,28.80884715,31.63037303,37.36205966,51.07509878,31.43573388,32.45213767,28.4542933,38.11835201,20.9739475,22.39779367,30.1545263,42.11098582,22.98994188,22.29466697,31.2689159,32.53694587,24.14215245,19.49306795,47.27202619,33.78649963
6,38.13858172,35.75402795,30.28299126,26.29668668,42.14726413,25.03381131,44.80802149,28.94045409,49.23194178,38.59596784,36.25528802,33.30486448,39.69782018,42.96155209,46.33582107,50.09576193,31.77262692,40.05900686,38.30617,46.24319372,27.09593946,27.5289503,39.93976458,50.17538383,29.30442687,30.41418635,42.87405444,43.44344214,38.44554984,22.70210074,47.40360845,39.99184343
8,50.62390495,38.60044573,38.93044164,32.83094351,50.86434967,24.78620507,54.15660091,30.22430828,70.76870772,46.56459341,36.47047063,37.53647991,49.28922788,49.02021326,58.63367242,51.18380263,40.8107812,45.4693661,53.0218683,53.37586646,37.15472545,31.86980921,49.93620221,55.80920028,41.74619816,37.6218473,48.48810241,47.05868259,47.2334188,22.74394149,50.83783518,43.47970888
10,61.11668883,41.79744138,53.43554206,43.66520297,54.88647011,28.26432143,63.57308588,33.24445543,82.06693775,55.76082315,46.05736609,47.09649926,54.28257494,56.23767929,66.5767628,56.62513168,49.2358096,49.66998251,63.70584024,59.38819224,48.0711806,36.05537677,58.38304987,55.69307957,45.67222099,41.27897925,55.22989027,47.73802517,50.23573574,25.34108315,53.09726081,45.05486707
12,66.37469814,45.61514232,63.35743888,51.30408448,69.10602953,33.30967965,68.69979164,36.16120006,85.89447021,58.21084355,52.52695652,52.65647994,57.01537669,58.12992342,71.98934052,64.39175103,54.93229438,53.69527543,73.37119292,70.49079007,51.57066939,36.39751408,64.56133799,60.79346243,55.35689448,44.20913826,64.70920698,56.70510844,53.93637292,26.84382039,62.46042288,52.55805018
14,70.93486604,53.62703694,64.52896136,64.76276565,74.68882663,36.04231623,77.88511379,38.09734704,95.20358378,58.38328938,58.95898329,67.76804361,64.62599937,63.32385447,85.64555802,77.24531398,62.49819341,56.84074495,82.51301741,77.57633751,55.9765985,38.26609361,66.73584003,64.77157604,60.55604593,45.35459231,72.57620477,58.39126302,59.04531509,31.16699714,67.75536168,54.56254919
16,78.83284097,59.17501201,78.90043104,66.41938597,82.48376104,37.24723846,86.02351608,40.67130176,109.5509167,63.95152165,62.70919693,67.83804675,64.96830252,65.49337617,88.80548017,75.93077709,69.84785748,59.39670174,90.50272467,81.05697536,55.80277466,38.39440485,73.22814052,72.8255346,63.72609099,48.37471987,79.21885549,65.26068965,64.51419321,32.98227108,77.91853199,57.7984036
18,90.78812094,62.16635205,84.35241577,69.04424448,89.66986009,37.34371894,87.78313679,43.3903822,104.1097861,66.736314,66.43197737,76.18840535,69.22292354,73.84605128,95.82171451,77.7579287,75.05452474,59.80847938,96.77200354,90.36852417,62.3085116,40.58055394,77.22688903,79.33079348,68.78194862,49.92237304,85.58383057,69.00248736,63.70738608,34.83527309,80.52319278,59.07014057
20,104.6634078,66.91285697,91.74893421,83.33220049,86.97120628,38.96142718,98.21002569,44.44914234,107.9456282,61.13704107,82.36158123,82.07120189,80.93724118,77.05975239,101.7833118,82.19303859,77.62396515,63.60511428,101.4046563,95.93721761,69.61335806,40.83398305,77.28122824,80.32575434,70.44388805,55.70172606,93.19155551,72.19191417,71.44765371,37.64693378,84.63404512,67.28894215
22,107.4453392,70.77350075,97.65238085,91.45595901,98.90913887,40.03350983,100.3747355,44.93322871,106.7047763,61.18663827,93.71167294,78.75956986,78.74126174,79.56923966,106.5797527,81.80185431,87.85916778,66.76151287,106.4045437,104.2182325,71.08983359,44.26132037,84.80818329,87.48759287,78.84207692,57.24945806,98.37220361,74.06554166,77.71724619,41.99978355,89.71959537,68.72548921
24,110.3680361,71.50166423,101.7967499,97.06136492,94.70113882,39.33571843,100.7315923,44.93876657,121.9260708,61.76393932,99.71758039,89.91716669,95.10422945,80.88816325,109.0108871,88.70332523,99.91955741,71.10001637,108.6002083,108.7353304,79.26655735,47.89505066,92.07740575,88.80896473,82.88926422,60.36175878,110.7597508,78.44338807,81.25981995,45.38057089,103.6546362,69.12131112
26,114.0573203,77.09724962,100.1490387,95.85393653,103.4097288,41.88325618,101.6622872,47.6931093,119.9852885,65.94094395,103.1013536,86.35697672,98.92428768,82.07421326,103.3881929,90.92216593,102.5058078,68.84100131,106.7983204,113.5111982,79.66389483,49.45197709,100.0983003,93.26837288,84.7185109,62.02455518,108.7975137,81.78311876,81.84051044,48.56825722,104.6875302,68.85511143
30,122.7170428,83.4323003,108.334714,95.72603522,107.1204444,43.44547396,97.93663411,48.51055094,122.9823763,63.04587587,99.47365298,88.65497252,104.300661,85.93357933,108.7094824,97.00773112,107.5277542,73.44363975,112.4107398,114.995827,86.43223326,53.2535263,102.3702024,101.4668531,92.93064917,62.84236067,111.8616996,84.25591689,84.6422834,50.15419311,108.9938507,69.80422918
32,124.5391482,83.49768341,111.7986038,96.91902656,109.3193858,45.57100207,96.68939263,50.07612714,119.862695,65.37913293,114.3046876,88.22050668,102.7769794,90.81144863,113.7873202,94.69628688,108.7483535,78.13376904,119.0867478,118.0272121,94.96910853,54.4700573,113.068937,102.0784987,103.5549088,67.22177257,113.884904,82.96683208,93.62218015,49.69612906,112.7044965,72.50357985
34,119.9778951,82.4623987,106.6081934,94.17994313,102.75716,45.2472261,92.77510259,51.22619988,114.2579187,68.52685055,113.0773158,91.24708134,107.2904879,87.47039121,105.8605073,97.06346785,109.591728,79.09345229,114.9079663,123.6398309,94.93029078,58.20817899,111.5352049,99.76885193,101.490851,70.29840495,115.4295424,83.49889013,99.6705218,49.45865508,111.1460493,75.39788052
36,122.7941224,88.71894094,102.0029868,96.87319401,102.0436367,45.79664422,88.06523732,53.28666556,118.1813828,67.10210688,106.8196034,93.74367187,113.7510109,93.46311818,111.0460412,97.52081125,109.6597892,79.97177851,113.4737373,123.185848,98.63756233,59.41001185,110.052544,102.330247,105.0706297,68.68414763,110.0958387,83.26020365,100.1134602,49.12712358,108.6584483,76.54140654
38,118.7101192,86.04232232,95.85141249,96.60068008,103.2930911,47.59220372,87.82819033,53.04431901,119.9652074,69.12858095,108.9246562,90.8397598,114.1602885,93.22171295,108.4075768,97.91959388,111.5617651,80.05246947,115.0103786,124.3127194,100.4405562,62.05056458,113.058733,101.3927253,101.8641744,70.92832329,110.6069635,84.4886082,103.370719,52.97342523,113.5873243,75.86017488
