Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32.01522,30.367705,27.694925,28.40442,25.213775,17.908725,30.72813,21.64145,20.59856,14.57347,24.541825,18.384925,30.53857,15.1806,28.13288,18.495235,20.47255,15.825885,21.80221,14.736335,22.635735,13.64073,23.536965,21.40464,24.360655,13.23972,23.05194,18.5373,24.985635,14.11171,23.9399,20.424855,22.151745,14.903765,23.91214,13.91314,23.82476,15.147405,23.28927,18.602335
4,54.2954,48.35768,47.7351,46.312405,50.37953,34.304805,55.46187,36.703095,39.96562,28.957035,46.78448,35.84718,53.77771,29.817565,50.196325,34.15272,39.328215,31.909245,42.97319,28.81454,44.578295,30.086105,48.46624,39.733665,44.04901,26.594285,47.99454,37.434635,47.86627,28.45637,47.963415,37.371195,43.582945,31.33101,48.1081,29.80051,45.900905,30.533245,47.856175,32.34269
6,72.6437,62.01678,66.958445,59.84291,75.96768,49.95855,78.31535,51.24936,61.50959,43.85,69.813105,54.630645,75.890965,43.258855,73.649575,47.869175,59.10177,47.24029,64.568765,43.31975,67.270775,47.937045,73.777445,58.09782,63.6003,42.34523,70.77546,58.018475,72.576395,43.39024,73.92537,54.81466,66.546435,47.43417,70.73074,45.15188,69.7351,45.188225,73.154895,47.850885
8,89.7921,75.99438,83.66621,74.39558,93.104295,65.52843,94.44506,61.87316,82.07577,56.764925,89.669675,71.491505,90.67886,54.859995,90.48281,57.167705,77.66109,60.234265,83.345805,56.118235,86.860585,63.059545,93.471855,71.70747,81.36207,54.77642,88.19113,74.686295,88.845645,56.205775,91.14875,69.094555,82.891305,57.3028,88.16875,58.714495,88.66644,59.370245,90.2254,62.52279
10,98.12562,86.67628,96.105475,84.741955,97.89235,74.042845,99.13417,68.5401,94.23639,65.938255,96.227945,83.57958,97.928555,63.50068,97.03672,66.09452,88.99951,71.021945,92.671135,68.0481,96.94332,73.75882,98.15155,82.93154,92.052805,64.09166,95.64289,84.929115,96.317845,64.6474,96.86245,80.790335,93.029755,66.482395,95.709345,68.777925,96.280955,68.979775,98.71982,72.46957
12,99.94186,91.651295,99.099345,93.32522,99.994235,79.671035,99.58685,73.95994,98.48796,72.848695,98.54439,92.69791,99.906485,70.04736,99.047535,73.244715,95.71796,78.794025,97.47027,76.99548,100.6322,81.660615,99.432905,89.37002,97.585215,71.73519,99.42403,92.9775,98.731045,73.371745,100.017315,87.08071,98.110645,74.40392,98.669075,75.7881,99.51917,75.834905,99.713225,77.79574
14,101.28425,95.02986,99.903355,97.92392,99.803815,83.64091,100.11335,78.34329,100.48305,78.660585,99.828385,96.480735,100.015105,75.169975,99.809815,77.86978,99.15296,83.293025,98.820785,84.870875,100.1749,86.149245,100.038405,93.37261,99.77538,79.09562,99.978045,95.912895,100.14965,79.01655,100.27965,91.62529,99.37167,79.85789,99.80362,82.511015,100.45645,81.10331,100.13305,82.96613
16,100.89355,96.414925,100.71795,98.657755,100.42385,85.39833,100.10055,80.08867,100.31135,82.633215,100.073455,97.536895,100.05254,78.6361,99.9163,81.42861,100.26145,86.957905,100.025665,89.231525,100.37495,88.33014,100.22965,94.540955,100.36595,82.80991,100.16525,96.959585,100.10535,82.340685,100.4395,93.067425,100.10935,84.40432,100.32005,85.8459,100.22309,83.762785,99.9127,84.70398
18,100.61485,98.05684,101.20185,98.401175,100.3476,87.946995,100.097425,81.909235,100.71545,85.943005,100.11451,98.433665,100.2453,81.71908,100.01221,84.35675,100.43875,90.34073,99.989965,92.68947,100.22335,90.151985,100.2818,95.935365,100.1092,85.98573,100.29115,97.596175,99.913005,86.24084,100.3221,94.650395,100.41185,87.512425,99.992225,88.53934,100.0403,85.054275,100.11574,86.979395
