Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24.79815,21.265775,16.70966,17.6423,22.508345,18.918055,20.22362,9.08319765,14.872875,15.563215,16.889645,13.39804,20.756575,16.93056,25.06832,15.164275,21.681715,16.36568,17.09939,16.48336,16.12478,17.516275,17.308495,15.80332,13.61453,13.137305,18.711365,17.64873,14.628395,11.692505,16.84309,14.600645,16.49948,15.9017,17.385625,12.7434695,12.9203,9.793795,18.732385,13.67008
4,47.20027,34.509225,32.309805,30.805495,41.849495,30.959685,36.29759,11.9125435,28.0302,27.86226,29.322935,23.06149,40.303455,28.49668,47.130165,25.88941,39.95164,28.085725,32.539225,28.00478,28.79772,28.49098,33.690315,25.93422,26.45967,23.31034,30.44702,28.284315,24.34202,20.055275,30.92705,26.33943,29.391245,25.15156,31.622625,25.35446,22.499325,17.911345,29.67448,21.90345
6,65.877765,42.419625,46.765035,40.95416,57.422745,39.48294,52.300245,17.709605,40.30304,39.867965,42.79109,32.883065,56.286225,37.848365,63.88587,33.99447,52.983045,36.832925,48.13051,40.500225,42.344155,37.64004,45.168815,33.81523,35.96176,31.76859,44.025025,35.47026,31.154705,26.284305,39.446605,34.130725,40.317855,32.07379,46.861655,36.70791,33.831905,23.70082,36.769295,27.8962
8,80.32713,50.14403,60.178915,49.782075,69.97648,47.859375,65.14862,28.09821,50.226205,48.258315,55.456595,42.5194,67.208675,42.2247,76.673325,38.9677,67.542095,44.18186,58.71858,49.319115,54.062305,44.25633,61.1915,39.742135,43.263985,37.823425,58.079825,43.469485,39.948955,29.736515,51.24429,39.325825,50.03073,38.755555,58.201605,43.65937,41.59713,27.825705,45.04244,36.100005
10,89.664335,58.458395,69.785145,56.43508,77.943895,53.426385,76.93952,31.130865,60.69672,54.854645,64.41717,51.76777,76.769265,49.114205,86.35335,45.540835,79.263485,49.14732,65.908625,54.66744,63.63601,51.227385,69.745555,48.82353,52.709235,41.568335,67.14285,50.0427,50.367005,32.05984,59.86029,43.077455,58.170515,43.756435,66.91157,50.29058,50.222375,32.73376,53.259465,43.96202
12,95.782735,62.38434,80.68103,61.684165,88.09039,58.19074,86.9261,38.02041,70.258175,58.335705,76.02951,61.48982,86.381915,55.264145,92.98352,49.740135,87.29188,52.669725,75.232355,61.194255,70.826895,54.685735,79.223085,53.802325,61.396735,45.517635,78.373655,58.895625,54.346555,34.336525,67.13151,49.364555,64.480935,48.303075,75.651775,57.539235,57.52229,36.145715,62.76251,46.096285
14,98.53649,68.684785,88.2478,68.18833,94.298205,60.83601,92.14399,40.25891,77.456335,63.498685,82.092275,68.30942,92.192485,59.547925,95.35454,53.987535,91.357195,56.530245,83.61648,67.71682,78.476415,58.003535,85.40912,62.774105,70.803465,50.092835,84.522075,63.16023,59.375985,37.2265,73.625165,56.01098,71.455675,51.12911,82.111605,61.112765,65.74409,39.81597,71.415555,50.086345
16,98.8361,74.737725,92.25325,75.50147,96.31811,63.679645,94.57644,43.634615,84.009125,69.81845,86.12927,76.827435,97.76607,61.952605,98.15279,57.431335,94.596395,59.32645,87.175895,73.933355,84.214875,62.614485,91.409435,68.334675,73.623625,53.671095,91.90938,70.3975,65.238465,41.00313,79.476025,62.08058,78.488515,55.98655,86.000045,67.4516,73.81082,41.213735,77.080745,52.210175
18,99.685555,79.06419,95.27087,81.80301,97.21261,66.24263,96.829545,47.881395,89.070465,73.992675,91.6652,81.40225,98.836715,64.638635,98.608715,61.17033,97.87529,62.547395,93.26377,78.47454,88.4041,68.189535,94.903045,73.69234,82.874235,58.284235,96.612615,76.79948,72.825395,45.19664,82.30988,68.74883,82.08956,58.59411,89.36109,71.50348,78.957135,44.63309,83.64971,57.22608
