Elapsed,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,59.74623739,23.96383076,29.82158705,24.05953711,28.08206644,26.62453373,36.14686933,26.93656308,26.54917451,42.82081731,38.84153759,40.12980874,31.33130869,30.23960565,23.10740745,25.13830947,27.82586144,26.81890828,30.04893475,34.64016165,28.15451457,20.33373677,21.25441129,20.83067136,28.68792323,20.21567139,22.81786917,22.59242403,36.70704179,39.83659512,25.73543533,38.66381576
4,53.36531067,27.12497464,39.46428852,35.82579772,35.56594438,32.54492915,37.15501377,34.21114855,30.42676569,61.67140784,52.43014442,44.02124394,34.62898544,38.75732259,26.85586576,28.43952867,32.04942829,37.06562258,37.65736791,39.64781582,37.16739743,25.80597442,24.82017191,28.78846902,35.72980438,30.84814511,29.70837327,33.02170039,49.37581864,39.47400288,34.66318528,44.46907277
6,46.80397636,33.67456073,51.93781271,42.97012148,40.09630767,42.33241557,44.74504242,38.39537326,40.06144237,69.56438343,63.52849965,43.56991194,41.15520852,37.61420509,38.39826468,37.48443846,35.60037414,36.20048428,52.94262147,47.27265449,42.74276164,30.8937118,42.65774023,31.59038327,40.97849502,36.01419204,39.63369874,43.32292206,55.48782458,49.33337276,44.46556302,44.93246863
8,55.50510279,41.83309491,62.95484329,49.3047858,47.03247166,44.19040988,54.79528236,42.83197885,49.81359558,70.03071364,65.6050184,51.38751277,44.51947778,42.00573836,45.09014791,47.73612957,45.20741148,46.65843553,56.99146009,54.52578253,47.36535943,36.84964524,51.67985492,39.27105537,44.70637068,41.613897,49.83675273,46.88071993,54.1324327,54.97468629,49.94431795,55.55031504
10,58.07418338,47.59552624,73.44892307,55.23626698,54.15592373,48.03023461,62.8128658,43.59923437,49.08585608,75.72210661,73.20253333,60.55941481,50.07411888,46.83913121,54.09547111,52.41923788,50.40046346,50.86254475,64.69116621,55.91244076,54.8351377,43.1904875,57.41360732,44.81693807,49.47864019,46.49723731,56.38153907,54.1556172,62.12609322,56.3368088,58.73854465,62.14969977
12,57.73591289,52.73147198,80.82824447,65.23611447,57.0782558,50.53595867,64.57155115,51.59888932,53.07967188,88.57335712,71.97099155,63.26975596,57.38526597,49.19624635,64.79644171,59.21756144,56.36381415,55.06107641,74.38688708,60.87512486,58.32058506,42.99458386,64.89404749,51.54213656,52.8727057,47.17864136,57.25210091,63.41005776,60.33790787,61.27009462,62.20506158,62.18311998
14,65.41633865,57.11482157,90.51938848,74.57043746,67.33728241,54.04396381,76.28907119,53.84298543,53.11725564,87.08959089,83.61134851,74.89082627,57.40630945,50.58308528,72.65131961,61.32174753,60.99389721,63.56612038,82.1534729,64.77909267,65.60125412,43.96548298,68.3390396,56.0152119,61.7063507,50.88529959,60.14228443,68.90023588,68.98942739,62.15697647,68.00402649,71.54648488
16,66.45869546,52.72646452,95.5484802,77.21224745,71.68849133,59.04051293,78.17133256,56.21403423,59.14568994,88.12826798,91.60863326,71.8129765,63.06580198,57.1609908,75.07387548,69.39055473,68.2535791,67.05832605,85.93570861,66.93508011,70.6629046,50.26856565,79.66176282,57.60417582,66.9536828,52.94697226,65.29364629,70.2014502,77.32082033,61.19087801,68.93803277,75.40436126
18,76.68899927,67.07611922,105.5535774,86.35717664,76.50066664,59.84827166,79.45589509,58.49056322,54.45249494,93.63193957,96.76812633,78.8156023,65.2063649,59.9919083,81.44464213,72.43943357,73.56766115,68.07762978,89.81689924,67.27627203,71.31748596,49.77527203,83.2400683,60.31378386,69.94843156,56.55390679,69.17050513,77.01316687,79.71739288,59.85903047,72.53940961,76.52600443
20,79.49549534,70.73180477,107.4536656,87.14428856,82.00409423,61.68753791,91.05312524,59.75639299,61.69548304,95.89466322,105.2181383,86.33202445,75.82590975,62.78662374,83.43942579,79.65199496,74.19033264,71.37722271,98.20973245,68.56795715,74.9393042,54.08865666,83.34404112,62.56252801,72.61132352,57.50987057,73.86016806,83.95399934,77.14749406,62.69969008,79.87677178,75.44744545
22,82.84834125,72.39130597,112.8845418,92.96160513,90.12368708,62.82997438,84.77242268,60.8670771,69.11054299,107.2317002,120.7097136,92.69950996,86.07043383,65.36825258,88.98336946,84.56520802,80.38533399,73.44331957,97.64162541,68.27831178,81.02258528,56.9887438,84.92576915,67.45764994,77.06794962,60.18084577,76.74404511,85.44806687,80.49954781,68.27097792,87.75543813,75.77571534
24,90.05814076,75.06980344,113.3605899,100.2850123,101.243305,65.62581033,89.97944957,62.09145094,77.86383874,100.9972064,111.4815106,100.1567427,94.86940594,67.03785816,98.74415029,89.50200783,86.78935683,71.33344901,105.4695015,73.08645565,90.33779476,63.19879703,89.44457194,75.55779944,85.16120035,60.45237827,87.33712665,88.28544184,87.56321086,70.43117494,93.20111518,75.98121517
26,103.8554616,78.46773635,113.4325833,103.5632827,97.80764705,66.7965414,97.45598617,61.92780349,82.85842526,108.1185367,106.1740474,104.2760053,95.00212492,66.82944168,102.1264895,88.83714419,90.03230892,71.26330483,105.2026924,73.49781691,90.47933754,68.24855307,92.78158484,78.93309809,85.56175669,63.6292066,90.66225278,91.36116868,91.74891518,71.65910077,101.7389506,77.05461196
28,106.4466556,83.26062086,115.527623,108.5643694,94.39217509,68.29645789,100.0616152,64.53813444,98.50224315,103.9441195,104.2249244,106.5837096,106.3700499,69.63526133,108.1193853,90.05026696,94.02689396,68.72596726,107.4519426,73.68584463,94.12650392,70.91115415,98.93690229,81.31855168,85.9192177,64.31913997,94.27025537,91.66165108,90.66710185,73.9324465,104.9128647,76.63633205
32,114.9003489,85.38999018,120.7944553,106.848886,99.11795929,69.35876897,101.450607,64.5019964,96.64108204,108.4401469,112.6574547,114.3138621,103.8670716,76.50342709,105.213992,91.81273537,96.11567989,75.04479828,114.4352502,73.34082253,96.8325244,68.95726537,105.2030467,83.99629912,91.79767182,68.01363974,98.27780319,94.55676786,99.37173228,76.40471498,109.0701744,70.87511404
34,120.7648462,85.54069888,118.8427863,107.4396082,99.62410588,69.21523015,103.4141399,66.40521114,99.05885041,111.9780007,108.3289165,112.3563923,109.6634073,78.33775484,102.7403978,95.58954908,98.70942331,78.31554685,106.0317799,74.627784,100.6932805,71.22423035,109.508522,84.45609479,93.49477301,68.79427012,98.21258154,96.2597446,99.28515962,75.92197181,116.3515149,79.62454254
36,118.2330061,85.92257324,124.2218361,113.76685,106.2731485,68.11899996,105.7746514,67.0315263,96.69399487,109.2181561,114.7162756,115.3600732,106.4983759,82.49368642,101.4019939,90.94395847,99.32566846,78.51861112,105.5405953,75.35614735,103.5349447,74.93326923,117.346834,85.91733275,98.60572636,68.76877566,101.7086633,95.37909463,102.7786236,80.03313563,116.8572349,77.96599053
38,113.2369773,93.2076012,117.1944653,117.0307885,102.1734388,72.36985104,102.5821378,68.68007084,93.60842832,109.5110201,103.9583041,116.9503511,98.62581177,86.58251572,100.5198088,91.65280485,106.0981753,79.12933232,111.381639,77.28663385,102.6306779,78.38643068,116.9296636,87.5096113,95.6164992,69.60673859,102.2364912,98.11786691,101.1293967,78.93591567,120.3689615,77.90830371
40,117.13914,93.19632666,117.6811425,117.8944767,97.15119878,70.92790847,101.7703779,70.42535301,103.2851622,108.9230034,99.71445568,115.9959568,103.8949038,87.6206173,99.29626316,93.25851771,104.2642333,79.80121883,107.2986657,77.10233522,101.0437358,80.13440701,117.9809092,87.12665624,95.39963504,73.64691416,99.86516113,99.42797634,102.8016031,78.31598204,124.7290653,77.01088111
42,111.6449182,95.58383527,120.08762,121.645431,94.7625659,69.14102769,100.574341,71.48633776,106.3522779,112.0655138,104.8711327,121.1196444,104.288523,87.70820557,102.6692337,96.36668189,105.1542313,81.30978895,114.1730575,78.28382732,99.3027751,79.80197205,118.1761337,88.63281519,100.7353292,74.42143,105.2455724,99.40181865,98.58696324,81.09422704,124.2910701,76.80171798
44,116.350025,100.5286559,118.9985134,121.849562,97.35477386,67.68572793,102.7133766,71.99516838,108.1338242,118.1787364,103.8557375,120.056895,100.5175801,85.98236765,99.5347914,96.96651989,107.0177491,79.53061665,111.2199917,79.19271548,101.635112,80.69162102,113.9759015,89.4344129,101.4718569,75.64057415,104.816033,100.6336965,95.82667567,83.20928866,119.4620177,73.49956281
46,107.9123026,101.0189719,118.7428469,121.8847991,96.77276356,68.75359123,99.25338856,75.12938744,101.5914611,113.4164916,102.9463401,121.2375028,106.0780883,85.34688102,102.4032769,93.74435283,112.5328269,80.8992029,108.6756677,82.70152993,102.9435279,82.73930708,111.5866961,91.6544479,104.3964731,77.70350839,104.7733846,101.1839614,97.58020357,84.52404461,116.4068257,73.33119709
48,114.9962367,99.6548271,117.5971488,120.8190283,100.6564932,70.98819243,99.56130204,75.6542526,105.67419,113.3023824,109.1600209,122.4481733,104.1800651,88.16379587,100.675863,93.51990547,113.7271435,85.01495289,107.7720743,80.76733489,105.5821134,87.69847109,112.0184175,92.01081076,105.0871592,78.23343126,103.5932727,102.6990556,95.35528752,89.50435243,116.8486294,71.93045834
50,116.2113523,102.4994808,120.3998015,119.5487618,104.1663227,74.23351821,101.2720781,76.50773605,102.9607831,115.8896088,104.1139612,130.3509766,101.2379422,89.88871737,103.6334113,93.14191804,109.0317618,84.15751013,107.0515349,79.89921141,108.7984379,91.32298092,109.0704524,89.22998556,109.4778266,81.78684989,104.0848551,106.6809762,94.59154656,89.59957352,116.1079554,75.49419721
52,119.8761675,105.6655186,121.2785143,122.4800732,102.2023037,75.7647701,103.8973155,75.89336799,98.76150151,115.3776946,100.1244871,129.220623,104.2789774,92.04126189,102.5592634,92.21198963,103.4576022,83.08311932,114.3881532,81.30182801,103.6696379,92.83926328,105.2094934,88.42121816,111.4676653,84.11464397,105.5503084,109.8189809,97.40114159,91.61706666,114.6424363,75.83780814
54,118.7105992,106.5609778,122.279263,128.7049675,102.4706537,74.57149355,105.2587904,74.20442818,103.2419471,115.9920918,94.53902266,129.8545502,102.1821176,98.72983851,97.47042813,94.95069637,102.9678342,86.79621,110.4839446,81.1917341,107.2986584,95.20505281,105.3684181,89.10676712,114.1318592,84.72728158,103.7310782,110.6984504,95.72626383,91.52055784,110.7339966,72.92391561
56,117.4667457,106.1648556,114.2421942,130.1478267,99.19078935,74.15063716,101.8166019,76.20411646,104.1568306,111.1138579,96.0805581,128.0554464,105.3513528,99.02792715,100.1949208,96.0396874,102.0876384,89.70783945,112.4802395,84.70448919,103.9550227,98.54773051,103.7199029,91.39021995,112.3925884,87.8033076,101.5727275,110.5134576,94.70581505,93.52213711,114.4183968,76.67185375
58,113.7957367,110.284107,113.8268817,136.720883,93.87736432,76.08959859,100.4954926,77.30598097,106.9413581,118.0712596,95.70077733,121.9535399,106.283609,103.0972301,97.78877958,99.67515785,100.1733875,92.40294586,114.3296099,84.61102541,107.712171,99.13584524,107.1397943,91.24985812,109.752066,87.88063446,100.1116745,113.1692972,98.24687475,96.73182022,112.319764,76.54822567
60,114.3311197,109.8195105,110.8940171,135.4902321,93.82938935,77.40540632,99.41746962,81.10361642,109.6637013,111.6606407,98.70794051,126.6057277,102.7755262,97.79899912,97.83483127,100.3057658,95.05102783,91.228322,107.1010483,85.87426844,107.5714517,99.64136193,108.8826396,91.58949105,111.2110027,89.80673563,99.80307061,112.6427748,99.60550764,98.2710282,108.5925234,77.53393498
62,114.6952743,109.7824015,112.9398645,137.0327754,92.61287847,79.35776765,99.80099243,85.21270785,105.1295343,112.6593389,98.29662312,130.0468102,105.7515459,98.75130948,98.27523327,98.21904154,96.75613972,92.64146803,109.3044508,87.55043581,109.5782499,101.3551832,106.9821548,93.4414724,110.1154692,90.49692416,99.67380816,114.4131533,97.83223082,101.3754476,107.5672932,78.60436549
