Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,511.95735,577.3862,608.78445,547.63605,579.69115,631.8592,555.05715,492.6817,608.24175,616.5441,649.51005,622.05635,589.9092,579.0803,571.8585,640.5751,569.80315,612.97185,612.9787,603.44775,628.4953,652.8157,619.8381,672.3637,646.48415,683.67445,629.00995,620.62565,705.7755,709.99515,658.20585,687.9094,674.8332,703.38375,689.0625,555.87645,690.79995,725.3743,690.62115,522.1706
2,460.2415,517.27605,564.8547,511.9462,543.903,603.2927,504.103,583.09685,609.17845,571.40845,611.2111,590.87925,531.4286,585.91115,498.9387,616.97465,495.7446,602.1233,575.87775,570.16815,604.084,615.17475,571.7274,658.0371,626.8097,724.2562,586.73415,645.3147,733.77975,756.9227,670.04125,692.0725,698.5723,766.80755,668.41065,597.5953,788.38815,861.56395,693.29,645.06665
4,350.9083,443.25025,471.7368,447.29535,424.48395,589.03755,435.74975,549.6702,489.8637,487.7237,558.7564,533.18725,415.4137,495.0877,374.48715,537.90985,432.83335,546.09,538.4002,493.25295,538.39595,545.6484,516.8291,590.3159,634.68515,703.67465,536.7029,565.3318,681.65185,697.79635,585.6165,623.7843,643.1049,756.74185,571.0255,548.22205,679.3025,792.9611,638.18655,594.7456
6,316.4694,380.03065,396.713,388.6376,365.38775,546.73685,390.9442,506.17475,474.3618,441.3769,497.3229,466.10025,392.4278,456.153,358.3009,470.2633,390.38565,519.7302,406.85645,437.55125,511.45435,513.1955,485.95185,547.69525,561.7865,651.3247,483.46705,526.07125,684.5493,635.48065,552.447,730.6475,606.4054,680.89395,616.3378,633.8188,603.6471,748.03705,559.2387,578.47625
8,139.6334,349.30575,304.7053,330.84565,407.5551,498.9456,401.91115,445.1464,416.9375,409.6993,477.2777,410.0733,362.3174,426.23465,262.2359,488.1611,356.34815,471.2,387.02655,414.6838,413.18065,469.0262,453.40375,472.45405,509.84485,603.80365,417.8742,471.58715,590.2372,608.9574,483.50355,662.608,661.2264,576.15175,528.81,641.195,562.2244,741.2977,510.32935,657.21995
10,0,390.3264,333.9234,348.79215,162.0058,434.3677,140.6003,391.13775,411.99805,356.5761,464.86205,364.4521,253.07305,374.76585,0,405.25065,153.8278,502.0022,515.03295,363.709,463.22245,390.35865,474.3322,468.01385,480.4702,597.04685,426.07015,641.77685,529.2247,595.22635,483.92295,604.1443,530.02435,555.6665,487.02865,587.58465,620.5199,669.87305,519.0193,485.50335
12,0,373.4801,128.82195,307.5752,0,385.8767,0,357.04685,428.1377,349.5966,198.92535,334.38565,0,334.4301,0,417.97255,145.6651,521.10275,437.14825,387.3936,444.2647,368.3544,224.9615,455.7029,517.7468,557.149,361.70765,642.12165,547.9772,620.44955,518.0763,579.94025,485.93175,543.6168,467.1147,522.40225,606.28375,645.60615,549.41845,706.49375
14,0,314.00995,0,324.86055,0,352.6918,0,343.2502,157.6259,372.1488,0,402.686,0,310.6323,0,369.54395,0,549.81675,0,425.902,346.0603,343.905,0,423.04905,532.332,521.95745,0,404.70005,504.9091,567.1137,448.6642,581.46885,308.56795,519.7037,178.2418,446.68555,574.37035,639.77755,489.67855,669.21245
16,0,286.85195,0,258.21885,0,336.81495,0,328.30425,0,430.8124,0,332.4811,0,285.15365,0,343.1254,0,480.0238,0,385.07275,149.91175,346.34115,0,446.89765,423.3156,451.6176,0,386.10835,661.97165,571.9458,211.186,516.3483,280.67585,483.63045,0,309.5311,452.52525,626.97685,217.1188,525.55615
18,0,123.9163,0,110.4545,0,319.5016,0,364.17285,0,364.9107,0,309.87595,0,299.192,0,313.22555,0,547.0505,0,183.643,0,421.96,0,210.04725,0,430.46065,0,330.20305,593.98335,521.48455,383.8779,356.9067,247.76495,484.7359,0,404.15,267.05855,548.48655,150.49035,443.79665
