Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,687.3091,686.8807,699.4275,667.2412,709.45465,510.96295,652.4465,850.8747,724.12975,731.461,769.5933,728.6033,563.16065,687.655,737.94595,716.32725,735.29825,383.1512,632.139,679.2406,755.95695,770.4914,749.8697,743.71845,781.52665,793.67145,735.0528,737.4969,727.9099,760.2776,751.8346,752.3625,730.9934,748.2782,758.00385,689.0598,763.2892,837.2976,693.7158,741.95035
2,568.2297,571.09585,558.66325,615.9586,666.34525,769.64145,634.9597,1160.73035,663.54515,670.0899,686.7522,678.33615,566.78155,651.68225,687.6714,735.8515,742.8929,728.8783,590.04455,601.45325,721.75175,851.99705,730.86965,682.1586,740.44925,817.77075,680.27145,661.13915,738.33315,761.30315,721.44075,740.1875,684.78405,720.1772,688.8234,627.4666,742.25975,904.7802,669.2426,746.79675
4,455.32845,480.3835,441.0854,558.74,560.15485,305.29825,530.4856,956.824,634.39905,623.89015,617.90285,649.58775,512.1699,598.32995,567.36175,611.72785,657.2707,776.8547,550.06425,529.9265,700.96135,803.90585,650.6758,618.05515,725.6461,786.55915,590.19055,565.27945,672.31925,716.98365,644.1506,700.1754,602.392,655.3095,589.13275,551.52405,645.9737,852.0605,569.76515,694.35895
6,460.8127,415.45655,371.84365,481.77025,214.7842,284.264,353.41375,944.8723,646.09275,557.341,532.31405,617.32105,401.5832,489.67115,269.8274,600.8582,699.7676,526.3521,404.20345,494.4631,643.5005,859.3938,581.28265,578.22135,646.418,689.12855,536.5109,553.3398,650.38375,662.3107,584.62065,613.3447,598.1126,575.4599,506.75545,497.86925,747.8519,730.41215,523.90805,640.8015
8,381.33545,341.2483,319.37785,430.89805,247.0488,246.49135,0,786.43275,562.1292,466.1642,510.8979,582.6277,398.1469,467.6526,226.85815,488.28325,583.03495,409.318,180.27385,465.80405,617.72355,750.55095,502.3645,493.50205,560.26165,665.362,467.31355,442.4611,599.1577,608.0699,560.77365,610.78,580.60775,528.89625,515.126,521.97435,743.44135,754.08565,489.57015,568.2535
10,310.4435,279.2515,177.6938,352.38185,192.66675,283.73775,0,695.72835,633.39835,519.6101,544.2748,516.3642,289.26485,410.2489,194.78555,448.81755,676.23105,177.46215,150.64955,430.92345,655.95215,701.0486,494.28855,486.93565,648.5104,610.69595,426.0432,427.0815,548.2792,581.6677,542.21735,559.0912,332.6096,478.2197,386.89855,500.09175,797.1638,713.22045,443.21375,557.38645
12,113.9141,243.3353,136.76725,378.70045,0,243.5326,0,604.73355,517.88905,441.54455,467.21675,411.62775,149.61555,355.3004,140.4691,380.35065,560.93655,147.3222,157.9988,378.62375,566.1241,653.77305,464.99905,471.941,646.78875,558.33375,507.47475,212.2322,508.0116,544.7968,508.67755,521.01015,513.77465,452.2687,220.52075,482.7181,702.36355,662.1314,527.4433,612.72585
14,0,0,108.39385,342.295,0,227.22045,0,720.8399,526.9895,463.0939,217.43085,174.2982,0,345.67155,154.83275,364.21625,527.7908,137.73095,106.4607,308.1364,566.0495,604.9234,446.96745,424.05765,618.34395,487.81045,225.74165,184.16295,548.94455,500.40275,495.1337,616.35105,263.2795,438.955,249.18085,496.8183,568.4381,645.08775,510.8397,524.7046
16,0,0,0,283.82605,0,206.18145,0,609.77245,157.93635,357.9375,150.71515,0,0,299.59865,108.85875,209.887,201.38375,0,0,138.64225,525.5704,450.69095,381.45605,380.833,585.8874,466.0907,201.9248,183.41825,534.1737,542.41095,458.0137,595.56805,255.0893,425.90675,228.26135,445.11415,230.26595,600.7064,247.9929,626.1025
18,0,0,0,297.5196,0,193.99645,0,684.3303,0,372.7967,0,0,0,278.60995,0,193.06135,0,0,0,0,348.5647,261.31405,318.50355,287.97275,458.0074,492.74255,216.48835,0,357.6815,563.4351,409.3217,586.23065,268.88595,584.106,198.7815,285.8232,285.4583,589.1116,0,616.1992
20,0,0,0,102.62555,0,204.88775,0,545.27235,0,304.12405,0,0,0,248.4552,0,289.8805,0,0,0,0,249.0851,237.2851,0,312.0905,194.44705,519.90045,0,0,0,510.18335,141.5481,591.21935,0,467.58755,0,267.5954,215.8891,554.2464,0,605.255
22,0,0,0,75.68445,0,186.18865,0,296.23165,0,289.8038,0,0,0,221.0687,0,146.7859,0,0,0,0,154.1187,192.8672,0,146.57645,0,496.77015,0,0,0,459.69465,0,536.2496,0,439.6161,0,251.15155,0,525.18485,0,588.9788
24,0,0,0,0,0,182.609,0,268.81925,0,276.9058,0,0,0,198.57785,0,0,0,0,0,0,0,297.4185,0,158.6028,0,458.52835,0,0,0,469.8338,0,431.1779,0,408.3855,0,203.48775,0,455.96155,0,479.56895
26,0,0,0,0,0,189.717,0,296.8563,0,174.91495,0,0,0,200.3402,0,0,0,0,0,0,0,259.2661,0,0,0,392.76155,0,0,0,423.1406,0,355.9181,0,378.857,0,182.9311,0,452.0921,0,455.2491
28,0,0,0,0,0,165.82455,0,283.1829,0,151.1494,0,0,0,191.01285,0,0,0,0,0,0,0,246.71875,0,0,0,358.09885,0,0,0,402.82615,0,338.6878,0,343.0455,0,179.06265,0,406.12605,0,420.65095
32,0,0,0,0,0,146.68115,0,249.1671,0,126.14675,0,0,0,95.62805,0,0,0,0,0,0,0,186.33835,0,0,0,316.2578,0,0,0,328.318,0,142.83915,0,297.10755,0,0,0,439.15015,0,418.06725
34,0,0,0,0,0,141.13765,0,219.4381,0,123.1071,0,0,0,91.08365,0,0,0,0,0,0,0,175.3402,0,0,0,295.28225,0,0,0,278.7258,0,133.64085,0,259.2132,0,0,0,392.76735,0,351.44885
36,0,0,0,0,0,124.47325,0,228.8617,0,84.46755,0,0,0,79.52275,0,0,0,0,0,0,0,159.2507,0,0,0,249.842,0,0,0,117.9772,0,108.88205,0,123.6011,0,0,0,344.83275,0,334.6136
38,0,0,0,0,0,124.4188,0,216.41535,0,0,0,0,0,73.93375,0,0,0,0,0,0,0,159.80925,0,0,0,126.55455,0,0,0,107.7163,0,112.0296,0,111.9069,0,0,0,326.02885,0,318.3121
40,0,0,0,0,0,119.81145,0,219.0123,0,0,0,0,0,68.50605,0,0,0,0,0,0,0,0,0,0,0,108.2156,0,0,0,90.7367,0,0,0,114.7741,0,0,0,330.59075,0,221.3464
42,0,0,0,0,0,112.8806,0,205.74935,0,0,0,0,0,67.9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.654,0,0,0,102.22885,0,0,0,302.4379,0,190.00895
44,0,0,0,0,0,110.23765,0,222.9093,0,0,0,0,0,66.2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.1513,0,0,0,124.1919,0,246.02905
