Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24.37695,20.148205,26.613105,18.88131,21.727035,17.228905,23.761685,18.270625,21.702135,24.09111,26.18905,20.09478,24.060785,20.67337,28.589575,19.764225,23.32791,21.70233,28.83288,22.82111,22.99362,24.55546,23.641995,18.652835,23.45712,18.7843,27.72861,22.06402,25.11448,19.826425,31.9888,21.985945,20.30441,18.84792,24.94791,23.030435,21.973015,17.04507,28.75195,21.1294
4,44.22546,36.563775,47.857075,33.040695,43.576025,33.402705,47.80516,32.655165,45.656225,39.045115,54.21169,39.327095,47.662,34.586575,53.542725,33.975575,44.876725,39.46376,52.244795,44.804805,44.575855,40.364865,51.432435,37.29497,44.41495,34.890115,48.2353,41.292075,47.861465,36.416535,59.26904,44.296585,41.24627,31.803445,51.030495,42.677995,43.04659,32.765295,53.21366,37.568615
6,61.33945,51.38588,64.24403,45.44569,60.57574,47.433355,69.396175,42.426485,66.907385,53.54139,77.24978,57.53873,67.9941,47.53927,75.664005,44.26115,63.368125,54.79519,74.211785,61.52015,64.854585,53.38616,73.968495,54.4713,61.85874,49.01832,70.527065,56.23922,68.37289,51.900025,81.404865,62.393205,60.832845,46.21125,71.081765,56.209825,62.50095,46.191395,74.163745,51.73742
8,76.606195,64.23596,83.51606,59.240265,76.9275,55.785685,83.61311,51.335435,87.03185,65.5588,92.14708,72.66669,82.69989,57.223285,91.955415,53.497115,80.03974,66.924555,90.61934,74.587895,80.682855,65.315315,89.38442,67.878725,77.18624,62.72104,88.710225,71.0249,85.539275,64.162655,93.95238,74.00555,77.59939,57.892395,86.968235,69.084455,79.91686,57.939245,89.490915,64.40557
10,87.526085,72.41959,93.31552,68.21447,87.715165,63.982625,91.427285,57.340945,95.87551,74.38745,97.90891,83.52178,92.293855,62.67852,97.83342,59.630285,92.61641,73.225225,97.403725,83.68397,92.91577,74.662225,97.03737,76.219555,90.03426,72.406235,96.136685,82.644205,94.96122,74.827735,98.23793,83.74787,89.852485,66.438425,95.31204,75.72269,91.5508,67.096925,95.904435,72.7603
12,94.54572,80.222545,98.273495,77.228305,94.671005,70.05375,96.476465,63.975665,98.87225,81.60304,99.82204,90.54498,97.034455,68.398335,99.63307,64.21147,99.018915,79.04711,99.2417,88.965795,97.888025,81.064605,98.805505,83.42849,98.210625,80.495535,99.11239,90.022325,98.67938,81.540625,99.64995,90.222495,97.15947,74.105225,99.256375,80.87936,97.481615,74.819105,98.682905,78.514655
14,98.65206,86.455755,99.53032,86.04811,98.06178,74.73712,98.873715,69.02509,99.73448,86.04615,100.4478,94.267315,98.56833,72.712495,100.007455,69.91386,99.88407,83.71314,99.81003,92.63477,99.997555,86.439645,99.55084,88.887765,99.867935,86.245485,100.087865,93.81958,100.1072,86.519705,100.48921,93.46303,99.21892,80.74271,100.7057,86.793045,99.53401,81.021505,99.733545,83.156905
16,99.944,89.749805,100.26131,91.50806,99.244205,79.602375,100.071615,72.30511,100.03648,87.896385,100.7493,96.32427,99.657125,76.32406,99.91181,73.531475,100.012395,86.818335,100.2085,94.18034,100.37915,89.500795,100.005565,91.60152,99.894255,90.32695,99.97673,94.62031,100.51335,90.23891,100.374135,95.18889,99.84582,84.95905,100.6556,89.13671,99.89888,85.46102,100.32745,85.20046
18,100.30872,92.370815,100.46595,95.03528,99.18161,82.044375,100.005375,74.368375,100.096485,91.0441,100.70585,96.519785,100.3895,78.85116,99.77809,76.374465,100.18325,88.640435,100.41255,95.65222,100.36145,92.327205,99.9989,94.09909,99.88834,93.025995,100.200645,96.19978,100.4557,92.859645,100.5686,96.226395,100.252215,88.141685,101.0217,91.217275,100.013675,88.539035,100.08595,88.24011
20,99.985105,94.69602,100.55865,97.68919,100.020605,84.054095,99.9429,76.731335,100.0613,91.64097,100.1879,97.025825,100.08193,81.16305,100.1308,79.486795,100.3462,91.154635,100.37895,95.573195,100.5027,93.748675,100.29765,95.04847,99.97858,95.29443,99.96553,96.720135,100.5197,94.889895,100.36131,97.51717,100.44175,91.53014,101.05435,92.97283,99.88275,91.23967,100.11965,90.69843
