Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,715.1584,719.9075,711.4978,715.38,716.73875,725.9709,726.8341,713.51295,699.95645,724.481,689.34065,730.8538,726.7008,737.297,735.1449,739.035,750.4457,757.3004,708.95795,736.2027,746.55345,776.45325,744.50975,769.3823,727.53645,773.4972,730.60945,713.5717,710.0258,779.35805,734.9534,731.6678,734.7688,729.17825,756.5975,703.0643,717.1016,735.68065,712.59315,729.48655
2,568.0329,598.88055,562.88665,609.0563,575.92585,601.75945,582.8805,614.79765,539.9324,561.75425,476.1257,582.0935,562.15725,608.9775,564.06395,652.8125,583.0265,590.60045,500.6085,582.41775,577.60835,601.9805,589.2195,638.42295,577.77705,640.85015,562.2398,571.9908,549.7374,647.873,527.776,588.4526,603.81845,591.2082,603.178,590.76815,582.87685,617.87375,533.3491,617.9277
4,448.73555,494.65135,441.70795,523.798,433.7669,484.28945,419.17,544.40915,370.44305,436.50455,269.22865,448.6869,423.1014,514.9245,377.71775,552.0408,424.9563,451.6816,343.9923,437.66285,432.89685,493.8178,420.2802,512.9321,461.6738,524.6919,409.5973,460.11615,397.13825,543.4693,316.26995,441.8767,479.68325,508.68335,452.47605,472.234,442.67795,524.8908,376.1453,511.9293
6,341.85865,366.84705,334.54275,431.5354,335.47735,380.26915,255.1295,411.6838,211.7657,308.19135,100.52365,302.9488,276.8418,436.4326,240.14335,471.95955,298.02365,324.7759,183.09985,305.00365,280.21095,390.9188,259.6374,364.8525,350.6666,415.4666,226.95015,346.84415,238.2377,432.33455,117.19705,317.29765,331.74055,416.66615,228.14605,364.102,333.80225,429.781,257.03885,406.84005
8,264.4055,277.51295,148.69735,347.75705,265.75265,292.16595,0,368.48345,0,195.68365,0,181.4856,103.265,359.56705,63.76755,377.8166,174.22155,216.15725,0,197.9865,180.32625,280.9916,62.55215,301.94335,238.92155,306.40155,0,220.34995,145.20395,303.80565,0,218.06555,272.3196,317.78685,101.54445,176.00715,255.79805,355.59815,99.32835,316.4096
10,76.11605,213.20115,0,280.8277,0,261.62875,0,323.98045,0,147.17675,0,0,0,305.2517,0,325.07475,0,183.72655,0,52.36635,0,210.399,0,120.5075,74.20085,224.4426,0,109.35595,0,205.53515,0,106.53895,98.34775,255.3781,0,141.6708,0,291.96495,0,240.82245
12,0,186.1347,0,209.35495,0,193.01585,0,262.9531,0,0,0,0,0,244.01865,0,292.4896,0,58.30125,0,0,0,97.3925,0,75.5702,0,146.2358,0,0,0,189.08445,0,0,0,189.05375,0,144.0001,0,231.98485,0,193.97735
14,0,73.1367,0,165.4083,0,108.7292,0,249.8436,0,0,0,0,0,207.5873,0,256.97325,0,0,0,0,0,97.37505,0,0,0,50.3745,0,0,0,66.6443,0,0,0,157.8925,0,87.0412,0,198.80795,0,109.5342
16,0,53.0365,0,54.33605,0,111.8963,0,217.2373,0,0,0,0,0,179.17265,0,241.85435,0,0,0,0,0,73.54765,0,0,0,0,0,0,0,0,0,0,0,124.0882,0,0,0,79.85065,0,81.79285
18,0,0,0,0,0,115.97525,0,208.4299,0,0,0,0,0,196.08405,0,216.1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6851,0,0
20,0,0,0,0,0,97.68075,0,182.8195,0,0,0,0,0,159.7743,0,201.23775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,87.5479,0,158.6832,0,0,0,0,0,152.23155,0,122.12015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,74.8546,0,150.26505,0,0,0,0,0,134.0968,0,114.9243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,68.249,0,143.5072,0,0,0,0,0,58.61915,0,106.4464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,62.4601,0,69.03285,0,0,0,0,0,57.91835,0,102.43515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.76875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.31545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.38055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.15845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.97815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
