Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32.264975,22.67857,29.954695,23.5113,18.94957,17.396455,22.04063,16.81834,17.60421,14.597615,15.45394,14.94737,15.28098,12.712935,16.812235,13.60136,20.880145,16.10407,21.202995,17.477835,22.336135,17.30183,28.86971,26.151955,20.59934,16.938055,23.82212,20.376205,18.88843,15.67409,24.071785,20.269315,25.65593,19.193715,25.0182,20.34538,21.996555,17.104185,23.04685,19.418675
4,56.794585,40.515665,52.575035,40.51429,36.414805,32.00177,42.73031,27.843675,37.59925,28.933045,33.104125,28.60687,29.22252,23.81688,34.45466,24.889055,39.188265,31.66672,42.545255,34.627495,42.259135,32.88773,53.488925,51.05404,39.155615,34.269045,46.91227,41.07094,37.7003,30.48856,46.567685,38.9395,48.170855,34.826315,48.890125,38.713105,43.54975,31.200065,43.91175,36.02109
6,76.57389,56.13592,72.2909,53.818275,51.964155,42.612115,60.548695,39.267045,56.7295,43.142725,51.89623,42.171855,45.10567,32.99114,51.190785,32.275005,59.139305,45.79963,65.85736,50.222325,61.64223,47.08379,73.67896,67.81171,56.68588,47.32217,68.21332,57.822855,57.864645,44.3186,69.97049,56.08897,68.341965,48.82572,71.29615,56.371755,62.856465,44.263585,66.123935,50.725275
8,91.428025,69.471425,87.44148,66.410025,64.866475,51.659425,77.37566,48.22246,72.972455,52.86392,67.53236,54.23826,59.6893,40.46799,66.53216,37.955355,74.944265,56.25598,83.5898,62.98162,80.67508,57.988715,87.149075,76.643245,73.47237,58.059305,84.34478,72.12738,75.569275,54.28022,85.278375,69.400755,84.157585,57.867265,88.274925,66.094135,77.380465,55.097715,83.386605,61.724095
10,97.962825,78.917795,96.676365,78.730025,74.778495,59.672605,88.16491,56.568925,84.51115,59.71181,82.16708,62.759965,72.867455,45.204075,77.85019,45.241285,87.17112,63.55209,93.978425,72.399695,92.836145,66.23685,94.948315,84.88498,88.22719,64.746855,93.465315,83.047065,89.334305,62.863445,93.917475,78.87053,95.611415,65.90499,96.582785,73.951225,87.79721,61.953345,94.416375,70.35108
12,100.291565,86.468675,100.14815,86.597525,83.40728,65.18827,93.702245,62.758,92.670355,66.436525,93.434105,70.99175,81.718135,50.832865,87.05335,50.211025,94.4593,70.08182,98.011435,81.557015,97.85164,71.801215,98.149465,89.505365,96.83132,73.1515,97.88865,88.086805,95.329605,69.05054,98.8254,86.736855,98.7684,72.36799,98.671115,79.910735,95.575325,68.47836,98.044035,76.076015
14,101.06945,92.033525,100.754085,92.15724,89.462315,68.73024,97.87295,67.08222,97.14978,72.09295,97.115085,79.44647,89.93057,55.473335,92.295345,54.70832,99.23742,73.85307,98.844715,85.966215,98.917035,75.72751,99.58359,91.716065,97.73806,78.517845,99.089735,92.00261,98.423855,73.82103,99.786435,90.562225,100.13475,77.701745,99.629045,83.115965,98.8117,72.837505,99.50901,81.063765
16,101.5748,95.16838,100.846865,96.928555,94.009335,71.288185,98.91397,70.20559,98.456385,76.64402,99.062135,83.922615,94.942695,58.56835,96.149875,59.17496,100.53354,77.24612,99.478915,88.934385,99.623955,79.906265,100.39945,94.248,99.2093,82.010045,99.96906,94.76115,99.18045,78.44183,99.755365,92.721355,100.053165,80.90927,99.489605,86.421455,99.7172,76.39655,100.28235,84.27964
18,101.8447,96.876665,100.14458,98.00325,97.40564,74.78481,99.607575,71.964885,99.26723,80.182465,100.070765,87.708465,97.15271,61.23387,97.145585,61.359335,100.43653,79.80532,100.2765,91.88767,99.975555,83.513045,100.5075,95.18693,99.473625,84.845195,99.67379,95.36373,99.651545,80.418635,99.953225,93.921045,100.5789,83.295085,99.755285,87.577325,99.95939,79.98016,100.22905,86.891135
20,101.7618,98.41824,99.763465,98.578415,98.87294,76.07543,99.730835,74.047125,100.08798,84.726165,100.1539,90.381645,98.908385,63.700715,99.19553,66.270265,100.09255,82.808365,100.169095,93.64656,99.69504,86.11199,100.5091,95.985165,99.614385,87.569965,100.063565,96.53397,100.005815,83.42519,99.77078,95.16471,100.35125,85.663025,100.1175,89.39754,100.0985,82.414895,100.4027,89.10466
22,101.5782,98.95946,99.485505,99.06328,99.929415,78.119865,100.34235,76.504985,100.1953,86.558925,100.27125,92.828515,99.835235,65.614065,99.915115,68.504465,100.62985,85.430925,100.48405,94.296305,99.858255,87.75971,100.2683,95.62628,99.84138,89.46328,100.18565,96.73016,100.3384,86.90223,100.147635,96.15798,100.46675,87.90667,100.013915,89.794305,100.3235,85.273035,100.3104,90.487165
24,101.1222,99.309855,99.809475,99.177545,100.05611,80.481715,100.1822,77.744085,100.12409,88.876295,100.06805,94.365215,99.8078,67.586325,100.4128,70.922255,100.8886,86.349185,100.046745,94.60777,99.903675,89.317615,100.16415,96.580895,100.04239,91.33979,100.18765,97.792285,100.4607,88.470615,99.879475,96.93185,100.27675,89.821195,100.18665,90.53968,100.1234,87.740885,100.0885,91.534235
26,101.08935,99.63524,100.18125,99.22587,99.971995,81.7728,100.11145,79.204715,100.167485,90.688005,100.13595,95.2159,99.91714,69.27366,100.3732,72.420715,100.6871,88.25157,100.3542,96.337855,100.2639,90.03436,100.05707,97.56362,99.991185,92.522545,100.3582,97.889955,100.412,90.16877,100.2338,97.856965,100.269,89.83506,100.09295,90.54735,100.32335,89.570695,100.18915,92.716615
28,101.11995,100.0661,100.237375,99.615275,100.17823,83.062985,100.2645,80.25527,99.986,92.0801,100.11715,96.1972,100.014525,70.988055,100.21605,74.83973,100.3673,89.4673,100.3034,96.73796,100.2584,90.741745,100.0812,98.394025,99.959425,93.51595,99.986855,97.944385,100.41305,91.755245,100.241725,98.02609,100.0421,91.18711,100.11475,91.81826,100.1065,90.93573,100.03058,93.91277
30,100.9252,100.4006,100.068115,99.951305,100.07835,84.42086,100.189,80.627945,100.002465,93.096155,100.121335,97.187175,100.015775,72.501425,99.940515,77.04681,100.1191,90.451385,100.11725,96.53227,100.1254,91.00664,99.995445,98.72786,100.10815,94.27847,99.9582,98.197255,100.12695,92.381795,100.11853,98.61055,100.2621,91.15454,100.2231,92.38937,100.23465,92.132165,100.0871,94.833465
32,100.8063,100.7202,100.1898,99.81124,100.14105,85.117815,99.992655,82.1016,99.90379,93.62316,100.0853,97.118115,100.0701,74.42262,100.05441,78.19436,99.93197,91.42901,99.92976,97.10351,100.07335,92.505765,100.05575,97.74346,100.08035,94.799605,100.01907,98.608985,100.21995,93.73318,100.1299,98.84474,100.07785,92.29952,100.23265,92.16628,100.18355,93.516245,100.07135,95.23576
34,100.85235,100.8291,100.17999,100.251815,100.033335,86.66217,99.97409,82.67477,100.1389,94.64182,100.0175,96.936705,100.05195,75.467615,100.17685,80.671195,100.1116,91.23688,99.93633,97.635345,100.01715,93.135995,100.0592,97.91249,99.969235,95.243135,100.11555,98.91387,100.3605,94.65059,100.20525,98.98373,100.1532,91.485065,100.1316,92.82789,100.0728,94.16034,100.0607,95.60569
36,100.5179,100.41928,99.97285,100.2995,99.98488,87.57104,99.95179,83.164915,100.01283,94.896305,99.96442,97.13098,99.993245,76.97346,100.059435,81.65729,100.03505,90.68723,99.977225,97.50799,100.0424,93.04318,100.051,98.338945,100.10295,94.720375,100.1828,98.844145,100.328045,95.01302,99.989635,98.9307,100.11725,91.268155,100.038,93.234695,99.979805,94.863635,100.01761,95.72266
38,100.3666,100.78925,100.033315,100.07188,100.08973,87.684525,100.0391,82.64597,100.006345,95.055745,100.010855,97.39148,100.014245,77.018055,100.055165,82.928925,100.1324,90.8845,99.9746,97.538295,100.008435,93.968455,100.0956,98.47799,100.08475,94.629115,100.0918,98.923945,100.39955,95.41403,100.2263,98.536975,100.046665,91.274965,100.0745,93.742305,99.863865,95.089805,100.06195,96.08401
40,100.23085,100.9714,100.02433,100.30592,100.085,87.59613,99.96132,82.94437,99.98045,95.45047,100.0806,97.733215,99.909865,78.185295,100.00243,84.438495,100.0514,91.19463,99.84885,97.481065,99.90973,93.601225,100.087005,98.42915,100.111825,95.04155,100.175,99.125705,100.32305,95.499765,100.253,99.526625,100.0777,91.235555,100.07425,93.466955,99.854185,95.19442,100.0837,96.19026
42,100.104795,101.04255,100.018785,100.44557,100.040765,87.586675,100.0547,83.64192,99.986835,96.18399,100.05325,98.06185,100.01838,79.50867,100.0824,84.712075,100.000845,91.090625,99.94425,97.68054,99.95144,92.79725,100.29935,98.530375,100.09565,94.84716,100.04965,99.196255,100.2124,95.935215,100.31125,99.64739,100.0432,91.34265,100.0578,93.062525,99.970055,94.94462,100.132,96.646865
44,100.12418,101.08445,99.995665,100.465825,100.06879,87.84715,100.0629,83.620095,100.04895,96.229405,100.0716,97.783385,99.990825,79.902995,100.1063,85.583815,99.911505,91.4635,100.066465,98.391235,99.973125,92.66894,100.3776,98.7752,100.00407,95.60365,100.0079,99.16334,100.2197,96.276035,100.21462,99.542035,100.04325,92.06248,100.025705,93.945335,100.06665,95.21173,100.0263,96.76553
46,100.05847,100.8747,100.013985,100.18421,100.14945,88.08968,100.04873,83.423125,100.003625,96.387145,100.01401,97.894915,99.99418,81.087705,100.04985,86.06079,99.93069,91.13454,99.981835,98.049625,99.992065,93.302295,100.1461,98.7816,100.00052,95.51208,100.0446,98.898365,100.18215,96.469135,100.19513,99.561225,100.0112,92.313205,100.04397,93.91683,100.0392,95.689435,100.014815,97.40058
48,100.0732,101.20625,99.92617,100.27661,100.15515,88.48394,100.02378,83.735095,100.017,95.555915,99.96449,97.964615,99.98738,82.12725,100.1289,85.676925,100.0258,91.45345,100.020365,97.97823,100.02675,93.371575,100.10165,98.275385,99.96414,95.37411,100.01345,99.082495,100.1183,96.80504,100.13855,99.20341,100.0296,92.284805,100.0238,94.155845,100.0155,96.518345,100.04585,97.481165
50,100.0217,100.81849,99.95028,100.141445,100.06395,88.328375,100.04735,83.0456,99.991195,95.97892,99.973675,97.56847,99.99888,81.645985,100.0914,86.77119,99.95759,90.876445,99.93784,98.338045,100.00813,93.587275,100.07045,98.16558,100.00047,95.54605,99.991835,99.17199,100.0101,96.744195,100.1326,99.605605,100.00585,91.642675,100.0129,93.85798,100.00845,96.454595,100.0626,97.1652
52,99.999835,100.854,99.89357,99.573505,100.03918,88.369995,100.02575,83.5498,99.981785,94.987975,100.00785,97.10334,99.98924,81.89602,100.0641,87.8152,100.011455,90.80132,100.018005,97.56742,99.978845,93.76327,100.1139,98.451605,99.999975,95.21779,99.982125,99.069805,99.992555,97.08811,100.1202,99.569675,100.03395,91.814545,99.97445,94.218885,100.0031,95.806025,100.05965,97.3159
54,99.9979,99.86446,99.93499,99.93153,100.0523,87.66598,100.0038,83.187795,99.98368,94.83988,99.987985,97.273365,100.013,82.359155,100.09825,88.258555,99.99489,91.191575,99.99909,96.884305,100.0059,93.492715,100.05555,98.809805,99.98399,95.45175,100.008235,98.92065,100.01735,95.79923,100.100315,99.879425,100.00483,91.12921,99.972655,93.790255,100.01105,95.19764,100.04085,97.02875
56,100.000055,99.92294,99.98957,99.99883,99.977225,88.609575,100.053545,83.639205,100.0155,94.88433,99.97803,97.218045,99.99414,82.488225,100.0815,88.0464,100.028,90.87302,99.94258,96.86449,99.954575,94.004715,100.086,98.128205,100.0066,95.1738,100.02475,98.6478,100.0938,96.932565,100.077835,99.996945,100.0217,91.707685,100.0063,93.237655,100.0009,95.35678,99.995745,96.82023
58,100.0123,99.593075,99.9414,99.439705,100.01555,88.5958,100.02375,84.49651,99.984055,94.591805,99.991075,96.926015,100.0059,83.671105,100.0499,88.42249,100.0684,90.8947,100.005225,96.624365,99.95697,93.25103,100.06095,98.50285,99.994835,95.671655,99.973975,98.44626,100.17165,96.089225,100.0665,99.907085,100.00436,91.76585,99.97836,93.58147,100.00455,95.85176,100.03395,96.75863
60,100.0121,100.139465,99.985905,99.335875,100.0191,88.489965,100.0353,83.570215,100.00695,94.97522,99.989125,97.170585,100.0135,83.22331,100.01475,88.739985,100.003775,90.36725,100.00961,96.67527,99.990055,94.30762,100.0322,98.52772,99.99735,96.199955,100.03595,97.994365,100.12015,96.013735,100.071695,99.745805,100.002145,92.19971,99.992305,93.148975,100.01335,96.00468,100.0042,97.35669
62,100.0183,99.79902,100.0009,99.74916,100.009155,88.412205,100.00595,83.066325,100.00935,94.82023,99.99953,97.32723,100.013195,83.621425,100.000515,89.08297,100.01101,90.93071,100.03635,96.951195,99.990425,93.73557,100.02935,98.897805,99.992365,95.500165,100.01275,98.623025,100.1522,96.686885,100.0205,100.1898,100.017,91.07781,99.991725,92.457945,100.0047,95.520315,100.003715,97.29075
