Elapsed,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,0.1540775,0.18235907,0.08215113,1.46462445,0.11321681,0.3256983,0.20242265,1.42000835,0.0539389,0.20601512,0.24541895,0.45950525,0.1393851,0.156426085,0.2241257,1.47681585,0.4606161,0.2391836,0.14301515,1.3277465,0.175340095,0.5024324,0.69967535,1.55234215,0.43982045,0.71525625,0.5247286,1.0569593,0.45023945,0.313806225,2.09322015,0.92931255
2,1.0825611,0.81922875,0.5660014,1.43495735,0.92043715,0.75608255,0.93775925,1.7123075,0.753003,0.6877238,0.6080821,0.70091125,1.2563335,1.22123425,1.2497295,2.0944625,1.813268,1.4499515,1.7380815,1.7729855,1.2244375,1.336074,1.7731735,2.6551625,2.497649,1.711381,2.1168585,2.378744,1.21134,0.7640014,3.405466,1.498607
4,1.9665295,1.509976,1.366583,1.670845,1.991381,1.303951,2.3068255,1.9701115,1.6808885,1.0954465,1.02118765,0.94770925,2.0742225,1.9185835,2.552791,2.7616815,3.3072765,2.4699715,3.515975,3.4064955,2.014034,2.0543455,3.4427955,3.436189,3.2000555,2.867278,3.9437665,3.878593,1.7279415,1.215657,4.1345845,2.189222
6,3.1271375,2.0807665,2.415769,1.8164885,3.467092,1.7833245,3.628612,2.032394,2.9307645,1.491137,1.7611545,1.4437455,3.133547,2.8591005,3.643709,3.054158,4.1630115,3.4026045,5.2438925,4.6719485,3.0926695,2.8539805,4.7670245,4.596161,4.5934255,4.356631,6.411162,5.7053935,3.051057,1.6558885,4.8244125,2.774576
8,4.43926,2.596921,3.454907,2.3422615,4.515068,1.955537,4.7496275,2.388482,4.5399305,1.7471685,1.953657,1.7261055,4.257499,3.576619,5.22695,3.371952,5.6685105,4.1085385,7.727563,5.614908,4.5468625,3.577313,6.647138,5.324281,6.7946085,5.703167,7.9040115,6.823743,4.0809745,1.826029,5.582629,3.19464
10,5.8929035,3.1345055,4.9589045,3.343304,5.6962695,2.474881,6.251081,2.9664735,5.8266215,2.2880745,2.7254465,2.4541465,5.214657,4.2928925,6.484444,4.1607595,7.657089,5.006585,9.9606635,6.7611535,6.336547,4.272251,8.469758,5.878501,8.278584,6.7541555,10.05073,7.6021215,4.8061615,2.2271965,6.4768165,3.7079845
12,7.0749505,3.7135635,6.3240215,4.2181645,7.698651,3.2033265,7.6409765,3.4642305,6.7616165,2.5479405,3.419902,3.0245645,5.99811,4.7369655,7.468033,4.978685,8.9914355,5.7311855,12.179285,8.191681,7.3134555,4.736666,9.977286,6.9317145,10.585771,7.863121,12.476905,9.5055205,5.6081455,2.540485,7.934956,4.514059
14,8.081837,4.5808295,7.2734935,5.582603,9.014419,3.576534,9.2490925,3.8833755,7.956998,2.753956,4.279858,4.034358,7.090031,5.512996,9.374577,6.180584,10.911135,6.5485655,14.558775,9.7978325,8.5352985,5.215857,11.21276,7.878078,12.388187,8.65508,14.562215,10.554739,6.5470745,3.1736985,9.2116405,5.010665
16,9.4704045,5.329762,9.0379235,6.0696505,10.43885,3.929971,10.537215,4.3297215,9.4788805,3.100731,4.908233,4.227948,7.468963,6.101828,10.500192,6.5353235,13.111,7.276025,17.191165,10.717433,9.417995,5.5856645,12.900145,9.3429375,13.759,9.8310615,17.127765,12.4428615,7.700488,3.5416735,11.06463,5.603018
18,10.911115,5.8318745,10.053177,6.656903,12.189965,4.074271,11.705985,4.751925,9.693427,3.4094,5.5981845,4.910067,8.356712,7.0189235,12.165535,7.02954,14.61895,7.587059,19.485495,12.335102,10.82077,6.1470555,14.327585,10.3809,15.68598,10.653498,19.76247,13.9366135,8.372813,3.830532,11.944705,5.934557
20,12.85528,6.5755385,11.43378,8.1222495,13.29478,4.511064,13.951095,5.0884105,10.6909315,3.403245,7.0474495,5.6705195,10.1711015,7.427093,13.35169,7.716211,16.10632,8.3186165,21.83096,13.295175,12.29298,6.582801,15.382935,10.9027765,17.91796,12.2613545,22.66305,15.0634325,9.5376205,4.274081,13.435135,6.9815295
22,14.005465,6.9862665,13.27492,8.7656265,15.622355,4.756533,15.271115,5.354092,11.255919,3.563919,8.003628,5.6852585,10.685869,8.058903,14.51688,7.8971215,18.95887,9.196236,23.29643,14.79403,13.85115,7.366357,17.83545,12.541645,20.77641,13.23373,26.26751,16.13927,11.104343,4.8465895,14.839495,7.3835795
24,14.73119,7.10739,14.400655,9.3778365,16.485705,4.8532515,16.124815,5.545569,12.54072,3.765436,8.985413,6.3399805,13.189745,8.463939,15.35114,8.643254,22.063485,9.8880615,25.206745,15.75268,16.304245,8.213995,19.73714,12.989185,23.65097,14.153465,30.513115,17.590265,12.052815,5.3667275,17.437685,7.617202
26,16.197055,7.769276,14.877395,9.6322935,18.00962,5.2687785,17.203935,5.990205,13.052205,4.1423615,9.9584885,6.335987,14.115595,8.687204,15.668475,8.9245995,23.81538,9.9590405,25.959735,16.545655,17.168265,8.884966,22.20688,13.900385,25.634555,15.06711,32.17787,19.0542,12.83396,5.959249,18.597385,7.905882
30,18.11003,8.741814,17.25039,9.9391515,19.916815,5.623315,18.116665,6.245317,14.59436,4.2566955,10.743585,6.787758,15.51855,9.2426555,17.386615,9.9520915,26.601995,11.22586,28.828415,17.135995,19.552515,9.8389135,24.080875,15.544825,29.84879,15.747355,35.98853,20.81362,14.922795,6.2654175,21.577545,8.266126
32,19.0287,8.8884505,18.379805,10.134235,20.93853,5.722138,18.64334,6.5022365,14.83809,4.389841,12.32297,6.798566,16.277445,9.8574885,18.14735,9.8220885,28.105015,11.832215,30.25087,17.91944,21.68841,10.254933,27.08844,16.175255,33.738935,16.98308,37.949495,20.957685,16.380015,6.368575,23.04139,8.730429
34,18.982385,9.176826,17.92037,10.2717805,20.86692,5.62778,19.11166,6.667368,14.78482,4.5293295,12.4809,6.9408815,17.081795,9.703322,18.225325,10.376887,29.12858,12.233315,30.045145,18.36437,22.997745,10.874665,28.26915,16.594805,34.98045,18.03169,40.143675,21.545995,18.352795,6.4702995,23.6318,9.3637845
36,18.926425,9.646981,17.53598,10.761173,21.22841,5.6523675,18.75072,6.9331255,15.537215,4.52161,12.65605,7.1995735,18.29693,10.1260035,19.307435,10.5873465,30.0147,12.554765,30.28521,18.859235,24.51781,11.292035,29.24744,17.520855,37.372065,17.988975,39.69326,22.244395,18.983545,6.576074,24.60349,9.8052805
38,19.04055,9.4684175,16.39736,10.73851,21.87234,5.7613665,19.35276,6.9204,16.469475,4.612617,13.2332,7.0456195,18.06131,10.216865,19.29854,10.670024,31.126865,12.766645,31.362765,19.02925,25.19102,11.940755,30.50045,17.89529,38.05308,18.790215,41.40193,23.355865,20.057755,7.0900295,25.33042,9.72812
40,20.183285,9.4238295,16.828655,11.17895,22.599585,5.6320875,20.47821,7.311318,16.26751,4.9001115,12.946365,7.1206455,18.541845,10.392369,19.569885,11.09436,30.815335,13.03112,31.45297,19.337035,26.87636,12.392385,30.59894,18.711115,38.69076,19.4023,41.592145,24.273455,20.63786,7.422953,24.644235,10.323635
42,19.81338,9.6719975,16.699485,11.083385,22.516545,5.508927,20.96935,7.3116455,16.523585,4.909802,13.40607,7.0869365,18.986545,10.291392,20.24938,11.241165,30.590685,13.215175,33.14016,19.46995,27.990575,12.89164,31.66503,18.573995,38.44429,19.943045,42.73441,24.780555,22.04439,7.795347,24.875665,10.6212465
