Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,7.832694765,40.92203615,11.38125858,11.46164308,30.33136276,26.31280758,22.1649952,24.55154784,12.26691098,20.4188932,45.09962114,12.95369287,24.29290053,21.7499246,16.33204488,14.21066776,16.24587728,8.920051675,21.62127824,16.7600207,15.82741754,14.40182363,20.11458845,19.09948785,17.38466653,14.4148397,17.74668215,17.66516869,13.03731109,12.14335579,17.0860607,12.60195118
4,1,1,1,1,1,1,1,1,19.8281953,19.7823154,26.70059484,23.2732628,39.47459274,22.94699652,35.81548541,30.20955558,23.37654915,22.56282275,32.51046501,25.42350736,35.45761997,23.80978162,28.70667546,25.89410748,26.35083704,18.37585553,34.25773787,24.85293107,30.17944527,26.43360809,34.73678989,28.94744543,30.13738943,21.09336853,34.31533398,31.52005659,24.58869728,22.87048534,31.81617906,21.17130018
6,1,1,1,1,1,1,1,1,36.95060014,33.35080708,47.83858045,42.60725756,47.07129442,34.2583437,54.10375932,43.98107227,42.80814928,35.07197488,45.64685056,38.02471464,47.17571125,33.06270736,44.57287032,37.50231375,40.15214626,29.04003758,46.91512513,32.86118864,47.30233721,36.26252896,52.77080403,38.07817165,41.94994888,27.86634281,46.66836766,42.91253217,34.79878853,31.750176,44.93145068,32.96631397
8,1,1,1,1,1,1,1,1,49.17257254,41.96228433,60.53721615,48.88368836,50.815826,40.65387734,70.12854138,49.9856461,53.85678572,40.32569157,61.66706384,47.99014932,61.20959629,38.56986776,54.85497968,45.85257063,54.0462054,35.86360795,60.68682906,41.78426584,57.23381644,46.42570022,66.96845103,48.96462599,50.53257077,34.12536527,61.02328912,55.63435355,50.96481238,36.49852991,60.57902985,44.10945066
10,1,1,1,1,1,1,1,1,70.14354784,46.27243418,72.58203265,53.70008174,64.15351392,41.69538601,77.55672953,52.80795738,70.72022389,44.86731128,78.72562529,52.00050674,75.63483741,47.70066926,66.44435494,55.35472245,61.11461205,39.59497159,70.57706121,51.12537678,65.97782851,54.24904057,73.90756945,52.55376675,63.58672016,40.71616404,68.38057953,61.34971778,60.75404379,42.72477385,69.83356451,49.26693399
12,1,1,1,1,1,1,1,1,81.60908246,52.46303206,76.64939991,58.79199798,69.98224461,44.31289312,85.19223233,57.9174635,74.70386162,49.19386908,85.07561843,56.03128716,86.38849061,52.11984546,72.66534946,61.85978511,74.47683753,45.41132141,86.17650228,56.78159449,78.92512472,60.48566052,84.74611426,59.53091992,72.75375748,46.73130068,77.35776131,68.89824506,71.11623054,51.41560577,79.94277692,59.15942189
14,1,1,1,1,1,1,1,1,90.32596942,57.14184387,87.11608462,63.42402323,72.65066359,49.22057483,91.44085985,56.83693671,77.63344351,51.54260471,90.08531904,56.62731049,94.72738462,56.04610436,81.67120111,65.55247763,83.48263135,48.58918568,94.91192024,61.16756153,88.7808288,65.02693983,91.06588405,64.21803417,87.96873075,52.58035188,83.51992952,77.17668673,84.52740862,54.19998268,89.27807335,65.42225246
16,1,1,1,1,1,1,1,1,93.36297542,60.09447624,98.40051745,72.59020391,83.41731251,49.18819412,90.19162835,59.18071025,88.54505834,55.80998302,98.63057477,62.74430184,95.99462617,60.31403514,92.31148593,71.75459221,94.39224324,53.63012205,102.4194919,66.18538652,99.31338577,69.97443921,92.85201849,67.78939418,98.28968207,56.08251867,90.55596594,79.38131559,88.77339381,58.25027427,91.79385514,71.79245453
18,1,1,1,1,1,1,1,1,105.9643948,64.09982284,103.9760855,77.96931165,90.39129399,53.59542025,93.26451212,63.09511391,92.7652177,57.47044079,98.61619556,67.48664304,104.0726741,63.95177745,94.54739859,76.14144581,107.9741876,57.24690852,106.197957,70.44088183,105.1884872,73.68159582,97.86867361,77.17708524,100.8902194,59.38668606,94.48268175,81.55827413,90.99901088,62.82678142,99.09165801,73.00862013
