Elapsed,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,1.9924905,2.68300695,1.38829545,17.796502,1.3158245,3.177204,2.1357405,15.756796,0.67792305,2.9836025,3.791967,6.8028695,1.4823885,1.64934485,2.0771055,14.948234,3.556883,2.526037,0.8764789,8.955113,1.6598909,4.3517475,4.714768,13.350565,2.057951,3.9015795,2.9560515,4.314062,5.6086975,3.8614175,17.3745035,7.4056255
2,8.4593195,8.47093,5.3012875,12.699745,7.030816,5.359551,6.8268425,14.39778,6.521208,8.8427955,7.1203125,8.359295,9.2925835,10.1477165,8.9985125,17.9312395,9.232181,10.7966755,7.388476,9.3107375,8.073822,8.7569895,8.487372,17.073675,9.5030735,7.67794,9.0881865,7.7474675,10.273229,7.668958,21.09642,9.4239095
4,11.36288,12.44324,9.138129,12.232396,11.255237,7.268486,12.66766,13.5632,11.837895,12.099545,9.4716835,9.756431,11.89952,13.4895955,14.72929,20.87672,13.263925,14.681905,11.70819,14.41333,10.42225,11.14662,13.14818,18.478,10.542958,10.90096,14.242275,10.3752025,11.430475,10.077642,19.969205,11.6107435
6,14.58387,13.961945,12.977235,10.840695,15.299455,9.043245,15.351245,11.9755025,16.718215,14.613455,14.11195,12.9363665,15.63587,17.57669,17.610285,20.468925,13.391945,17.4995,15.168255,17.186945,13.074355,13.37046,16.6492,21.075315,13.06499,14.39401,18.659015,13.22406,17.05695,11.54223,20.170765,13.1506085
8,18.447885,14.941565,16.08118,13.11955,17.882,9.0123165,18.01765,12.49429,22.37281,16.95203,14.18336,14.31403,18.780005,19.57372,21.122275,20.453595,16.528225,19.4332,19.84576,19.116285,17.079265,15.152605,20.0608,22.903535,17.596495,17.15107,20.58978,14.27542,20.14427,11.5566595,21.453945,13.925976
10,21.37024,15.972335,20.82779,16.679205,19.025175,10.1637635,20.583785,13.663635,24.99776,19.590415,17.222675,17.104185,20.285805,21.826885,23.16003,22.15974,19.308105,20.853125,22.86808,20.792085,21.05369,16.79185,22.68234,22.75363,19.01774,18.463255,22.79967,14.711365,21.15261,12.71174,22.23669,14.6738675
12,22.857185,17.18136,23.78012,18.909195,22.813895,11.733385,21.892715,14.68033,25.79752,20.339235,19.181895,18.860915,21.032755,22.3642,24.61539,24.686315,21.069115,22.149605,25.507485,23.60003,22.244555,16.865145,24.50248,24.228565,22.02177,19.484915,25.737435,17.1698,22.393975,13.36358,25.16837,16.46755
14,24.104525,19.608895,24.081025,22.84393,24.20486,12.64299,24.0719,15.374235,27.675925,20.315355,21.028795,22.8449,23.242645,23.828675,28.080695,28.105815,23.295395,23.160225,27.76916,25.290075,23.671775,17.616635,25.11517,25.32927,23.683685,19.90541,27.994465,17.624035,24.0061,15.18577,26.731575,17.0927485
16,26.085385,21.154165,27.98134,23.39543,26.0637,13.100645,26.01866,16.224165,30.72552,21.96733,22.040425,22.875845,23.31991,24.35874,28.78194,27.81488,25.331425,23.953345,29.688615,26.496315,23.585745,17.70272,26.880335,27.64035,24.585115,20.95083,29.79563,19.134065,25.657955,15.903215,29.553995,17.876295
18,28.894685,22.001785,29.346585,23.97887,27.70146,13.196485,26.306565,17.09645,29.71952,22.466595,22.90919,25.05714,24.4498,26.551635,30.41752,28.317335,26.72278,24.05187,31.10149,28.51048,25.681505,18.53403,27.937685,29.499615,26.197265,21.42783,31.433115,20.0582,25.37937,16.638525,30.22981,18.127275
20,31.88371,23.30534,31.119855,27.64069,27.062795,13.64531,28.623095,17.494215,30.40283,21.11765,26.977935,26.408265,27.33452,27.215535,31.707135,29.54435,27.38053,25.197065,32.118585,29.768265,27.849025,18.625365,27.95305,29.84055,26.662785,23.33874,33.29417,20.804395,27.567595,17.73239,31.30136,19.895225
22,32.463745,24.318805,32.413965,29.630625,29.699585,13.95187,29.113695,17.63268,30.21874,21.315455,29.7025,25.67195,26.796595,27.93482,32.72574,29.509605,29.900795,26.13311,33.148695,31.70769,28.27766,19.862455,29.84574,31.760855,28.96428,23.858065,34.509625,21.44713,29.32644,19.363925,32.51708,20.22211
24,32.977755,24.525685,33.34793,30.911445,28.757375,13.64488,29.189205,17.662745,33.076015,21.38974,30.830545,28.29722,30.787015,28.338725,33.31337,31.080305,32.657105,27.34962,33.629715,32.43296,30.519735,21.15162,31.599115,32.166895,30.111035,24.860515,37.21855,22.202185,30.254655,20.562355,35.78862,20.4294
26,33.728775,25.921335,33.0114,30.608185,30.629085,14.34226,29.372195,18.60303,32.69789,22.60345,31.43123,27.454945,31.52222,28.7008,32.141145,31.514555,33.251885,26.739645,33.2589,33.523495,30.64273,21.6929,33.43577,33.16596,30.45936,25.483385,36.822225,23.12446,30.448695,21.75248,36.033055,20.20592
30,35.30058,27.507595,34.73788,30.55796,31.38809,14.783755,28.60581,18.792945,33.163975,21.826525,30.800935,27.95107,32.585985,29.657235,33.2641,33.098905,34.266425,28.020235,34.40525,33.86002,32.374315,22.983245,33.93535,35.12866,32.569085,25.71517,37.471185,23.76551,31.15039,22.29672,36.963995,20.42158
32,35.730865,27.517715,35.4786,30.70967,31.815585,15.479415,28.26494,19.26057,32.68578,22.26095,33.81727,27.98777,32.33896,30.830045,34.252715,32.613785,34.53483,29.289765,35.707585,34.38029,34.495375,23.391995,36.185505,35.28787,35.015355,26.96271,37.894175,23.46687,33.36514,22.19737,37.76059,20.93336
34,34.933365,27.269625,34.41343,30.136915,30.462145,15.35173,27.48608,19.620465,31.68873,22.99277,33.720775,28.630385,33.226135,30.107475,32.640385,33.12037,34.693975,29.543695,34.8696,35.655735,34.48676,24.596,35.85341,34.76216,34.567445,27.929725,38.208305,23.655125,34.75818,22.095445,37.40924,21.45279
36,35.46969,28.743995,33.43404,30.734235,30.3346,15.54723,26.44885,20.26263,32.418055,22.840155,32.438835,29.177545,34.70385,31.453245,33.75923,33.156845,34.76248,29.77354,34.59371,35.325635,35.354075,24.974755,35.55649,35.374565,35.35116,27.45022,37.101185,23.673765,34.855035,21.97586,36.874065,21.746715
38,34.6981,28.133795,32.015765,30.726185,30.60007,16.145985,26.39433,20.207785,32.72396,23.48729,32.88733,28.513135,34.78116,31.415115,33.21748,33.211805,35.15378,29.779485,34.882435,35.55157,35.769025,25.800435,36.14516,35.12951,34.64823,28.133795,37.20558,24.039755,35.56039,23.30871,37.922765,21.707775
40,36.31723,28.369175,32.356945,31.068375,30.9078,15.925075,27.92729,21.07723,32.220865,24.196445,31.67769,28.332745,34.637705,31.50949,33.190005,34.24115,34.89113,29.88648,34.209455,35.5783,36.733755,26.210005,35.363335,35.559795,34.499365,28.43681,36.55,24.29619,36.26486,24.25142,36.378965,22.85654
42,35.976435,29.03143,31.42623,31.48799,30.11763,15.900355,27.994095,21.49133,32.829325,25.00612,32.19193,28.25027,34.184655,31.731635,34.19724,34.729285,33.290435,30.369745,35.31506,35.173455,37.354035,26.454875,35.73497,35.10346,33.72015,28.72017,36.94705,24.37017,37.118,25.26396,36.897265,23.31491
44,34.09932,29.891665,32.225345,31.84072,29.775825,16.255085,28.392195,21.36085,32.429835,25.456315,33.23185,28.31331,34.542175,32.981145,33.21809,35.335495,33.587215,31.165805,35.244165,35.631015,37.87472,27.27552,36.467865,35.22668,33.82514,29.567975,37.44824,24.85427,37.350015,25.70488,38.47085,23.34682
46,33.67327,29.367585,32.747155,31.52254,29.788635,16.45764,28.08596,22.031395,31.30706,25.54991,33.42478,28.504415,31.87409,33.86087,31.94195,36.001245,32.841525,31.151125,34.617135,35.9496,36.54802,27.712185,36.62218,35.477995,33.4226,29.558685,37.60931,24.93247,36.903305,25.954185,38.04486,23.47211
48,33.81326,30.44193,33.13954,31.959225,30.356305,16.942485,27.94374,22.201355,32.501325,25.77926,32.295925,28.83358,32.94683,34.503085,31.299385,36.68202,34.13632,32.05671,34.768205,36.13965,36.8174,28.0932,36.299555,34.87294,33.99249,30.143075,37.479605,24.72066,36.54975,26.05394,37.595805,23.67271
50,33.851545,30.97504,32.221555,32.14019,29.896555,16.752,28.192295,22.023175,32.21423,26.567115,33.22845,29.3517,33.01846,35.028055,32.01803,36.446655,34.17529,33.27635,34.679925,36.39046,36.98772,29.116765,35.614925,35.06888,33.399325,30.81732,38.030615,24.729195,37.28729,26.13788,37.756505,24.963805
52,33.78991,31.33733,32.804425,32.58199,30.211345,17.154205,27.550155,22.77082,31.47277,26.253975,33.76539,31.55919,33.527405,35.193595,32.78555,37.00856,34.271705,33.59336,34.08463,37.032425,37.38045,30.048415,35.859245,35.084785,33.40396,31.686955,37.735975,24.86404,37.24995,26.88742,38.414165,25.023555
54,33.348685,31.8885,31.806815,32.49282,30.351825,17.29248,27.90034,23.00781,30.92875,27.297145,33.87805,32.202325,33.07408,35.745475,31.66735,37.469085,33.553885,33.948635,33.716015,36.29356,37.7327,30.79629,35.81837,35.168425,33.727495,32.541135,37.72918,24.895115,36.961835,27.279775,38.15951,25.306945
56,33.5959,32.03513,31.571905,31.963705,30.38132,16.987055,28.61224,24.04566,31.54608,27.6387,33.17927,32.42413,32.73595,35.87384,31.906615,37.86214,33.992695,34.154165,33.744675,36.606555,38.05612,31.390015,36.0929,35.17849,34.411365,32.99275,37.104365,24.734115,35.80429,28.536235,37.867625,25.11955
58,34.51072,32.970195,32.254265,32.515785,30.314285,17.10945,29.03152,24.70536,31.612505,28.586205,32.874605,33.555585,32.27969,35.630275,32.18724,38.030315,33.670045,33.06254,33.7706,36.661775,38.52212,32.252355,36.001435,35.131765,34.35563,33.64773,37.624235,24.39972,34.98961,29.382565,37.18294,25.437995
60,34.341965,34.123795,31.225925,32.828015,30.86201,16.387845,29.324065,24.40031,31.382665,28.784845,33.816835,34.00558,31.785555,34.64606,32.15784,38.66675,33.627845,33.06769,34.25987,36.689825,38.530785,33.35763,35.99756,36.55512,34.116435,34.2216,37.985035,25.047725,35.00962,29.757315,36.53845,26.292995
