 ,Area,Mean,Min,Max,X,Y
1,0.000,148,148,148,1.646,0.917
2,0.000,109,109,109,2.148,0.953
3,0.000,150,150,150,1.689,1.509
4,0.000,132,132,132,1.384,2.009
5,0.000,127,127,127,3.745,1.550
6,0.000,53,53,53,0.953,8.800
7,0.000,101,101,101,0.842,9.300
8,0.000,102,102,102,1.175,9.689
9,0.000,130,130,130,1.439,10.300
10,0.000,108,108,108,10.550,10.759
11,0.000,144,144,144,9.427,10.789
12,0.000,77,77,77,11.115,8.647
13,0.000,171,171,171,10.789,8.378
14,0.000,105,105,105,10.959,8.094
15,0.000,161,161,161,10.803,7.881
16,0.000,129,129,129,8.747,8.179
17,0.000,134,134,134,8.037,8.151
18,0.000,118,118,118,7.470,8.009
19,0.000,148,148,148,7.200,7.711
20,0.000,102,102,102,7.739,7.144
21,0.000,128,128,128,8.080,7.456
22,0.000,74,74,74,8.278,6.704
23,0.000,134,134,134,8.832,6.548
24,0.000,130,130,130,9.144,7.257
25,0.000,101,101,101,9.626,7.413
26,0.000,86,86,86,10.704,5.172
27,0.000,143,143,143,10.406,4.931
28,0.000,122,122,122,6.917,3.739
29,0.000,105,105,105,7.583,3.924
30,0.000,41,41,41,7.484,3.044
31,0.000,134,134,134,7.725,2.718
32,0.000,107,107,107,7.087,2.378
33,0.000,88,88,88,7.995,3.413
34,0.000,149,149,149,8.732,3.725
35,0.000,103,103,103,8.661,3.314
36,0.000,127,127,127,8.789,2.860
37,0.000,21,21,21,8.718,2.406
38,0.000,118,118,118,8.335,1.243
39,0.000,121,121,121,8.917,1.200
40,0.000,103,103,103,10.505,2.066
41,0.000,79,79,79,10.420,2.406
42,0.000,39,39,39,10.803,3.385
43,0.000,205,205,205,11.385,2.974
44,0.000,129,129,129,11.456,3.257
45,0.000,173,173,173,11.286,3.867
46,0.000,64,64,64,11.626,4.137
47,0.000,1,1,1,11.981,4.108
48,0.000,13,13,13,12.491,3.938
49,0.000,67,67,67,12.647,3.356
50,0.000,164,164,164,12.335,3.059
51,0.000,83,83,83,12.406,0.094
