 ,Area,Mean,Min,Max,X,Y
1,0.000,116,116,116,0.479,0.104
2,0.000,71,71,71,2.108,1.172
3,0.000,90,90,90,1.158,1.527
4,0.000,196,196,196,0.817,2.321
5,0.000,76,76,76,0.548,2.647
6,0.000,125,125,125,0.931,9.286
7,0.000,130,130,130,1.867,10.349
8,0.000,171,171,171,1.172,10.392
9,0.000,151,151,151,11.059,8.335
10,0.000,76,76,76,11.030,8.676
11,0.000,158,158,158,9.470,8.420
12,0.000,125,125,125,9.016,8.576
13,0.000,81,81,81,8.321,8.179
14,0.000,77,77,77,7.541,8.165
15,0.000,60,60,60,7.598,7.896
16,0.000,114,114,114,8.974,7.314
17,0.000,102,102,102,8.676,7.924
18,0.000,45,45,45,8.463,7.172
19,0.000,156,156,156,8.108,7.101
20,0.000,174,174,174,6.562,4.293
21,0.000,84,84,84,7.711,3.200
22,0.000,141,141,141,8.009,1.739
23,0.000,183,183,183,8.392,1.385
24,0.000,106,106,106,9.073,2.435
25,0.000,92,92,92,8.888,2.605
26,0.000,166,166,166,8.435,3.427
27,0.000,72,72,72,10.477,2.718
28,0.000,122,122,122,12.165,0.094
29,0.000,134,134,134,12.789,-0.005
30,0.000,132,132,132,12.278,3.271
31,0.000,129,129,129,12.335,4.108
32,0.000,87,87,87,10.605,3.669
33,0.000,126,126,126,10.974,3.356
34,0.000,48,48,48,11.484,3.328
35,0.000,116,116,116,11.513,4.378
36,0.000,133,133,133,11.456,4.080
37,0.000,60,60,60,10.491,5.101
38,0.000,49,49,49,11.413,5.356
