Elapsed,PC9 UT,PC9 A/E,PC9 E,KO UT,KO A/E,KO E,KIN UT,KIN A/E,KIN E,KD UT,KD A/E,KD E,M4 UT,M4 A/E,M4 E,M5 UT,M5 A/E,M5 E,M7 UT,M7 A/E,M7 E,M10 UT,M10 A/E,M10 E,M11 UT,M11 A/E,M11 E,M15 UT,M15 A/E,M15 E
0,6.777778,6.777778,7.6111125,3.5,5.1666665,3.9444445,5.166667,6.3333335,2.666667,4.3333335,1.6666665,1.888889,8.8333315,11.2777785,13.611115,9.5,12.055555,8.3888885,8.2777775,10.2222225,8.3333325,7.4444445,8.4444465,6.333333,7.1666665,8.500002,8.5,8.333333,4.4444445,13.77778
3,2.2222225,2.7222225,2.666667,5.222222,6.222222,5.833333,2.5555555,5.222222,5.3333335,3.8333335,4.9444445,4.388889,2.722222,3.388889,4.3333335,2.5555555,4,4.1111115,2.1666665,2.722222,3.3888885,3.2222225,4.3888885,5.5555555,2.4444445,3.611111,4.5,3.277778,4.611111,4.9444445
6,1.8333335,1.83333345,2.611111,4.1111115,4.888889,3.722222,2.1666665,3.388889,3.8333335,2.8333335,3.333333,4,2.5555555,2.6666665,3.611111,2.3333335,3.6111115,3.666667,2.3333335,2.333333,2.7777775,3.0555555,2.7777775,3.2222225,2.5555555,2.777778,2.722222,2.5,3.111111,3.888889
9,2.1111115,1.722222,2.111111,3.3888885,4.1666665,3.222222,2.0555555,2.4444445,3.4444445,2.777778,3.111111,3.388889,2.111111,2.4444445,2.833333,2.333333,3,3.4444445,2.277778,1.888889,2.0555555,3.0555555,2.4444445,3.555556,2.111111,2.3333335,2.222222,2.3333335,2.277778,3.888889
12,2.055556,2.0555555,1.666667,3.8333335,3.888889,3.277778,2,2.2777775,2.4444445,2,2.7222225,3.222222,2,2.1666665,2,1.9444445,3.388889,3.0555555,1.66666645,2.111111,1.9444445,3.4444445,2.3888885,3.6111115,1.94444435,2.111111,2.2777775,2.3333335,2.222222,4.0555555
15,1.8333335,2.2777775,1.4444445,3.111111,3.5555555,2.888889,1.8333335,2.0555555,2.1111115,2.0555555,2.5,2.7777775,2,2.2222225,1.9444445,1.8333335,2.8333335,2.777778,2.055556,1.8333335,1.833333,2.666667,2.3333335,3.5,1.94444445,2.111111,2.277778,2.4444445,2.1111115,3.777778
18,1.777778,1.9444445,1.4444445,2.888889,3.166667,2.7777775,1.777778,1.777778,1.8888885,1.6111115,2.222222,2.833333,1.888889,2.333333,1.888889,1.722222,2.888889,2.5,1.7222225,1.8333335,1.49999995,2.388889,2.222222,3,1.66666685,1.9444445,2.1666665,2,1.611111,3.5555555
21,1.388889,2.055556,1.5555555,2.777778,3.166667,2.777778,2.222222,2.388889,2.111111,1.8333335,2.222222,2.4444445,1.611111,2.1666665,1.888889,1.666667,2.7777775,2.2222225,1.388889,1.666667,1.6111115,2.5555555,2.277778,3.166667,1.55555535,2.0555555,2.111111,1.9444445,1.722222,2.6666665
24,1.722222,2.111111,2.166667,2.333333,3.5000005,3.5,1.777778,2.3333335,2.4444445,1.777778,2.5555555,2.777778,1.5555555,2.5555555,2.0555555,1.666667,3,2.444444,1.4444445,1.777778,1.4444445,2.277778,2.2777775,2.5,1.722222,1.8333335,2.166667,1.8333335,1.888889,2.722222
27,2.0555555,2.222222,2.388889,2.888889,3.6666665,3.3333335,2.1666665,2.8333335,2.4444445,1.722222,2.388889,2.277778,2,2.4444445,2.1666665,1.9444445,3.1666665,2.722222,1.777778,1.9444445,1.9444445,2.0555555,2.4444445,2.7222225,1.944444,1.6666665,2.111111,1.77777795,2.277778,2.722222
