Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,6.888889,12.22222,9,10.1111125,8.333333,11.0555545,5.2222225,7.6666665,7.3333335,5.2222225,8.1111115,6.9444445,5.4444445,7.277778,8.111111,5.388889,5.6111115,7.555556,5.888889,8.5555555,9.777779,4.5555555,8.111111,7.3333335,4.388889,5.8333335,6.777778,4.111111,4.388889,4.833333
3,2.4444445,4.388889,3,6.6666665,4.7222225,5.0555555,2.5,3.8333335,4,3.388889,4.3333335,3.2777775,3.7222225,4.5,4.388889,3.277778,2.611111,3.3333335,2.888889,3.833333,4.2222225,2.5555555,3.8333335,3.3333335,2.166667,3.5,2.7777775,2.2222225,3.0555555,2.5555555
6,2.5,4.111111,3.111111,6.9444445,4.1666665,4.1666665,2.7777775,3.7222225,4.0555555,2.8888885,3.2777775,2.8888885,3.6666665,5.333333,3.888889,2.944444,2.3333335,3.111111,2.833333,3.3333335,4.2777775,2,3.4444445,3.222222,1.44444445,2.6666665,3.4444445,2.0555555,3.777778,3.111111
9,2,4.3333335,2.6111115,6.2222225,4.166667,4,2.388889,3,3.777778,2.722222,2.888889,3.2222225,3,4.5,3.888889,3.166667,2,2.8333335,3.111111,3.777778,3.4444445,2,3.2222225,2.888889,1.7222225,2.4444445,2.722222,2.166667,3.6666665,2.9444445
12,2,3.4444445,1.9444445,6.1666665,3.1666665,3.388889,2.0555555,2.666667,2.888889,2.5555555,2.6111115,2.9444445,2.9444445,3.888889,3.5555555,2.3333335,1.833333,2.666667,2.6666665,3.2222225,3.1666665,1.666667,3.166667,2.5555555,1.33333345,2.4444445,2.5555555,1.5555555,3.8333335,2.777778
15,1.6666665,3.388889,1.888889,5.611111,3,3.1111115,1.6111115,2.111111,2.555556,2.0555555,2.111111,2.777778,2.222222,3.666667,2.9444445,1.88888895,1.388889,2.1666665,2.3333335,3.0555555,2.7777775,1.722222,3.111111,2.388889,1.5,2.111111,2.722222,1.5555555,3.2222225,2.388889
18,1.666667,2.944444,1.888889,4.8333335,2.888889,3.5555555,1.444444,2.111111,2.5,1.9444445,2.1666665,2,1.8333335,2.6666665,2.777778,1.9999998,1.111111,1.9444445,2.3333335,2.8333335,2.888889,1.388889,2.666667,2.3888885,1.4444445,1.6666665,2.555556,1.33333345,2.8333335,2
21,1.833333,3,1.6666665,4.2222225,3,3.7222225,1.3333335,2.2777775,2.111111,1.6666665,2.0555555,2,1.444444,3.1666665,3.0555555,1.4444443,1.2777775,2.0555555,1.8333335,2.2777775,2.888889,1.4444445,3.3333335,1.61111095,1.3888885,1.777778,2.722222,1.33333335,2.722222,1.6111115
24,1.833333,3,1.3333335,4.5555555,2.8333335,3.2777775,1.388889,2.611111,2.611111,1.666667,2.333333,2.222222,1.2777775,3.2222225,2.6666665,1.94444445,1.388889,1.666667,2.2777775,2.277778,3.2777775,1.7777775,2.611111,1.3888889,1.7222225,1.9444445,2.8333335,1.27777785,2.222222,1.5555555
27,1.833333,3.166667,1.5,4.111111,3.1666665,3.5555555,1.33333345,2.2777775,2.7777775,1.5,2.5555555,2,1.3888885,3.0555555,2.888889,1.77777785,1.4444445,1.7222225,2.277778,2.277778,2.6666665,1.1666669,2.4444445,1.6666665,1.1666665,1.833333,2.6666665,1.4999999,2.1666665,1.611111
30,1.4444445,3.611111,1.888889,3.944444,3.388889,3.888889,1.222222,2.7777775,3.2222225,1.333333,3,2.2777775,1.222222,3.722222,3.5,1.7222223,1.777778,1.8333335,2.611111,2.388889,2.611111,1.5,2.5555555,2.166667,0.94444435,1.611111,2.9444445,1.38888885,2.277778,2.4444445
33,1.666667,3.388889,2.0555555,3.7222225,3.8333335,4.722222,0.99999995,3.277778,3.3333335,1.555556,3.277778,2.4444445,1.888889,4.388889,4.4444445,1.77777785,1.9444445,2.222222,2.722222,2.611111,2.7222225,1.11111095,2.3333335,2.277778,0.8333332,2,3.2222225,1.2222222,2.722222,2.6666665
36,1.4444445,3.7222225,2.2222225,3.9444445,4.7222225,5.7222225,1.0555555,3.8888885,3.5000005,1.5555555,3.9444445,2.666667,1.611111,5,5.6666665,1.94444435,1.8333335,3.0555555,2.277778,3.2777775,2.8888885,0.99999995,2.6666665,2.5555555,0.8888887,2.5555555,3.5555555,1.22222215,2.4444445,2.9444445
39,1.5555555,4.277778,2.5555555,4.4444445,5.222222,6.222222,1.16666645,4.5555555,4.4444445,1.7222225,4.611111,3.111111,1.6666665,5.777778,6.6111115,2.27777795,2.222222,3.5555555,2.6111115,3.7777775,3.7222225,1.111111,3,3.7777775,0.9444443,2.8333335,3.9444445,1.3333333,2.5,3.111111
42,1.3333335,4.944445,3.277778,4.3333335,7.0555555,7.388889,1.277778,5.7777775,4.666667,2,5.7222225,3.7777775,2.3333335,6.9444445,7.7222225,1.77777785,2.8333335,4.111111,2.222222,4.055556,4.6666665,1.2777775,3.1666665,4.2222225,0.9999999,3.4444445,4.3333335,1.4999999,2.5555555,4.222222
45,0.8888888,5.777778,4.2222225,4.888889,8.6666665,8.0555555,0.94444445,6.722222,5.8333335,2.0555555,6.5555555,5,2.611111,8.5,8.888889,1.77777795,3.4444445,4.555556,2.888889,5.7222225,6.111111,1.222222,4.055556,5.166667,0.83333335,3.8333335,4.7222225,1.44444445,2.7222225,4.277778
48,0.8888888,5.7222225,5.111111,4.7222225,9.7222225,8.8888885,1.222222,8.0555555,6.611111,2.0555555,7.888889,5.7222225,2.5,9.4444445,11.166665,1.7777778,4.611111,6.111111,3.111111,6.388889,7.222222,1.4444445,4.8333335,5.9444445,1.5,5.0555555,5.8888885,1.11111135,3.1666665,5.3333335
51,1.05555545,6.611111,5.9444445,4.888889,10.5,10,1.11111095,10.5000025,8.2777775,2.111111,9.222222,7.5,2.611111,11.666665,12.11111,1.9444444,6.277778,6.7777775,2.8333335,7.3333335,8.722222,1.2777775,6.388889,6.888889,1.333333,6,7.5555555,1.5,4,5.888889
54,1.111111,7.1666665,6.555555,5.0555555,11.5,11.83333,1.6111115,12.33333,10.8333355,2.111111,11.333335,8.7777775,3.0555555,14.277775,14.055555,1.8333335,8.055555,8.5555555,2.888889,9.0555555,10.3888885,1.1666665,7.6666655,8.2777775,1.5,6.5555555,9.1666665,1.611111,4.5,6.833333
57,1.111111,7.611111,7.6111115,5.1666665,14.666665,14.11111,1.777778,14.666665,13.111115,2.5,12.555555,10.944445,3.277778,16.055555,16.666665,1.9444444,9.8888875,10.94444,2.9444445,10.4444425,12.44444,1.05555535,9.1666645,10.1111135,1.5,8.111111,10.2222225,1.6666665,5.2222225,7.944444
60,1.2777775,8.9999995,8.6111115,4.7777775,17.277775,16.83333,1.777778,16.66667,16.11111,2.722222,13.833335,11.944445,3.3333335,19.16667,19.27778,2.2777775,10.72222,13.5,3.4444445,12.22222,15.38889,1.6111115,10.555554,11.166665,1.6666665,9.444444,12.222225,1.611111,6.444444,8.0555555
63,1.5,10.2222225,11.055555,5.5,19.555555,18.277775,1.5,18.61111,18.944445,2.722222,15.61111,13.499999,3.5555555,22.111115,21.38889,2.611111,13.666665,15.444445,3.166667,14.833335,17.444445,2,12.88889,13.38889,1.6666665,10.3333355,14.5,1.5555554,7.1666665,9.1666665
66,1.5555555,11.6111135,13.388885,5.4444445,22.055555,20.722225,2.0555555,21.22222,21.777775,2.2222225,17.333335,14.666665,3.6111115,24.72222,25.333335,2.3888885,15.88889,18.61111,3.111111,16.333335,20.777775,2.222222,15.555555,15,1.5555554,11.2222235,17.16667,1.72222245,8.666667,9.888889
69,1.4444445,14.11111,15.5,5.2222225,24.277775,23.166665,2,24.055555,23.555555,2.5,19.22222,17.277775,3.7777775,27.944445,27.555555,2.7222225,18.722225,20.38889,3.3333335,18.777775,22.61111,1.9444445,17.44444,16.222225,1.9444445,13.833335,19.333335,1.49999995,10.11111,11.444445
72,1.6666665,16.444445,18.61111,4.888889,26.555555,25.27778,2.4444445,25.72222,25.166665,2.4444445,21.88889,18.27778,3.9444445,30.88889,29.77778,2.722222,21.055555,22.33333,3.888889,21,25.222225,2.5,19,18.72222,2.3333335,15.38889,21.277775,1.44444435,10.5555555,13.055555
75,2.277778,19.5,23.5,4.666667,28.722225,28,2.611111,28.222225,28.333335,2.6666665,23.66667,21.444445,3.777778,31.72222,31.5,2.888889,22.166665,24.055555,3.5555555,23,26.833335,2.6666665,21.38889,20.722225,2,16.833335,23.88889,1.8333335,12.333334,14.61111
78,2.3888885,21.88889,27.55556,4.7777775,30.166665,30.888885,3,29.444445,31.77778,2.611111,24.83333,23.5,4.388889,33.944445,33.27778,2.8333335,24.88889,24.72222,3.888889,26.555555,29.833335,2.5555555,23.61111,24,2.833333,18.44444,26.27778,2.222222,13.88889,16.555555
81,2.9444445,24.833335,31.5,5.222222,32.944445,32.88889,2.944444,29.833335,32.166665,2.8333335,26.22222,24.388885,4.4444445,35.88889,37.222225,2.8333335,27.388885,26.66667,3.7777775,29.38889,31,2.666667,24.611115,25.166665,2.777778,18.944445,28.66667,2.5555555,15.333335,17.16667
84,2.9444445,27.666665,36.5,4.388889,34.77778,34.22222,3.4444445,32.61111,34.444445,2.9444445,28.16667,25.94444,4.9444445,37.722225,39.333335,2.888889,28.833335,28,3.388889,30.333335,34.333335,2.8333335,25.72222,26.833335,2.8888885,21.16667,30.444445,3.5,17.333335,19.277775
87,3.5555555,30,40,5.4444445,36.11111,35.555555,3.611111,33.555555,36.333335,3.166667,30,27.77778,5.3888885,39.277775,40.222225,2.7777775,30.88889,30.944445,4.6666665,32.22222,35.055555,3.277778,27.5,28.333335,3.2222225,23.055555,31.27778,3.166667,19.277775,21.055555
90,4.3333335,33.388885,43.88889,5.277778,37.33333,37.333335,4.9444445,35.833335,38.111115,3.8333335,31.055555,30.166665,5.5,41.333335,42.72222,3,33.055555,31.11111,5.6666665,36.11111,37.11111,3.4444445,29.77778,27.833335,3.6666665,23.88889,32.833335,3.2222225,20.555555,23
93,4.7222225,38.333335,49.444445,5.2222225,39.444445,38,4.9444445,36.38889,39.77778,4.222222,32.555555,30.88889,6.2777775,41.61111,44.66667,3.611111,37.16667,32.333335,6.722222,38.333335,37.66667,4.6111115,32.22222,29.38889,3.833333,25.88889,34.5,4,21.61111,24.222225
96,6.2777775,43.77778,54.444445,5.277778,40.944445,39.555555,5.722222,37.22222,40.388885,4.4444445,35,32.833335,6.277778,43.77778,47.22222,4.2777775,39.666665,33.5,6.222222,40.61111,39.5,5.222222,34.555555,31.22222,4.9444445,27.33333,35.666665,3.888889,22.38889,24.444445
99,9.1666675,48.166665,58.5,7.0555555,42.444445,40.444445,8.111111,37.722225,42.944445,5.611111,34.88889,34.55556,7.611111,44.666665,47.33333,4.4444445,39.944445,36.055555,7.888889,42.11111,41.61111,6.5,35.77778,31.944445,4.611111,29.722225,37.11111,5.0555555,23.33333,25.222225
