Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,4.1,9,6.4,3.7,5.5,3.6,7.8,5,8,4.6,4.4,5.7,5.2,4.9,5.5,7.5,4.2,6.8,8.3,5.9,5.2,7.5,10.4,7.8,7,8.9,6.5,8.6,28.8,16.5
3,5,9.2,3.8,3.2,6,3.3,7.8,5.1,6.2,4.2,4.3,4.9,5.4,5.6,5,7.1,5,5.6,7.1,5.2,4.8,6.5,10.1,5.8,7.1,7.9,6.3,6.7,28.7,11.3
6,5.3,8.9,3.5,3.5,5.3,2.8,8.1,5.4,5.8,3.5,4.5,5,4.7,5.7,4.7,7.5,4.3,5.4,7.2,4.9,4.4,5.2,9.3,5.8,7.4,7.7,6,6.7,29.7,9.8
9,5.2,8.3,4,3.2,5.1,2.7,7.6,5.2,5.9,4,4.3,4.8,4.6,6,4.2,7.3,4.2,5.9,7.5,5.4,4.6,7.7,9.3,5.7,8.5,8.2,6.4,7.5,30.5,9.3
12,5.7,7,3.5,3.2,5.7,3.1,8.4,5.2,5.5,3.2,4.5,4.5,4.6,6.4,4.5,7.1,4.4,6.1,7.8,5.6,5.3,7.6,9.3,5.2,8.3,8.6,6.2,7.1,30.9,9.2
15,5.7,7.9,3.5,3.2,5.7,4.2,8.7,6.4,6.2,3.1,4.6,5.6,4,6.3,5.3,7.5,4.8,6.4,7.6,6.4,5,7.3,9.3,5.8,8.4,9.4,7,7.5,31.9,9.7
18,4.5,7.3,3.7,3.2,6.1,4.2,9,6.7,6.3,3.5,4.8,5.1,4.3,7.5,4.9,7.2,4.8,7.5,7.4,6.3,5.9,7.6,10.3,6.7,8.1,9.5,6.7,8,32.3,9.9
21,4.2,8,5,2.8,7,5.1,8.4,7.1,7.8,3.7,5.9,5.6,4.1,7.5,6,8.1,5.4,7.5,8.6,7.1,6.4,8.2,9.8,7.2,7.5,9.8,7.3,8.4,31.7,10.1
24,4.6,8.2,6.2,3.3,7.3,5.9,8.1,7.5,7.3,3.7,6.1,6.3,4.5,8.5,6.8,8.2,6.2,7.6,7.6,8.3,6.9,9.3,9.9,8.2,7.5,9.8,7.3,8.7,31.7,10.8
27,4.8,8.9,6.9,3.5,8.4,7.8,9.6,8.4,8.2,4,6.8,6.1,4.9,10.3,7.7,8.7,7.2,7.9,7.4,8.4,8.4,9.3,9.4,8.9,8.1,10,8.4,9.4,33.3,13
30,4.4,9.2,7,3.9,8.9,9.2,9.1,8.3,9,4.3,7.5,6.9,4.6,11.2,9.1,9.1,7.7,8.7,7.3,8.9,9.4,7.7,10.7,9.5,8.9,9.3,8.4,9.9,33.8,14.6
33,4.2,9.9,7.5,3.9,10,11.6,8.9,10.1,10.5,4.2,8,7.4,4.4,12,9.9,9.4,8.7,10.2,7.3,9.7,10.6,9.2,11.2,10.6,9.1,10.5,9,9.5,36.5,16.5
36,4,10.3,8.3,3.8,10.8,12.6,9.1,9.9,12.2,4.9,9,7.9,5.2,13.7,10.9,9.9,10.1,11.6,7.6,11.3,10.9,8.9,12,11.3,8.5,11.1,10.1,10.2,38.7,18.4
39,3.8,10.4,8.9,4.1,12.7,14.5,9.8,11.7,13.2,4.4,10.9,9.5,5.2,15.8,12.9,10.4,12.2,13.6,7.6,12.5,14.6,8.8,13.2,12.5,9.1,12.4,12.1,11.1,39.8,22.7
42,4.4,12.4,9.4,4.7,14.9,16.7,9.7,11.3,14.9,4.8,13.4,11.6,5.9,18.6,15.3,10,12.9,15,8.9,13.4,16.1,9.3,14.2,14.5,10.4,14.3,13.7,12.9,41.2,25.7
45,4.7,13.9,11,5.8,17.8,18.8,10.3,12.6,17.6,4.8,15.7,14.7,5.7,20.8,18.7,10.5,15.5,17.4,9.5,17.6,18,10.5,16.3,17.7,9.7,15.7,16.3,13.4,44.1,30.9
48,4.6,14.9,13.1,6.6,21.6,22.4,9.8,13.4,19.6,4.2,18.5,17.9,6.6,23,20.7,10.8,17.6,19.7,9.5,18.5,20.8,10.5,18.8,19.9,9.5,16.6,19,13.6,44.9,35.2
51,4.8,16.3,14.8,5.7,28.4,24.2,9.9,16,22.1,5.4,21.1,22.5,6.9,27.3,24.2,11.1,21.3,21.9,9.4,22.6,24.2,11.4,20.6,23.5,10.6,19.1,19.8,16.2,46.7,39.8
54,5.5,18,18.2,6.4,31.7,27.6,10.6,17.6,26,5.2,24.1,25.5,6.9,31.7,26.7,11.1,24,26,9.6,25.5,27.1,10.1,22.8,26.6,9.8,21.4,22.6,15.6,49.1,44.4
57,5,20.8,20.8,6.5,37.7,32.6,11.1,20.3,30.4,6.1,26.5,29.1,7.5,34.2,32.2,11.1,28.5,31.1,10.1,29.3,32.8,11.5,26.4,30.8,10.4,25.1,27,17.7,50.1,53.2
60,6.3,24.2,24.6,7.6,41.5,36.9,10,22.8,33.6,7,29.6,34.5,8.5,38.9,35.8,11.7,29.3,34,10.1,33.3,35.8,11.6,30.2,36,10.4,27.2,29.9,17.1,53.7,57.9
63,5.8,26.3,27.5,7.8,48.2,39.9,11.3,28.5,38.9,7.5,36.3,39.5,9.3,45.3,39.9,12.1,34.6,40.5,11.9,37.3,42.7,12.8,31.9,41.1,10.4,30.9,33.9,19,58,64.5
66,6.2,29.2,30.3,8.1,52.2,44.2,12.7,31.8,41.5,7.6,37.8,42.3,10.5,50.3,44.6,13.2,39.2,45.3,10.3,40.6,46.9,12.5,36.5,46,12.1,32.7,37.2,21.1,61.5,72.6
69,7.3,32.9,34.8,8.8,54.7,47.8,12.8,35.5,44.7,8.8,42.8,46.7,11.1,55.2,50.7,15.3,44.6,49.8,12.5,44.7,51.8,13.9,39.6,51,13,36.5,39.3,22.6,65.8,80.1
72,7.8,37.5,42.4,9,59.7,51.4,13.3,39.7,47.4,7.7,45.5,48.1,10.5,57.7,54.3,15.6,51,54.1,14.1,48.6,55.7,13.7,42.7,57.1,13.6,40.6,43,24.5,69,88.3
75,8.4,42.2,46.5,10.3,64.3,55.2,14.1,44.7,52.3,9,48.1,52.5,12.2,62.1,58.7,16.3,55.6,60.3,15.5,52.9,62.1,15.4,44.7,62.9,14.6,46.1,45.8,25.2,72.3,93.6
78,10.6,48.8,53.5,10.7,66.7,56.9,14,49.4,55.5,9.4,53.3,54.1,13.2,66.4,59.9,17.3,59.4,63.1,14.9,57.4,67.8,15.6,48.7,65.3,15.3,50,48.7,27.2,76,100.2
81,12.8,54.4,62.2,11.5,69.8,62.8,15.7,52.8,57.9,10.4,57.2,59.1,15.2,70.3,65.1,18.5,64.9,67.1,17.7,61,73.4,16,52.8,70.6,15.5,53.3,53.1,30.7,82.3,102.6
84,14.8,60,70.4,12.3,73.2,65.9,17.5,58.3,63.2,10.6,58.9,61.8,16.3,72.9,67.1,19.1,67.8,70.1,16.6,65.7,76.3,16.3,57.7,73.9,18.1,56.6,54.9,32.2,84.9,109.3
87,16.6,66.5,80.4,13.2,74.4,68.2,19,62.7,69.7,12.5,62,64.4,17.7,77.4,70,21.5,74,74.8,19.2,69.7,81.5,18.7,63.7,76.1,18,61.5,58.3,35.1,86.7,111.9
90,18.3,74.8,89.1,15.3,77,69.4,21.4,67.2,74.1,13.3,65.6,67.5,18.8,80.8,73.6,22.6,76.7,80.1,20.4,73,86.6,19.4,69,80.8,18.4,65.4,61.8,37.8,91.8,114.9
93,22,84.3,99.5,16.4,79.3,72.7,23.4,68.2,79,14.6,70.2,69.9,20.6,86.5,79,25,79.6,83.6,22.2,78.4,91,23.6,73.4,86.9,18.9,69.8,63.2,40.3,95.4,120.5
96,26,96.4,112.8,17.9,82.2,75.5,25.9,74.3,81.2,15.8,71.9,71.9,23.6,91.8,81.4,27.6,83.6,87.4,23.2,81.8,94.6,23.7,76.6,90.1,21.3,70.9,65.8,44.2,98.2,121.5
99,28.9,112.2,123.5,20,85.9,75.5,28,76.7,87.7,16.8,74.5,74.7,26.8,94.5,85.3,30,87.6,91.7,25.2,87.2,100.1,26.1,81.9,91.2,22.1,76.6,67.6,50.5,106,128.2
102,33.3,122.5,137.6,20.5,86.7,76.6,31.1,81.8,92,17.1,76.4,72.9,29.1,99.4,88.4,34.1,90.3,93.8,27.7,89.7,101.2,28.7,86.5,95.9,22.7,80.6,69.9,54.7,110,129.8
105,35.4,135.4,150.5,22.4,89.3,78.1,35.4,84.4,96.9,19.5,76.7,74.9,32.7,99.5,90.8,35.8,95.6,98.1,32.8,95.9,106.8,32,90.3,100.2,24,83.1,71.2,64.4,111.2,136.1
108,42.2,153.2,160.9,24.1,90.7,77.6,38.5,91.4,99.5,20.4,79.7,77.2,36.4,100.3,92.6,36.7,99,98.8,36.2,100.8,108.4,34.2,93.7,103.6,28.5,86.4,75.4,75.5,115.5,141.8
111,46.6,171.3,171.7,27.9,92.9,78.7,45.6,92.7,106,22.3,83.6,79.7,42.8,102,96.8,41.1,105.7,98.8,44.2,105.9,112.2,41.9,102.9,107.3,31.2,91.6,78.3,88.8,119.9,145.9
114,53.9,187.2,184.2,32.2,95.3,81.7,50.5,98.5,108.9,24.3,88.1,83.2,49.5,106.2,96.7,48.3,109,101,51.6,109.9,112.6,46.7,109.1,108.1,35,93.5,79.7,108.6,122.5,146.3
