Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
108,16.0555575,40.444445,46.11111,5.3333335,27.72222,25.833335,7.2222225,25.055555,26.666665,3.6111115,23.722225,21.72222,8.0555555,34.555555,35.05556,3.4444445,30.777775,25.111115,8.888889,34.888885,29.944445,6.277778,27.16667,22.111115,4.4444445,22.666665,26.83333,4.388889,19.11111,18.72222
111,22.777775,46.444445,47.444445,5.6666665,28.16667,26.444445,10.0555555,26.555555,26,4.5,23.555555,22.666665,10.9444445,36.16667,33.444445,3.444444,31.666665,24.77778,10.9444425,36.16667,29.444445,7.6666665,28.555555,22.38889,6.5,22.444445,27.333335,6.1666665,19.722225,18.111115
114,32.16667,50.27778,49.22222,5.5,27.388885,26.555555,13.444445,26.944445,26.055555,4.6666665,25,22.38889,14.61111,36.5,34.72222,4.611111,31.055555,25.11111,17.222225,38.111115,29.833335,11.555555,28.61111,24.055555,9.666665,23.055555,27,8.8333335,19.555555,18.38889
117,47.277775,60.27778,55.055555,6.888889,27.444445,27.61111,20.555555,27.833335,29,6.777778,25.38889,23.333335,22.61111,40,37.833335,6.4444445,31.5,29.33333,26.22222,41.444445,32.88889,17.5,32.11111,25.944445,16.55556,24.444445,28.833335,16.22222,22.888885,19.33333
120,54.88889,60.833335,52.444445,7.7777765,26.38889,26.277775,26.833335,28.888885,27.333335,8.3333315,24.944445,22.38889,28.944445,38.66667,36.38889,7.333333,31.22222,26.222225,31.611115,41.27778,32.16667,20.777775,29.72222,24.38889,21.777775,25.166665,27.77778,20.444445,21.16667,18.666665
123,65.055555,63.61111,51.444445,10.722224,25.833335,26.444445,36.61111,28.611115,26.77778,10.4444465,24.38889,22.22222,37.77778,40.22222,36.11111,10.2222225,30.944445,25.055555,41.27778,41.333335,31.944445,27.11111,30.055555,23.5,28.72222,25.111115,27.27778,28.944445,20.555555,18.05556
126,77.77778,69.61111,53.444445,11.8888875,25.88889,26.944445,47.055555,30.055555,28.27778,13.3333315,24.11111,22.222225,47.722225,40.166665,36.444445,11.7222245,29.44444,25.444445,51.555555,42.166665,31.777775,36.5,29.88889,24.055555,39.222225,25,27.444445,39.5,20.555555,18.444445
129,92.16665,68.5,55.166665,14.555554,26.333335,26.722225,58.5,29.111115,27.166665,17.611115,23.555555,21.27778,60.88889,40.11111,36,14.22222,29.88889,25.333335,66.61111,43.166665,32.77778,46.555555,30.055555,24.833335,52.611115,26.111115,27.833335,51.05556,21.055555,17.388885
132,102.44443,72.88889,56.222225,15.944446,25.833335,26.77778,71.333335,29.944445,27.33333,21.38889,21.88889,21.27778,72.722225,40.5,37.72222,17.333335,28.777775,24.444445,83,42.77778,33.11111,59.88889,29.83333,24.222225,64.944445,25.66667,27.722225,64.055555,20.5,17.944445
135,111.888895,74.222225,58.166665,19.2777775,25.61111,26.61111,81.99999,28.5,27.444445,27.444445,21.77778,20.666665,84.166665,39.55556,36.166665,21.88889,28.222225,24.11111,96.77779,42.611115,32.22222,73.111115,30.666665,23.77778,81.27778,26,27.722225,78.11111,20.833335,17.61111
