Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,0.7,1.1,1.2,1.2,1.1,1,1.1,0.7,0.4,0.9,0.8,0.5,1.2,1.1,1.3,1.2,0.8,1.1,1.8,1.1,1.2,4,0.8,1.3,1.8,1.6,0.7,3.1,0.6,0.7
3,0.8,1.2,1.4,1.2,0.8,1.6,1.2,1,0.4,0.7,1.2,0.6,1.8,1.3,1.2,1.4,1.1,1.1,1.8,0.9,0.8,3.9,1,1.1,1.6,1.1,0.7,3,0.4,0.6
6,0.9,1,1.1,1.2,1.1,1.3,1.3,1.1,0.6,0.8,1.1,0.6,1.3,1.3,1.2,1.2,1.1,0.8,1.7,0.8,1.2,2.9,1.2,1.1,1.8,0.7,1.3,3.6,0.7,0.8
9,0.8,1.1,0.9,1.3,0.9,1.2,0.9,1.4,0.5,0.8,1.2,0.6,1.4,1.4,1.3,1.5,1.3,0.8,1.3,1.1,1.1,2.2,1.4,1.2,1.7,0.7,1.3,3.3,0.8,0.6
12,0.6,1.1,0.9,1.1,1.1,1,1,1.2,0.6,1,1.3,0.7,1.2,1.5,1.6,1.1,1.3,0.9,1.2,1.1,1.1,1.8,1.7,0.7,1.4,0.9,1.2,3.6,0.7,0.6
15,1,1.2,1.1,1.2,1.1,0.8,1.2,1.2,0.7,1.2,1.5,0.8,1.3,2,1.3,1.3,1.5,0.9,1.1,1.3,1.2,1.3,1.3,0.9,1.2,0.8,1.2,3.4,0.6,0.5
18,0.9,1.2,0.9,1.4,1.1,1.2,1.4,1.2,0.6,0.8,1.4,0.9,1.3,1.8,1.5,1.2,1.4,1,1.3,1.2,1.2,1.2,1.2,0.9,1.4,1.2,1.3,3.3,0.6,0.6
21,1.1,1,1.2,1.4,1.1,1.3,1.7,1.1,0.8,0.8,1.7,1.1,1.2,2.3,1.6,1.1,1.2,1.4,1.3,1.3,0.9,1,1.2,0.9,1.4,1.4,1.4,3.2,0.8,0.4
24,0.9,1.3,1.2,1.2,1.4,1.3,1.7,1.1,0.9,0.9,2.1,1.1,1.6,2.1,1.6,1.2,1.6,1.4,1.6,1.2,1.4,1.1,1.5,1.3,1.6,1.3,1.4,3.1,0.8,0.5
27,1,1.7,1.2,1.2,1.4,1.7,1.5,1.4,1.4,1.3,2.2,1.2,1.7,2.4,2.3,1.2,1.7,1.6,1.7,1.6,1.5,1.1,1.6,1.6,1.8,1.6,1.8,3.3,1,0.8
30,1.1,1.8,1.2,1.5,1.7,1.8,1.7,1.8,1.8,1.3,2.4,1.3,1.7,2.6,2.5,0.8,1.9,1.6,1.6,1.7,2.1,0.7,1.6,1.4,2,1.9,2,2.8,1.1,0.8
33,1.3,1.8,1.1,1.2,1.8,1.8,1.8,2,1.8,1.1,2.6,1.7,1.6,3.2,2.5,0.9,2.2,2,1.6,2.2,2.3,0.9,2.1,1.7,2.1,2,2.3,2.6,0.9,0.9
36,1.1,2.3,1.3,1.2,2.1,2,1.6,2.1,1.9,1.2,2.8,2,1.2,4.2,3.2,1.2,2.4,2.7,1.8,2.7,2.7,1.2,2.2,1.9,2.2,2.2,2.1,2.9,1.1,0.9
39,1,2.3,1.7,0.9,2.2,2.4,1.6,2.8,2.9,1.6,3.1,2.2,1.3,4.6,3.4,1.1,2.4,3.2,2,2.7,3.2,1.7,2.5,2.2,2,2.6,2.5,3.3,1.4,1.2
42,1.3,2.3,1.5,1.3,3.2,2.8,1.7,3.3,3.7,1.7,3.2,2.5,2.1,5.1,4,1.2,2.8,2.9,2.2,3.4,3.6,1.9,2.8,2.4,2.1,3.4,3.6,3.6,1.8,1.6
45,1.3,2.3,1.9,1.4,3.4,3.7,2,3.6,4.5,1.4,4.1,3.2,1.8,6.2,4.9,1.2,3.5,3.9,2.1,4.1,4,1.9,3.2,2.9,2.2,3.5,3.8,3.3,2.1,2.1
48,1.4,2.9,2.2,1.3,4.1,4.4,1.8,4.7,5.3,1.6,4.8,3.6,1.5,7.1,5.6,1.3,4.2,4.7,2.2,4.7,4.9,2.1,3.4,3.8,2,3.7,4.4,3,2.2,2.8
51,1.4,3.3,3.2,1.6,5.8,5.2,1.8,5.8,6.5,1.3,5.3,4.9,1.6,7.9,7.3,1.7,4.9,5.1,2.2,4.8,5.7,2,4.8,4.6,1.9,4.1,4.6,1.4,2.4,2.5
54,1.6,3.7,4,1.6,6.2,5.6,2,7,7.8,1.4,5.8,6.3,1.7,8.7,8.9,1.6,5.9,5.4,2.2,5.6,6.9,1.9,5.3,5.1,1.7,5.6,5.3,1.4,3.1,3.4
57,2,4.8,5.8,1.6,7.4,6.2,2.3,8.4,8.9,1.4,7.1,7.6,1.6,9.7,9.9,1.4,6.5,6.6,2.1,6.8,8.7,2.1,5.4,6.6,1.7,6.5,6.4,1.2,3.9,4.3
60,1.7,5.4,6.9,1.6,8.7,7.6,2.3,9.4,11,1.3,7.7,8.7,1.9,10.8,11.1,1.6,6.8,7.8,2.1,8.3,9.7,2.1,6.5,7.4,2.1,8.1,7.6,2.3,4.8,4.7
63,2.1,7,9.1,1.7,10,8.8,2.1,10.8,12.1,1.1,8.6,10.5,2,11.8,12.5,1.6,8.3,9.2,2.1,10.2,11.3,2.2,8,9.3,2.4,9.4,9.2,2.7,5.8,5.6
66,1.9,7.9,10.6,2.2,11.7,10.1,2.4,11.7,15.7,1.3,9.1,10.8,2.3,14.2,14.4,1.4,9.5,10.9,2.1,14,12.8,2.4,9.4,9.9,2.3,12.7,10.8,2.3,6.2,6.4
