Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,0.07581,0.5604175,0.168802,0.202606,0.159849,0.0693015,0.5622475,0.179585,0.166726,0.1555535,0.113165,0.169765,0.125895,0.137914,0.146191,0.1802815,0.149284,0.1234155,0.2358365,0.18496,0.2726725,0.172107,0.268357,0.285382,0.195797,0.2008715,0.166562,0.225606,1.561981,0.3255165
3,0.0945215,0.4725265,0.1473585,0.219392,0.1506365,0.073058,0.4889435,0.1556355,0.2048595,0.152808,0.1269395,0.172619,0.133448,0.137989,0.1466895,0.1861955,0.126878,0.1247815,0.2259545,0.203692,0.2559615,0.1673815,0.2850265,0.3064495,0.1994375,0.2063485,0.1524395,0.2758415,1.48333,0.387354
6,0.102136,0.422674,0.1166415,0.2089095,0.140229,0.0663315,0.4717685,0.130149,0.1636665,0.149742,0.093415,0.1840445,0.105544,0.1299785,0.1350595,0.176362,0.118547,0.123559,0.2132185,0.2784025,0.24763,0.1410825,0.266383,0.268172,0.2116685,0.212563,0.1472355,0.243936,1.427099,0.3150955
9,0.110577,0.3726095,0.092166,0.212672,0.147379,0.066809,0.4419935,0.1446885,0.159105,0.156373,0.11729,0.1794825,0.0967755,0.136084,0.130573,0.1870905,0.1046155,0.137108,0.206335,0.2730345,0.2584615,0.180118,0.259267,0.2568835,0.2107055,0.2016635,0.147488,0.2284405,1.45824,0.316529
12,0.106479,0.3179635,0.0970965,0.1947525,0.1419365,0.066618,0.4269285,0.1382145,0.1501105,0.141465,0.122193,0.1809305,0.0938255,0.137825,0.1484035,0.182583,0.1041435,0.133161,0.1926695,0.2720375,0.248798,0.166357,0.2781635,0.235174,0.2128565,0.214762,0.1466825,0.2119685,1.4706075,0.2870205
15,0.113684,0.322614,0.0948015,0.176751,0.156523,0.0709955,0.4406075,0.14561,0.167607,0.1375315,0.110256,0.187541,0.0902465,0.150363,0.1548295,0.1810805,0.1023,0.1656335,0.1856425,0.2787985,0.248723,0.174101,0.2794195,0.267107,0.2129865,0.2312475,0.1494555,0.227027,1.47534,0.283456
18,0.101351,0.303684,0.1011935,0.1723325,0.1587015,0.0729825,0.4130315,0.147065,0.1613925,0.129589,0.132758,0.1915085,0.0885735,0.1598765,0.172155,0.182822,0.10396,0.179578,0.1805275,0.2541115,0.242358,0.1710695,0.2723515,0.258079,0.1965555,0.235413,0.1539485,0.2198425,1.432904,0.2732945
21,0.0983595,0.3146035,0.1123185,0.180405,0.1880665,0.085152,0.421752,0.164192,0.1851505,0.132437,0.1504455,0.1796535,0.0937845,0.1923215,0.1639735,0.194623,0.117611,0.1964325,0.189515,0.269907,0.2664105,0.199123,0.2857025,0.3106425,0.1781715,0.233815,0.1688225,0.23626,1.41299,0.318216
24,0.1004495,0.3290745,0.126885,0.187159,0.194739,0.098551,0.393876,0.162676,0.1972045,0.1212095,0.166091,0.189774,0.094126,0.210876,0.174723,0.2005505,0.1273015,0.1926765,0.1863665,0.3153135,0.2700225,0.2084655,0.281598,0.283592,0.170714,0.239415,0.1663435,0.2466605,1.326957,0.31769
27,0.0889765,0.3352475,0.164527,0.1956745,0.2026945,0.123914,0.4326445,0.181613,0.2166265,0.12991,0.1703725,0.2109855,0.1076815,0.2560985,0.2001545,0.2090115,0.151497,0.22,0.2007965,0.338669,0.273574,0.230209,0.29008,0.3603995,0.18261,0.2446325,0.2107735,0.2732465,1.3308225,0.3561995
