Elapsed,PC9 UT,PC9 A/E,PC9 E,KO UT,KO A/E,KO E,KIN UT,KIN A/E,KIN E,KD UT,KD A/E,KD E,M4 UT,M4 A/E,M4 E,M5 UT,M5 A/E,M5 E,M7 UT,M7 A/E,M7 E,M10 UT,M10 A/E,M10 E,M11 UT,M11 A/E,M11 E,M15 UT,M15 A/E,M15 E
0,0.16055615,0.129904825,0.152843015,0.12487402,0.16030955,0.132795805,0.12500305,0.2119793,0.07011976,0.139329,0.079350445,0.044761005,0.47075315,0.31284905,0.3940319,0.39963185,0.35340255,0.177075,0.31759145,0.25207755,0.19417435,0.4457928,0.22146035,0.16880795,0.3287001,0.2379982,0.22756485,0.34202455,0.11015349,0.4339405
3,0.131665195,0.17382355,0.12515101,0.289778,0.43991595,0.2691845,0.1935217,0.28539225,0.29069235,0.2946039,0.2897363,0.32332415,0.15766135,0.190073,0.2422664,0.1442725,0.2440192,0.23427255,0.11319625,0.16130355,0.22179805,0.2903168,0.2130568,0.2899905,0.218816,0.19822245,0.258937,0.10742945,0.261976,0.24122685
6,0.107338395,0.12435805,0.098354345,0.21226385,0.26155105,0.17006755,0.15870845,0.2076239,0.18917385,0.2083864,0.20554475,0.2585083,0.136969165,0.1556126,0.15332485,0.120954865,0.1771812,0.18649915,0.093854725,0.1344765,0.1559389,0.26387295,0.1340288,0.22049295,0.155817495,0.145847,0.1421896,0.07523022,0.17765165,0.19815035
9,0.106245755,0.1251965,0.072578225,0.18229925,0.18956845,0.1426828,0.14118045,0.1411804,0.16248725,0.1894205,0.13698812,0.22794425,0.12104973,0.1291043,0.1142813,0.111549675,0.1395832,0.1514848,0.094518635,0.1275222,0.1284745,0.24341975,0.1091747,0.21921055,0.14097936,0.1260957,0.12189199,0.074691495,0.13767105,0.20492635
12,0.10284638,0.10665547,0.07133762,0.16090895,0.1556619,0.1450768,0.14768705,0.11836362,0.12886905,0.1331714,0.1357285,0.19765715,0.111492765,0.098889275,0.07605729,0.084278785,0.12424045,0.13362285,0.0672212,0.124798145,0.11751375,0.21282535,0.08849007,0.2202653,0.11962698,0.1174872,0.11639833,0.086073325,0.10083178,0.20504016
15,0.09732618,0.0784968,0.073018335,0.130644645,0.12450225,0.1218275,0.1305991,0.081046335,0.09141522,0.11908445,0.090865065,0.1662926,0.105149285,0.080223055,0.07695646,0.06805965,0.10083936,0.112824465,0.07701337,0.11027114,0.097371695,0.151917305,0.090163195,0.19633305,0.07404648,0.102269705,0.093391845,0.0910282,0.082617015,0.18519403
18,0.093327355,0.063901475,0.071307265,0.117415155,0.10504685,0.12254075,0.0971896,0.074209645,0.09195015,0.084521595,0.09050084,0.1405696,0.087461925,0.07372781,0.074145145,0.059196985,0.09918901,0.082863645,0.05940945,0.094431365,0.087423985,0.08784129,0.083899385,0.1602564,0.080750405,0.101768905,0.08495411,0.080166125,0.07091649,0.17161929
21,0.083906975,0.070362595,0.077627995,0.101123915,0.1108364,0.127765,0.08397906,0.083922145,0.07566652,0.071136545,0.08919954,0.11091986,0.079627385,0.082825715,0.07450557,0.05700408,0.114148545,0.07254789,0.06189069,0.095482325,0.079707055,0.116276955,0.08529556,0.15210325,0.06419741,0.11127651,0.083611045,0.064003915,0.06281262,0.157445095
24,0.09791804,0.07454731,0.091073765,0.1047016,0.12638025,0.14697755,0.06656104,0.092117085,0.097254095,0.076967825,0.09377506,0.1049065,0.068435275,0.0900266,0.07734724,0.06439849,0.112653745,0.08441157,0.06226629,0.09190084,0.07329148,0.076364605,0.08633511,0.1452893,0.071584245,0.129085335,0.08471129,0.072483385,0.07178151,0.152368785
27,0.095755475,0.067217395,0.09692783,0.10701213,0.1319194,0.14137775,0.068423865,0.095725115,0.08892637,0.061784455,0.1018144,0.080723835,0.061947595,0.089544795,0.078785145,0.05862789,0.11461142,0.082207285,0.07533644,0.10076349,0.09534192,0.07484702,0.109022905,0.14094145,0.084790985,0.128019245,0.09997434,0.05544856,0.14587735,0.15891335
30,0.088531825,0.06490308,0.091980485,0.08159646,0.15640175,0.17801965,0.047151195,0.1173658,0.109390935,0.0646375,0.11058983,0.08519692,0.054678395,0.084282575,0.08602779,0.06321857,0.123037755,0.09324009,0.07328771,0.09796355,0.08189236,0.07948323,0.119171735,0.14945505,0.078382975,0.10263012,0.108897705,0.065145885,0.1339492,0.140319195
33,0.09496254,0.06405703,0.093016255,0.099276265,0.20732415,0.1827204,0.05435211,0.13048905,0.107528075,0.07153111,0.119217245,0.08833072,0.06148474,0.09589583,0.10271736,0.06948997,0.15132545,0.091066155,0.07315494,0.099097965,0.073356,0.100228525,0.13095955,0.14354405,0.06285815,0.1079758,0.108245145,0.07078373,0.1367491,0.1193311
36,0.088319335,0.059860925,0.09536091,0.12078797,0.2267833,0.19603335,0.052834535,0.15615135,0.124172145,0.07285141,0.112001185,0.08331133,0.058737915,0.109903095,0.11628835,0.077039925,0.15627655,0.10451952,0.074577655,0.113200035,0.078750995,0.09005317,0.1383312,0.1539926,0.07577275,0.104189445,0.1093985,0.058938995,0.15320345,0.11343526
39,0.07519986,0.08298505,0.09270514,0.128455505,0.2453433,0.2129923,0.049932165,0.16763565,0.14925775,0.088672175,0.13111888,0.079073485,0.071990185,0.12093215,0.1372309,0.060543835,0.16638745,0.15170485,0.07315113,0.13729545,0.074528335,0.108787695,0.1458849,0.15996805,0.065187635,0.09303902,0.12599705,0.067118765,0.1614705,0.099773285
42,0.087970295,0.10889773,0.095110525,0.1302956,0.2622226,0.25589425,0.06105223,0.1808803,0.17307995,0.09273551,0.15327175,0.08232869,0.0736785,0.12920295,0.16490775,0.07074198,0.18180225,0.1722377,0.068776705,0.14148015,0.086896605,0.095455765,0.1524902,0.17395635,0.06516866,0.12143674,0.14693205,0.075499575,0.1591258,0.109576815
45,0.090075935,0.13217359,0.10300573,0.14119945,0.31573245,0.29747215,0.06487273,0.1777693,0.20140555,0.094507275,0.16726,0.098855145,0.082302125,0.14812715,0.17328865,0.090591915,0.21516245,0.20434965,0.04804657,0.15157585,0.1117773,0.127814325,0.1648736,0.200495,0.05415483,0.12679,0.17006375,0.116789135,0.18204885,0.118720235
48,0.1144445,0.152733,0.10832105,0.15160995,0.3713555,0.3264541,0.07094305,0.1842569,0.216919,0.099268695,0.2012918,0.1204996,0.08242733,0.15857565,0.21174025,0.091604895,0.2382031,0.2270413,0.06473995,0.1541823,0.1315628,0.13947693,0.1840634,0.21828105,0.076945075,0.1344196,0.18393065,0.11239955,0.19627615,0.141074205
51,0.084919945,0.16413,0.12918395,0.1388699,0.4752642,0.38087835,0.070927875,0.2194306,0.2273486,0.11920585,0.24003175,0.13706395,0.088186555,0.1817112,0.24909175,0.11894788,0.2691997,0.24166695,0.071041695,0.17201385,0.1532869,0.147254535,0.21325025,0.23171545,0.0572431,0.1535373,0.2020657,0.105122735,0.21717325,0.14818025
54,0.10016404,0.1901717,0.1376786,0.1448871,0.50813875,0.4266068,0.062808825,0.25846275,0.247908,0.1340402,0.2726142,0.157612,0.108556265,0.2264191,0.2689682,0.128292365,0.2667715,0.2706603,0.07892175,0.18534575,0.18257245,0.15042625,0.2346747,0.2524949,0.072274725,0.18118765,0.21025685,0.1163149,0.23528175,0.16961605
