 ,Area,Mean,Min,Max,Angle,Length
1,0.008,123.241,54.353,217.208,-155.493,0.777
2,0.008,123.241,54.353,217.208,-155.493,0.777
3,0.010,125.850,35.457,210.926,101.310,0.964
4,0.007,127.909,11.641,197.765,-88.315,0.708
5,0.004,130.630,41.333,188.304,156.194,0.379
6,0.004,130.630,41.333,188.304,156.194,0.379
7,0.008,124.933,37.889,239.257,25.159,0.752
8,0.006,122.201,53.333,215.434,-92.045,0.583
9,0.006,122.775,58.194,198.931,3.013,0.598
10,0.006,122.775,58.194,198.931,3.013,0.598
11,0.007,125.723,62.222,207.282,-1.878,0.639
12,0.007,121.536,25.197,193.402,-176.532,0.682
13,0.004,124.524,48.686,239.515,-58.736,0.350
14,0.005,127.914,46.437,214.742,46.790,0.472
15,0.005,127.914,46.437,214.742,46.790,0.472
16,0.004,128.990,41.871,184.430,96.710,0.357
17,0.004,128.990,41.871,184.430,96.710,0.357
18,0.003,117.514,18.031,216.966,-64.290,0.311
19,0.004,122.120,29.361,208.974,136.123,0.371
20,0.004,122.120,29.361,208.974,136.123,0.371
21,0.007,124.948,30.375,183.206,-168.158,0.651
22,0.006,129.028,65.060,216.548,-52.224,0.536
23,0.007,130.812,105.817,171.106,12.225,0.640
24,0.006,130.783,84.241,207.524,-119.055,0.540
25,0.005,131.240,6.189,237.133,112.834,0.432
26,0.005,121.085,27.219,241.558,115.408,0.470
27,0.005,120.228,9.627,235.116,25.346,0.438
28,0.005,120.228,9.627,235.116,25.346,0.438
29,0.005,118.676,17.851,238.652,-38.290,0.505
30,0.004,114.103,4.811,241.247,5.042,0.356
31,0.004,114.103,4.811,241.247,5.042,0.356
32,0.005,126.034,47.885,237.740,137.726,0.462
33,0.005,126.034,47.885,237.740,137.726,0.462
34,0.007,129.755,29.955,198.628,-92.816,0.639
35,0.006,122.408,45.435,229.119,-157.380,0.540
36,0.006,122.408,45.435,229.119,-157.380,0.540
37,0.005,124.590,57.450,195.085,-90.000,0.426
38,0.005,124.590,57.450,195.085,-90.000,0.426
39,0.005,124.650,65.454,207.627,-159.590,0.485
40,0.005,124.650,65.454,207.627,-159.590,0.485
41,0.006,126.218,43.548,232.437,20.807,0.548
42,0.004,113.607,21.875,195.671,-71.114,0.422
43,0.004,113.607,21.875,195.671,-71.114,0.422
44,0.006,125.593,58.336,180.316,165.700,0.554
45,0.007,133.254,27.558,228.459,3.417,0.696
46,0.008,148.052,100.726,236.997,-81.545,0.774
47,0.004,131.671,57.917,244.318,-111.251,0.408
48,0.004,131.671,57.917,244.318,-111.251,0.408
49,0.005,126.718,35.468,234.110,-45.971,0.431
50,0.005,126.718,35.468,234.110,-45.971,0.431
51,0.006,129.820,8.003,223.867,-45.000,0.562
52,0.006,129.820,8.003,223.867,-45.000,0.562
53,0.005,127.046,36.801,163.961,113.356,0.495
54,0.006,121.859,22.038,227.479,0.000,0.567
55,0.004,119.374,5.858,246.900,-47.291,0.371
56,0.004,119.374,5.858,246.900,-47.291,0.371
57,0.006,127.320,41.828,227.801,-2.121,0.568
58,0.005,111.638,34.989,247.026,-9.462,0.504
59,0.006,123.233,67.249,164.693,69.717,0.516
60,0.005,125.954,45.741,198.300,150.101,0.477
61,0.005,125.954,45.741,198.300,150.101,0.477
62,0.005,123.609,9.735,238.439,126.634,0.496
63,0.004,119.629,17.102,240.141,-37.185,0.374
64,0.006,123.557,19.529,233.824,-81.027,0.604
65,0.007,120.179,12.482,241.208,-170.538,0.632
66,0.007,120.179,12.482,241.208,-170.538,0.632
67,0.007,124.794,29.088,192.132,72.181,0.610
