 ,Area,Mean,Min,Max,Angle,Length
1,0.005,103.638,3.116,198.823,-45.000,0.501
2,0.005,103.638,3.116,198.823,-45.000,0.501
3,0.005,116.716,36.290,215.017,-51.546,0.454
4,0.006,115.634,9.355,161.962,139.399,0.583
5,0.007,128.336,91.983,162.604,108.970,0.704
6,0.006,129.130,65.077,228.160,56.889,0.574
7,0.006,129.130,65.077,228.160,56.889,0.574
8,0.006,124.138,42.079,226.551,-9.462,0.562
9,0.006,124.138,42.079,226.551,-9.462,0.562
10,0.018,128.086,12.262,232.338,159.319,1.683
11,0.006,113.917,16.684,222.279,139.764,0.523
12,0.003,119.442,29.309,244.001,-122.005,0.299
13,0.003,119.442,29.309,244.001,-122.005,0.299
14,0.004,116.423,59.983,210.140,-58.736,0.350
15,0.006,124.384,34.032,183.335,157.557,0.522
16,0.008,121.134,35.164,196.116,173.066,0.786
17,0.006,137.126,17.516,232.052,-10.305,0.576
18,0.004,123.076,63.882,238.270,-49.574,0.372
19,0.004,123.076,63.882,238.270,-49.574,0.372
20,0.005,129.141,89.280,187.683,126.384,0.488
21,0.005,129.141,89.280,187.683,126.384,0.488
22,0.007,124.883,35.938,185.615,10.561,0.620
23,0.005,114.188,13.229,235.237,135.971,0.431
24,0.005,114.188,13.229,235.237,135.971,0.431
25,0.008,127.908,40.164,214.826,-17.403,0.727
26,0.006,121.341,26.578,167.714,-126.254,0.579
27,0.006,121.341,26.578,167.714,-126.254,0.579
28,0.005,124.844,53.081,183.293,55.561,0.441
29,0.005,124.844,53.081,183.293,55.561,0.441
30,0.008,124.925,36.396,209.879,-26.565,0.793
31,0.005,134.662,84.241,210.858,96.340,0.472
32,0.005,134.662,84.241,210.858,96.340,0.472
33,0.004,117.725,0.139,228.099,97.496,0.401
34,0.004,117.725,0.139,228.099,97.496,0.401
35,0.006,129.691,51.166,232.933,2.121,0.568
36,0.006,129.691,51.166,232.933,2.121,0.568
37,0.004,113.840,1.312,239.137,-113.385,0.419
38,0.004,113.840,1.312,239.137,-113.385,0.419
39,0.003,117.383,6.749,239.189,-72.897,0.283
40,0.003,117.383,6.749,239.189,-72.897,0.283
41,0.004,103.791,32.961,209.549,-151.260,0.368
42,0.003,123.425,56.087,233.609,-7.853,0.301
43,0.005,124.293,7.779,226.299,66.297,0.464
44,0.004,123.089,66.269,219.890,-39.806,0.403
45,0.004,123.089,66.269,219.890,-39.806,0.403
46,0.005,127.982,14.507,208.208,-174.806,0.456
47,0.005,113.117,7.400,173.072,-160.427,0.498
48,0.005,113.117,7.400,173.072,-160.427,0.498
49,0.005,118.870,49.185,177.665,139.145,0.512
50,0.005,118.870,49.185,177.665,139.145,0.512
51,0.027,128.617,8.018,250.377,-134.519,2.628
