,Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,0,6.574628,6.87937,6.214912,5.593982,6.5995550000000005,8.014286,8.269394,6.850675,7.979566999999999,6.041930000000001,5.870465,6.573753999999999,6.642947,5.718845,5.390611,5.802434,7.781714,6.771922,10.02945,7.121094,6.852396000000001,8.683442999999999,4.976686,6.972028,10.11947,5.839666,5.771416,8.246202,6.919169999999999,6.432078
1,3,3.5282449999999996,5.7489349999999995,4.258154,3.8198480000000004,4.616136,5.955801999999999,6.608774,4.8693040000000005,6.458766000000001,4.465172,3.790264,4.253114,4.681422,4.8139199999999995,4.0556160000000006,4.145364,5.250108999999999,4.954805,7.0004100000000005,5.3423300000000005,5.039021,5.776975,4.157807,5.48152,7.816966000000001,4.8786190000000005,4.553472,5.525814,5.035211,4.886924
2,6,1.873948,3.052775,3.0382290000000003,2.040142,3.724418,3.8899150000000002,5.047175,3.491313,4.827947,2.711593,1.933225,2.044813,1.907288,3.094406,2.642373,2.674402,3.267113,3.238336,4.531441,3.509028,3.247105,4.272304,2.8516310000000002,3.648191,4.239278,3.6870489999999996,2.9399580000000003,4.676696,3.4089129999999996,3.159446
3,9,1.285566,1.811107,1.7496180000000001,1.3981780000000001,2.010162,2.839543,4.433798,2.7009939999999997,3.714242,2.0705720000000003,1.124303,2.059468,1.4629450000000002,1.814207,1.8277290000000002,1.7598200000000002,2.261446,2.429237,3.138563,2.422012,2.4067689999999997,3.619933,2.5743009999999997,2.795605,2.383796,3.182651,2.199232,4.21946,2.5350599999999996,2.208424
4,12,0.506105,0.9406549999999999,0.5588810000000001,0.713287,1.000669,1.054865,3.0932310000000003,1.698536,2.310752,0.997924,0.557733,0.906592,0.94575,1.0331620000000001,1.136787,1.180425,1.2894450000000002,1.3651799999999998,1.643288,1.2962879999999999,1.719802,2.753196,2.038475,2.097233,0.969474,2.4538900000000003,1.8187959999999999,2.707373,1.3954600000000001,1.417286
5,15,0.259861,0.559932,0.243977,0.547408,0.770692,0.737284,2.722601,1.1307639999999999,2.070626,1.086347,0.459503,0.850374,0.8815149999999999,0.883086,1.005327,1.04148,1.342958,1.4469239999999999,1.439972,1.301041,1.644955,2.653505,2.028559,2.101918,1.40416,2.2650240000000004,1.714543,2.51359,1.399667,1.245015
6,18,0.141458,0.18168199999999998,0.14785,0.365275,0.44150200000000006,0.396935,1.6865439999999998,1.032001,1.8797259999999998,0.698563,0.28465100000000004,0.5446489999999999,0.68496,0.5760350000000001,0.780198,0.87164,0.969802,1.1497899999999999,1.3572440000000001,0.946692,1.406578,2.082086,1.7536330000000002,1.8902700000000001,1.08199,2.028901,1.51654,1.8646880000000001,1.148151,1.051792
7,21,0.11541199999999999,0.169922,0.0255,0.276675,0.34317600000000004,0.347383,1.425658,1.181409,1.7590139999999999,0.668734,0.311899,0.548842,0.741395,0.616354,0.747337,0.856316,1.0859370000000002,1.008673,1.41256,1.053267,1.4176819999999999,2.068578,1.8115580000000002,2.028955,1.104977,2.101972,1.5839299999999998,1.789691,1.1713149999999999,1.135148
8,24,0.082673,0.099637,0.023888,0.218286,0.12205,0.333165,1.233214,0.9503799999999999,1.538694,0.666275,0.27424299999999996,0.554851,0.713751,0.498238,0.6767920000000001,0.820722,0.965936,0.98835,1.351795,1.026237,1.35495,2.0511909999999998,1.794662,2.023875,1.069616,2.041958,1.554715,1.651975,1.0264149999999999,1.0483360000000002
9,27,0.118198,0.188934,0.023328,0.297708,0.107832,0.231712,1.5283129999999998,1.270556,1.617283,0.68078,0.35785900000000004,0.665046,0.822102,0.580747,0.756556,0.987708,1.188661,1.125068,1.472725,1.086334,1.5689600000000001,2.3618330000000003,2.004166,2.370342,1.353065,2.187077,1.701213,1.86227,1.029802,1.2082600000000001
10,30,0.072033,0.15819,0.021034,0.227273,0.059673000000000004,0.180207,1.435806,1.176847,1.514327,0.735946,0.341893,0.674265,0.829491,0.539568,0.709572,1.001598,1.018493,1.064016,1.43149,1.110495,1.441393,2.224773,1.9685860000000002,2.226699,1.3339020000000001,2.065846,1.628483,1.7942939999999998,1.046452,1.233624
11,33,0.10077,0.16204100000000002,0.024626,0.23199899999999998,0.051273,0.194384,1.4345219999999999,1.19997,1.687527,0.784651,0.35291500000000003,0.727382,0.937623,0.563825,0.755614,1.040838,1.19452,1.1218860000000002,1.675891,1.133154,1.55649,2.566215,2.165196,2.419772,1.3740709999999998,2.089762,1.863923,1.9745549999999998,1.25321,1.320408
12,36,0.093012,0.136924,0.029870999999999998,0.187323,0.046602,0.106589,1.192991,1.167381,1.560424,0.83673,0.32038099999999997,0.688948,0.8717360000000001,0.57314,0.7560640000000001,1.047599,1.228215,1.0936270000000001,1.7595740000000002,1.0745870000000002,1.433525,2.612516,2.090267,2.477491,1.300604,2.114975,1.8731419999999999,1.824396,1.180398,1.312678
13,39,0.080898,0.161905,0.040579000000000004,0.210623,0.042245,0.105523,1.473954,1.2363959999999998,1.6742650000000001,0.880545,0.356275,0.7357,0.919061,0.67473,0.849418,1.116846,1.438511,1.143999,1.866696,1.188606,1.487994,2.893684,2.30649,2.740958,1.522427,2.2220009999999997,2.139614,2.0792990000000002,1.328043,1.423309
14,42,0.039677,0.12953499999999998,0.06034199999999999,0.273451,0.10382999999999999,0.020856,1.532616,1.221441,1.8729919999999998,1.157356,0.360072,0.795946,1.077278,0.626202,0.685738,1.8913490000000002,1.656018,1.1951209999999999,2.039568,1.2099540000000002,1.601604,3.23727,2.414609,2.8455529999999998,1.7347709999999998,2.30145,2.18078,2.420905,1.51624,1.527699
15,45,0.028737000000000002,0.11474300000000001,0.055111,0.24782800000000002,0.069998,0.008851000000000001,1.607996,1.33856,1.960063,1.2052969999999998,0.3492,0.822675,1.1253819999999999,0.680562,0.6546930000000001,1.992693,1.736806,1.202947,2.081048,1.150951,1.605674,3.307952,2.493744,2.998525,1.821952,2.617843,2.372842,2.559768,1.546547,1.506993
16,48,0.021129,0.082701,0.054947,0.21604600000000002,0.051792,0.024284,1.5967,1.368922,2.014027,1.17025,0.353188,0.8517399999999999,1.104499,0.618581,0.612557,1.999098,1.673295,1.14001,2.0520650000000002,1.273451,1.6399689999999998,3.1640349999999997,2.458998,2.987434,1.9369669999999999,2.442062,2.360331,2.7990880000000002,1.569343,1.6636529999999998
17,51,0.016745,0.097151,0.055328999999999996,0.237981,0.05466,0.009916,1.603488,1.589693,2.181135,1.3293409999999999,0.392906,0.858569,1.2521309999999999,0.781482,0.748989,1.9255080000000002,1.823877,1.238063,2.284883,1.3436540000000001,1.8201889999999998,3.552543,2.70206,3.309154,2.220034,2.767933,2.46371,2.913147,1.8361009999999998,1.793078
18,54,0.018029,0.072416,0.05773300000000001,0.19855,0.036549,0.014941999999999999,1.595935,1.656236,2.2481419999999996,1.271962,0.391404,0.837932,1.287341,0.810479,0.766854,2.1365819999999998,1.879575,1.226972,2.404188,1.434358,1.7816869999999998,3.6572739999999997,2.699369,3.404611,2.389218,2.7674689999999997,2.5118009999999997,2.816775,1.890065,1.7899779999999998
19,57,0.010462,0.095362,0.054591999999999995,0.224719,0.036317,0.008631999999999999,1.713532,1.8406770000000001,2.3612319999999998,1.395146,0.43982200000000005,0.8496090000000001,1.5293649999999999,0.910033,0.854922,2.172872,2.201855,1.369591,2.785812,1.677516,1.94982,4.050194,2.866778,3.595143,2.696392,3.10652,2.7450419999999998,3.073754,2.089584,1.8237130000000001
20,60,0.019927,0.06655599999999999,0.055492999999999994,0.202388,0.050207999999999996,0.006268999999999999,1.819793,1.723544,2.361902,1.416698,0.421001,0.821952,1.549593,0.936066,0.871367,2.3251880000000003,2.171793,1.502691,2.988363,1.7066080000000001,1.957454,4.271922,2.9881990000000003,3.762593,2.8768849999999997,2.942103,2.739101,3.216196,2.074178,1.8858169999999999
21,63,0.021949,0.09070399999999999,0.057446000000000004,0.228762,0.05121799999999999,0.009807,1.995438,1.963027,2.5668439999999997,1.740466,0.464584,0.8780190000000001,1.731589,1.041917,1.030635,2.364661,2.338082,1.6800700000000002,3.4168489999999996,2.013986,2.143698,4.654392,3.198481,3.9965309999999996,3.3738120000000005,3.183621,2.9407229999999998,3.745793,2.211593,2.016444
22,66,0.009096,0.065204,0.056135000000000004,0.191038,0.056230999999999996,0.00713,2.0231369999999997,2.03349,2.6463200000000002,1.9384150000000002,0.472984,0.8314440000000001,1.707181,1.004125,1.004999,2.481821,2.301491,1.7605169999999999,3.5954019999999995,2.0834650000000003,2.2578810000000002,4.815969,3.2170419999999997,4.154051,3.500287,3.284992,3.044772,3.8843690000000004,2.168242,2.03517
23,69,0.00997,0.079955,0.057023000000000004,0.222588,0.054127999999999996,0.019968,2.1880599999999997,2.1827330000000003,2.793351,2.343286,0.508851,0.87134,1.9192799999999999,1.147727,1.134096,2.655704,2.7280919999999997,1.872787,3.8399669999999997,2.409268,2.6015349999999997,5.499194,3.696036,4.513125,4.176177,3.6380019999999997,3.212822,4.166589,2.3086889999999998,2.214666
24,72,0.011664,0.071992,0.058662,0.184605,0.057583,0.015256,2.113104,2.241996,2.789459,2.446501,0.51273,0.820709,1.961975,1.1968290000000001,1.096714,2.7677970000000003,2.5934630000000003,1.865562,3.965158,2.313962,2.666753,5.341126999999999,3.774421,4.5880540000000005,4.592275,3.7587,3.233556,4.305671,2.357913,2.398765
25,75,0.025008000000000002,0.085227,0.060641999999999995,0.19788,0.062459,0.010066,2.3911029999999998,2.497255,2.956785,2.778655,0.56952,0.81377,2.236246,1.261213,1.312814,3.060752,2.7734650000000003,2.1149880000000003,4.438087,2.684509,2.9579459999999997,6.206485,4.217507,4.80141,5.262948000000001,4.078644000000001,3.506911,4.737284,2.55436,2.502923
26,78,0.02326,0.069261,0.060328,0.10697100000000001,0.053089,0.018288,2.304523,2.588109,2.898069,2.768862,0.561954,0.720717,2.187268,1.325653,1.333807,3.336853,2.732818,2.062678,4.524503,2.6709330000000002,3.041903,6.354608,4.3266089999999995,4.964024,5.562773,4.180562,3.57542,4.771949,2.520856,2.592056
27,81,0.025186,0.09976,0.065355,0.133099,0.047585,0.026195999999999997,2.594952,3.023151,3.04988,3.148191,0.5929439999999999,0.761732,2.351931,1.456977,1.4405729999999999,3.439767,2.793242,2.18276,5.109075,3.00997,3.2930919999999997,7.142632000000001,4.746558,5.276073,6.453589,4.589748,3.924525,5.1908330000000005,2.7119619999999998,2.712071
28,84,0.019381,0.07777,0.065805,0.11505699999999999,0.050003,0.014546000000000002,2.653218,3.161864,3.0056950000000002,3.21539,0.589557,0.7365189999999999,2.653723,1.569234,1.2760049999999998,3.6060559999999997,2.793283,2.24802,5.3136470000000005,3.103078,3.5806379999999995,7.510653,4.922025,5.359539,7.0749830000000005,4.816133,4.00448,5.551558999999999,2.834694,2.9633689999999997
29,87,0.007772,0.103065,0.072648,0.136787,0.056436,0.020651,3.07023,3.642018,3.3409910000000003,3.705693,0.604321,0.752909,2.986287,1.832974,1.345075,3.8828940000000003,2.959804,2.414991,6.105728,3.4124510000000003,3.8965389999999998,8.379985000000001,5.459954,5.816815,7.8593470000000005,5.349432,4.3202169999999995,5.898601,3.1320200000000002,3.159282
30,90,0.031455000000000004,0.08296,0.070244,0.11059100000000001,0.051082,0.013262000000000001,3.034828,3.6726669999999997,3.251502,3.748989,0.610222,0.7195699999999999,3.0749009999999997,1.7784229999999999,1.43149,3.909896,3.173036,2.336702,6.287547,3.661235,4.2903459999999995,8.68791,5.538762,5.749562999999999,8.069807,5.46565,4.288598,6.164923,3.145883,3.220212
31,93,0.035225,0.093409,0.070654,0.143753,0.0628,0.019968,3.36029,3.9621120000000003,3.438183,3.7573480000000004,0.6767920000000001,0.764519,3.460528,2.075079,1.495984,4.149612,3.5039339999999997,2.502868,7.031455,4.018425,4.410457,9.229157,6.151347,6.072334,8.983541,6.069056,4.612216,6.881064,3.361301,3.674361
32,96,0.028682,0.087563,0.07409600000000001,0.10968900000000001,0.029338,0.023233,3.4330879999999997,4.115903,3.298541,3.963887,0.7138329999999999,0.735809,3.4446980000000003,2.01206,1.469774,4.432351000000001,3.4498330000000004,2.486396,7.405061,4.19762,4.506337,9.497964999999999,6.207755000000001,6.182801,9.680193,6.316269999999999,4.813852,7.177051,3.417012,3.903655
33,99,0.034487000000000004,0.099842,0.080652,0.129193,0.05563,0.024435,3.6021769999999997,4.612489,3.6682010000000003,4.652958,0.774762,0.7669090000000001,3.766608,2.243512,1.647154,4.702565,3.792449,2.652617,7.842917,4.505136,4.731684,10.48831,6.742255,6.675085,11.16987,6.836880000000001,5.143233,7.979239,3.651906,4.192581
34,102,0.033435,0.072921,0.080228,0.109075,0.051696000000000006,0.021771000000000002,3.4485900000000003,4.856193,3.700216,5.036222,0.771962,0.771512,3.791494,2.147782,1.6760540000000002,4.824628,3.846919,2.6373740000000003,7.630203999999999,4.739934,4.847887999999999,10.74215,6.960992,6.953371000000001,12.04009,7.1161080000000005,5.347383,7.978174,3.586156,4.268015
35,105,0.032206,0.09935,0.082277,0.134165,0.066092,0.024421,3.887456,5.343845,4.041507,5.523778,0.8229620000000001,0.749659,4.150458,2.3872240000000002,1.8428209999999998,5.003592,4.310041,2.794512,8.516485000000001,5.05929,5.643657,11.76497,7.896388000000001,7.372228,13.21275,8.072866000000001,5.700571,8.571760000000001,3.73025,4.771197
36,108,0.030567,0.084927,0.080597,0.104854,0.053144000000000004,0.022864,3.914021,5.360167,3.756897,5.718504,0.8257620000000001,0.6367189999999999,4.1629830000000005,2.472697,1.840827,5.481561,4.369113,2.71453,8.657097,5.247146,5.746189,11.89274,8.081171000000001,7.4793080000000005,13.9378,8.221563,5.932652,8.641171,3.585815,4.794894
37,111,0.035894,0.108078,0.085132,0.129193,0.067349,0.025623000000000003,4.368089,5.950899,4.214980000000001,5.879958,0.8619700000000001,0.647809,4.540087000000001,2.707796,2.037137,6.132867,4.743403,2.700612,9.182924,5.850224,6.271047,12.95444,8.855646,7.942389,15.438920000000001,8.944697,6.176764,9.45908,3.821597,5.100757
38,114,0.019216999999999998,0.087973,0.080105,0.102997,0.051013,0.024325,4.502745,6.042996,4.192648999999999,6.069247,0.876912,0.66928,4.868389,2.809495,2.010558,6.318373,4.852683,2.714803,9.38538,6.126407,6.418119,13.06527,9.197881,8.049456,16.40457,9.088805,6.163447,9.977819,3.7065120000000005,4.888972
39,117,0.023778999999999998,0.110768,0.09614,0.122077,0.064153,0.027931,5.114182,6.391922,4.275718,6.476371,0.987475,0.730646,5.362639,2.961129,2.142496,6.639792,5.29469,2.8332330000000003,10.415989999999999,6.526292,6.9078610000000005,14.325,9.9294,8.563674,17.82679,9.821951,6.903067999999999,10.78327,3.9332519999999995,5.173008
