,Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,0,0.31371129999999997,0.3326093,0.426253,0.3739408,0.3276593,0.3220112,0.3722046,0.45401490000000005,0.3769111,0.3193106,0.2297127,0.44721750000000005,0.4147385,0.2975286,0.35434570000000004,0.4090929,0.49575459999999993,1.111834,0.426071,0.3460765,0.491511,0.5723377,0.4559833,0.5183492000000001,0.7688778000000001,0.5070212000000001,0.6704157,0.7296484999999999,0.6674336,0.764177
1,3,0.1950064,0.22970729999999998,0.2522241,0.206868,0.1324342,0.1315138,0.1897832,0.21470970000000003,0.17380410000000002,0.1710941,0.1060233,0.2154587,0.2255639,0.1272654,0.158949,0.1569379,0.2080449,0.3030532,0.23959009999999997,0.1557259,0.21327670000000004,0.3161744,0.21595810000000001,0.2519185,0.3594372,0.23659339999999998,0.31104840000000006,0.40346020000000005,0.344486,0.38687309999999997
2,6,0.10861480000000001,0.1242018,0.1284244,0.1010794,0.06151026,0.05356663,0.110854,0.10232619999999999,0.09919135,0.105272,0.04997083,0.1088693,0.1507291,0.08641532,0.08168391,0.09964105,0.11376960000000001,0.13396989999999998,0.14794200000000002,0.09676385,0.13561510000000002,0.1963343,0.15916349999999999,0.1495538,0.22182570000000001,0.16149070000000001,0.1900361,0.23474520000000001,0.20076370000000002,0.20462070000000002
3,9,0.07213053,0.05936944,0.05978633,0.07374934,0.03555694,0.02670718,0.08828815,0.06448936,0.05285562,0.09287432,0.03615877,0.0639756,0.10427470000000001,0.05785406,0.04556879,0.07350627,0.1047259,0.06477422,0.11950819999999998,0.0665385,0.08471629,0.1647922,0.1241527,0.10544049999999999,0.1770015,0.1197307,0.1449329,0.1624722,0.1347616,0.13275309999999999
4,12,0.04090745,0.04617041,0.03325925,0.03743064,0.02158518,0.01676715,0.05774647,0.04963577,0.03755054,0.08893680000000001,0.02565981,0.04550991,0.09419679,0.037635699999999994,0.04072906,0.06305657,0.08333303,0.04643311,0.08653456,0.046081300000000006,0.05800706,0.1414175,0.09983792,0.07730562,0.14726979999999998,0.09672079,0.11554489999999998,0.1378681,0.09129065,0.09270284
5,15,0.02813464,0.02185083,0.021768799999999998,0.03378297,0.01281369,0.008135715,0.05112335,0.03555282,0.02972455,0.07453822,0.01782513,0.033671,0.08209273,0.03703542,0.03485412,0.05826799999999999,0.08083541,0.03567828,0.07613979,0.03951875,0.04665765,0.13096860000000002,0.09840172,0.06326409,0.12115,0.08298102,0.11007930000000002,0.1133856,0.07773551,0.07800457
6,18,0.0177471,0.01853312,0.01081884,0.02608447,0.008915734,0.0045142870000000005,0.04723962,0.03204671,0.02179268,0.06079341,0.01501041,0.03405956,0.07590783,0.03185245,0.03233113,0.05537981,0.06803156,0.03739816,0.06717443,0.03676151,0.04536644,0.129155,0.09462946,0.07390331,0.1307526,0.07619186,0.1057218,0.1003493,0.07727849,0.06575426
7,21,0.01080698,0.008147996,0.0052871509999999995,0.02321257,0.00820058,0.005332697,0.04378030000000001,0.03146524,0.01951838,0.06682958,0.01081086,0.039405,0.07323804,0.02681579,0.03428068,0.06188666,0.07199402,0.03505024,0.07122324,0.03347303,0.04122787,0.1541533,0.09632502,0.06733987,0.1198145,0.07745138,0.1089078,0.09232677,0.06703219,0.06214730000000001
8,24,0.009997964,0.005665976,0.0055804109999999995,0.02329513,0.007319310999999999,0.004741498,0.04006226,0.02267423,0.02166224,0.05464201,0.01111646,0.03864465,0.07285599,0.03005689,0.02916773,0.0592607,0.07054673,0.03075081,0.08724044,0.03152314,0.04708526,0.1576587,0.08723038,0.06566033,0.11244839999999999,0.07857983,0.1071806,0.09959673,0.08442442,0.05581652
9,27,0.008115508,0.0032276920000000003,0.0031626040000000003,0.02838193,0.005902658000000001,0.002537579,0.03413936,0.02388653,0.01876549,0.05687587,0.009685549,0.03490005,0.08660531,0.02744231,0.02812039,0.05596139,0.0687313,0.030104500000000003,0.08803564,0.03274,0.04287461,0.1566875,0.09023081,0.06731197,0.1269999,0.07418439,0.10761680000000001,0.1027379,0.06867918,0.06002004
