,Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,0,20.55556,16.11111,13.55556,10.22222,10.77778,9.666667,20.55556,15.0,13.333329999999998,16.0,10.33333,10.44444,13.0,14.88889,14.333329999999998,13.666670000000002,12.22222,15.55556,18.77778,16.88889,15.777779999999998,15.55556,15.777779999999998,14.55556,21.22222,19.0,18.0,12.66667,8.555555,8.888889
1,3,23.55556,17.22222,14.0,10.33333,8.777778,8.888889,22.33333,14.333329999999998,14.333329999999998,15.44444,8.222222,8.666667,13.55556,13.88889,12.88889,15.0,12.55556,14.777779999999998,18.88889,16.22222,13.55556,15.777779999999998,14.666670000000002,14.666670000000002,19.88889,17.66667,17.11111,14.11111,8.222222,8.888889
2,6,20.22222,13.88889,10.88889,8.222222,7.555555,5.222222,22.11111,11.88889,11.44444,14.333329999999998,7.888889,6.444445,13.44444,11.55556,10.66667,12.88889,14.0,11.44444,17.66667,14.666670000000002,13.666670000000002,15.44444,13.333329999999998,10.44444,22.55556,16.11111,14.88889,13.777779999999998,6.444445,6.555555
3,9,19.0,9.666667,6.777778,8.222222,4.3333330000000005,4.6666669999999995,21.88889,10.11111,11.11111,13.55556,8.111111,6.3333330000000005,12.66667,12.33333,10.11111,12.66667,14.0,11.44444,18.66667,15.0,10.66667,15.88889,15.333329999999998,10.88889,21.22222,15.88889,15.666670000000002,13.44444,5.777778,5.3333330000000005
4,12,16.11111,6.111111,5.0,7.3333330000000005,3.222222,3.333333,21.33333,9.555555,10.11111,10.66667,7.222222,5.777778,13.666670000000002,9.888889,8.0,14.44444,11.33333,11.11111,17.66667,16.22222,12.88889,16.77778,14.88889,11.22222,22.55556,17.55556,16.44444,13.0,5.222222,6.0
5,15,11.55556,4.555555,4.0,6.555555,2.888889,2.888889,21.44444,8.333333,11.33333,11.66667,7.222222,5.888889,13.333329999999998,9.555555,8.222222,14.666670000000002,11.44444,10.22222,20.55556,16.77778,10.44444,18.33333,16.55556,12.0,20.22222,17.22222,16.66667,13.0,5.555555,5.777778
6,18,9.666667,2.888889,2.888889,4.444445,2.444444,2.777778,21.11111,8.444445,10.22222,12.88889,6.222222,6.222222,15.11111,10.66667,8.777778,14.333329999999998,11.88889,9.666667,19.55556,17.11111,11.55556,20.0,16.33333,13.11111,21.55556,18.22222,16.11111,13.88889,5.444445,5.888889
7,21,7.6666669999999995,2.0,2.0,5.0,2.666667,2.111111,22.11111,9.444445,10.55556,13.222220000000002,6.3333330000000005,6.0,15.222220000000002,9.555555,8.666667,15.666670000000002,12.11111,8.777778,21.66667,17.55556,12.0,20.88889,17.66667,13.333329999999998,24.22222,20.11111,17.44444,15.666670000000002,6.111111,6.111111
8,24,6.555555,1.555556,1.555556,4.555555,2.666667,2.222222,23.44444,11.55556,11.66667,12.0,5.555555,7.6666669999999995,16.0,11.0,8.555555,16.77778,11.66667,9.555555,23.44444,18.77778,11.55556,24.11111,17.22222,13.333329999999998,26.888890000000004,20.44444,18.33333,17.77778,5.888889,5.6666669999999995
9,27,4.777778,1.666667,1.666667,4.444445,2.333333,2.0,28.555559999999996,9.555555,12.44444,15.44444,6.777778,7.3333330000000005,18.22222,11.88889,8.111111,17.11111,11.66667,10.0,27.77778,18.55556,13.11111,26.33333,18.88889,14.0,28.0,21.33333,20.66667,18.44444,7.6666669999999995,5.0
10,30,3.666667,1.7777779999999999,1.333333,4.3333330000000005,1.7777779999999999,1.444444,30.66667,9.222222,12.0,15.666670000000002,6.3333330000000005,7.444445,19.44444,10.66667,7.6666669999999995,19.0,12.55556,10.44444,29.22222,19.22222,12.66667,27.555559999999996,18.0,14.88889,31.111109999999996,24.22222,19.44444,20.0,7.444445,4.444445
11,33,3.777778,0.8888889000000001,0.7777778000000001,5.444445,1.888889,1.555556,31.555559999999996,9.777778,12.22222,16.22222,7.0,8.0,19.11111,11.77778,8.222222,21.0,12.22222,10.11111,30.888890000000004,19.0,12.66667,30.555559999999996,20.22222,15.11111,33.0,25.55556,21.0,20.66667,6.6666669999999995,5.888889
12,36,3.777778,0.8888889000000001,0.7777778000000001,4.444445,2.0,1.0,31.111109999999996,8.555555,12.22222,17.66667,7.3333330000000005,8.111111,23.0,9.555555,8.222222,22.77778,12.33333,11.33333,33.0,21.55556,13.88889,32.77778,19.55556,16.77778,37.0,27.33333,23.33333,23.66667,6.111111,5.3333330000000005
13,39,5.222222,0.3333333,1.111111,4.555555,1.555556,1.222222,33.33333,9.777778,11.44444,20.55556,7.555555,8.555555,23.22222,10.55556,9.222222,23.88889,13.11111,10.44444,38.33333,19.55556,14.11111,38.44444,20.0,18.33333,41.22222,28.111109999999996,23.22222,25.88889,6.777778,6.3333330000000005
14,42,2.222222,0.7777778000000001,0.4444444,4.0,2.0,1.0,34.44444,9.444445,12.55556,22.11111,7.3333330000000005,8.666667,23.33333,11.77778,10.11111,25.77778,12.77778,11.11111,39.66667,20.55556,15.88889,38.33333,23.66667,19.77778,43.88889,31.33333,24.0,25.55556,8.222222,6.777778
15,45,3.0,0.7777778000000001,0.4444444,5.0,1.666667,1.111111,39.33333,9.777778,14.88889,22.66667,7.555555,8.777778,27.66667,12.44444,11.44444,27.888890000000004,12.55556,11.77778,46.33333,22.0,17.55556,41.66667,23.22222,20.55556,47.77778,33.0,25.33333,28.77778,8.333333,7.6666669999999995
16,48,2.666667,0.8888889000000001,0.5555555999999999,4.6666669999999995,1.555556,0.7777778000000001,42.44444,9.666667,16.55556,27.444440000000004,6.888889,11.11111,27.555559999999996,13.44444,12.33333,27.77778,14.666670000000002,11.44444,46.88889,23.55556,17.88889,48.88889,24.55556,22.66667,50.66667,39.0,25.44444,32.22222,9.666667,8.333333
17,51,2.888889,0.7777778000000001,0.3333333,4.444445,2.222222,1.111111,46.0,12.55556,16.66667,31.555559999999996,7.6666669999999995,11.55556,29.0,15.0,10.55556,31.555559999999996,16.66667,12.77778,51.11111,25.11111,19.33333,57.0,26.11111,21.33333,58.77778000000001,39.22222,25.44444,35.66667,10.22222,9.111111
18,54,3.222222,0.5555555999999999,0.1111111,5.0,1.444444,1.222222,45.22222,13.44444,16.77778,31.111109999999996,9.222222,11.22222,27.66667,15.0,10.88889,31.111109999999996,15.777779999999998,13.666670000000002,56.55556,30.111109999999996,18.88889,58.11111,25.77778,22.88889,62.22221999999999,40.22222,26.66667,35.44444,10.22222,10.44444
19,57,2.444444,0.5555555999999999,0.5555555999999999,4.888889,1.444444,1.0,47.66667,15.333329999999998,20.55556,33.33333,8.888889,11.55556,30.77778,16.22222,11.55556,30.0,16.55556,13.777779999999998,57.333330000000004,27.77778,19.11111,64.0,26.11111,23.55556,69.66666,42.55556,26.888890000000004,39.55556,10.55556,9.888889
20,60,2.888889,0.5555555999999999,1.0,4.0,1.444444,0.8888889000000001,53.22221999999999,16.44444,20.11111,34.0,8.888889,11.55556,33.66667,16.55556,13.222220000000002,35.44444,15.88889,14.44444,63.0,28.444440000000004,21.0,73.77778,28.33333,25.22222,75.0,47.88889,29.0,41.11111,10.44444,9.555555
